column,class,reason,existing_destination_if_C,derivation_if_B,provenance_source,human_gate_required,loss_if_not_persisted
numeric_instruction_suffix,A,"51 rows, single value 'yes' — a grammatical flag ('per X' instruction) riding on numeric_word_category; not independently actionable.",N/A,N/A,v3 CSV self-description,NO,"Low — same as above, an annotation on its parent, not standalone."
temporal_expression_flag,A,"120 rows, single value 'yes' — umbrella flag for the year_hebrew/year_gregorian/yeartime_category family; not independently actionable on its own.",N/A,N/A,v3 CSV self-description,NO (tied to the year_* family's own gate),Low — redundant with year_hebrew/year_gregorian being non-null; keep as archive context.
corpus_role,C — but BLOCKED pending taxonomy decision,"Real, non-redundant classification info (11 values) that does NOT collapse into live gematria_words.dna_status (dna_status='promoted' maps to 3+ different corpus_role values). Confirmed: two genuinely orthogonal dimensions, not duplicate data (see item 3 below). Applies to all 15,433 rows, not just a research-candidate subset.","NONE CONFIRMED YET. Two live options exist but neither is chosen: (a) extend gematria_words with a new column (schema change — explicitly out of scope, 'אל תמציא schema חדש'), or (b) carry it only for rows that become research_objects candidates (leaves ~14,600 rows with nowhere to go). NOT YET.",N/A,v3 CSV (this classification pass),YES — Zuriel must choose (a) vs (b) vs 'stays archive-only' before any write; this is the single biggest open design question in this whole mapping.,"Real but not urgent — corpus_role is fully reconstructable from the archived v3 CSV any time later; nothing is lost by waiting, only the convenience of having it live today."
primary_confidence,B,"Correlates with but is not identical to live is_verified (high tier=99.8% agreement, medium tier=only 64% — not a clean re-derivation). Better shown as a LIVE-computed confidence signal derived from is_verified + dna_status + source at display time than persisted as v3's frozen one-time label, which would drift out of sync as the live columns change.",N/A (not persisted independently),Compute a confidence badge live from gematria_words.is_verified + dna_status + source (already-existing columns) rather than storing v3's static 4-tier value.,v3 CSV; cross-checked against live is_verified in this chain's reconciliation,NO for the derivation itself; YES only if/when a specific row's confidence tier is cited as evidence inside a research_objects.confidence write (see method_claim_status row below),Low if derived; the underlying live columns it correlates with are not going anywhere.
source_claim_rule,B,"187 distinct micro-rule names explaining HOW corpus_role was derived (audit trail, not an independent fact). Rides along with its parent (corpus_role/method_claim_status) as explanatory text — should live inside that parent's evidence/engine_detail field when the parent is written, not as its own column.",N/A (not an independent destination),"Fold as free text into research_objects.evidence alongside its parent method_claim_status/corpus_role write, when that parent is written.",v3 CSV self-description,NO independently (tied to parent's gate),Low if folded into the parent's evidence text at write time; otherwise fully recoverable from the archived CSV.
method_mention_type,C,"796 rows classifying a phrase's relationship to a gematria METHOD (research_instruction/multi_method_instruction/lexical_use/method_result_claim/candidate_method/method_word_as_subject) — genuinely new research-layer information about how these specific 796 rows discuss methods, not present anywhere live.","research_objects.kind ('observation'/'hypothesis') + research_objects.evidence (free text carrying the specific mention_type label) — per the already-drafted, still-unexecuted prior-session plan.",N/A,"v3 CSV; 0/796 currently exist in research_objects (confirmed live, reconciliation row 19)","YES — before any write of the 764 non-engine_verified rows in this family (the 32 engine_verified rows are handled separately, see the 32-row CSV and item 2 below)",Real — this is genuine curation labor (796 rows manually/AI-classified) that took real effort; letting it sit unwritten forever means re-doing this analysis someday. Archived CSV mitigates total loss but not the convenience.
method_claim_status,C,"Best-structural-fit column in the whole file: engine_verified=32 maps directly onto research_objects.engine_verified (boolean). BUT (critical finding, item 2 below): fresh live re-verification in this pass shows the v3 'engine_verified' label is NOT corroborated by re-running fn_ragil against the phrase as it lives in gematria_words today (31/32 mismatch, 1 coincidental-non-match-to-claim; is_verified=false for all 32/32 live). The STRUCTURAL fit is real; the LABEL'S TRUTH is not confirmed.","research_objects.engine_verified (boolean) + research_objects.status (text, default 'candidate')",N/A,v3 CSV; live fn_ragil re-run in this pass (see MASTER_CLASSIFICATION_V3_32_VERIFIED_ROWS_DECISION.csv),"YES, absolutely — engine_verified must be written as FALSE for all 32 rows today (not true), per gematria_engine_law/verified_value_is_system_data; flipping to true requires a real re-verification of the isolated subject phrase that Zuriel or a future pass performs deliberately, not an automatic carry-over of v3's own label.","Real — see method_mention_type; same 796-row family, same recoverability-from-archive caveat."
method_claim_reason,B,"14-value free-text explanation of method_claim_status (research_instruction/insufficient_context/engine_verified_match/method_alias_issue/candidate_method:<name>/...). Explanatory detail, not an independent structured fact — belongs inside its parent's evidence text, not its own column.",N/A (not an independent destination),"Fold as free text into research_objects.evidence alongside method_claim_status, when that parent is written.",v3 CSV self-description,NO independently (tied to method_claim_status's gate),"Low if folded in at write time; the candidate_method:<name> values already surfaced 3 candidate-method items (ר""ת/ס""ת/ישר-והפוך) that a separate, already-existing prior-session pass (METHODS_EXPANSION_PHASE_1, work_log 4a872e50) has already picked up — not lost."
numeric_word_category,C,"570 rows classifying whether a phrase spells a number in words (mixed_numeric_phrase/ambiguous/numeric_quantity/numeric_sequence) — genuinely new parsed-interpretation content, no live column parses this.","research_objects (kind='observation', per the already-drafted prior-session precedent for this exact family)",N/A,"v3 CSV; 0/141 numeric_word_value rows exist in research_objects today (confirmed live, reconciliation row 20)",YES,Real — parsing effort against 570 rows; archived CSV mitigates but doesn't eliminate re-work cost.
numeric_word_value,C,"141 rows — the specific number a phrase is CLAIMED to spell out in words. Explicitly NOT the same as gematria_words.ragil/other_value (engine-computed gematria sums) — this is a parsed 'this phrase names this number' claim, never run through the official parser/engine per gematria_engine_law. Currently an unverified CLAIM, not a COMPUTED_FACT.","research_objects.value (integer) — good structural fit, but engine_verified must stay false until an actual parser/engine check is run.",N/A,v3 CSV; gematria_engine_law (no engine run performed on this value family),YES — must not be confused with or written as if it were an engine fact; write only as an unverified candidate value.,"Real but bounded — 141 rows, fully recoverable from the archived CSV at any time."
research_package_cluster,"C — but BLOCKED, needs Human-Gate on the cluster taxonomy itself","124 real non-'none' rows across 16 cluster names (messianic_claim_linked=65, entity_world_geulah=32, several singleton names). This is a RELATIONSHIP (groups multiple gematria_words rows under a named cluster), not a per-word attribute — per the no-flattening instruction it cannot become a new gematria_words column. Correct existing home is the graph.","nodes (type='convergence') / edges — but 0 corresponding edges exist live today (confirmed in reconciliation), and MASTER_STATE §8 has convergences FROZEN (8,917 existing rows are NOT canonical, NOT to be connected to the graph without explicit Zuriel decision) — the SAME caution must extend to any NEW cluster-derived edges, not just the frozen legacy 8,917.",N/A,"v3 CSV; MASTER_STATE §8 (Metatron Convergence Scan FROZEN, 10.8.2026)","YES, and specifically: do not create ANY edge from these 124 rows without a fresh Human-Gate decision, given the sitewide freeze on new low-reviewed convergence-shaped writes.","Real but the least urgent of the C-family — most cluster names are singleton or near-singleton (11 of 16 values have ≤4 rows) and are themselves unreviewed v3-internal labels, not confirmed research findings."
research_package_availability,B,"1463 rows across 6 values (deep_research/public_expanded/internal_only/public_core/premium_candidate/do_not_display) conceptually maps to the platform_tiers_law 6-level access model, but no live entitlement/tier system exists to attach it to yet (platform_tiers_law itself is documented vision, not built). Once real tiers exist, access SHOULD be a computed function of tier + row sensitivity, not a frozen v3-era label carried forward verbatim.",N/A (no live entitlement system to persist into yet),"Once platform_tiers_law is implemented, derive display eligibility live from (tier, privacy_scope, corpus_role) rather than storing this v3 snapshot label as ground truth.",v3 CSV; CLAUDE.md platform_tiers_law,"NO now (nothing to write into); YES later, when platform_tiers_law is actually built and this needs re-deriving, not resurrecting.",Low — this is aspirational/vision-stage data about a system that does not exist yet; nothing live depends on it.
research_package_sensitivity,C,"1463 rows (normal=1397, personal_claim=65, unverified_community=1) — a privacy/sensitivity signal with a clean structural match to research_objects.privacy_scope, ONLY for rows that actually become research_objects candidates.","research_objects.privacy_scope ('private'/'family_shared'/'public_candidate') — R1 (§16), already APPLIED live.",N/A,v3 CSV; SOD1820_MASTER_STATE.md §16 R1,"YES for the 65 personal_claim rows specifically (matches the personal_or_restricted corpus_role and the 2 sensitive rows in the 32-row engine_verified family) — must default privacy_scope='private', never 'public_candidate', for these.",Real for the 65 personal_claim rows — losing this signal risks a future agent treating messianic self-identification content as ordinary public research material.
landmark_target_flag,C — but NEEDS_HUMAN_DEFINITION before any write,"Only 5 rows. This chain's own prior schema-profile pass called the meaning 'not defined anywhere in the snapshot's own docs' — but tracing provenance into the SIBLING era1-research-dna-architecture pass (RESEARCH_DNA_PROOF_OF_MODEL.md, Case 15) found a plausible, textually-consistent reading: all 5 rows are long phrases claiming a RELATIONSHIP to a landmark/anchor number (1820/1118/1237) rather than reporting a computed value of that number (method_claim_reason='value_is_target_not_result' on all 5 corroborates this). This reading was authored by that prior AI pass, not confirmed by Zuriel — so it is evidence, not a settled definition.","edges, via a NEW controlled-vocabulary relation_type value (e.g. 'targets') — confirmed live: the edges.relation_type vocabulary today has 29 distinct values (contains/related/mentions/equals/converges_on/cross/...) and 'targets' is NOT among them. This is a new VALUE in an existing free-text column, not a new column or table — but it is still a vocabulary decision Zuriel must confirm before use.",N/A,v3 CSV; era1-research-dna-architecture/RESEARCH_DNA_PROOF_OF_MODEL.md Case 15; live edges.relation_type distinct-value query in this pass,"YES, explicitly — this is the one column where the task instructs NO_SAFE_HOME/NEEDS_HUMAN_DEFINITION unless the explanation is adequate; the found explanation is plausible but AI-authored, not Zuriel-confirmed, so it stays NEEDS_HUMAN_DEFINITION.",Real but tiny (5 rows) — full phrase text and the found interpretation are both preserved in the archive; nothing is lost by waiting for Zuriel's confirmation.
year_hebrew,"C — but BLOCKED, needs Human-Gate on graph-connection","51 rows, 17 distinct Hebrew-year values extracted from phrase text. A RELATIONSHIP (phrase refers-to/names a year), not a word attribute — cannot be flattened into gematria_words.","nodes (type='year') / edges — MASTER_STATE confirms 0 live year<->number edges today; this would be genuinely new graph territory, not an extension of something already flowing.",N/A,v3 CSV; MASTER_STATE §6 (year→number edges=0),"YES — same caution as research_package_cluster: no new edges without explicit Zuriel review, especially since this is a wholly new edge-type territory with zero live precedent to validate the extraction pattern against.",Real but bounded (51 rows); recoverable from archive; the underlying pattern (year extraction from raw phrase text) has not been spot-checked against the live engine in this pass the way the 32-row family was.
year_gregorian,"C — but BLOCKED, same as year_hebrew","74 rows, 7 distinct Gregorian year/range values, same family and same reasoning as year_hebrew.","Same as year_hebrew: nodes(type='year')/edges, 0 live precedent.",N/A,v3 CSV; MASTER_STATE §6,YES — same as year_hebrew.,Real but bounded (74 rows); same recoverability caveat.
yeartime_category,B,"111 rows sub-classifying the KIND of temporal reference (year_in_phrase/research_year/date_or_period/event_year/ambiguous) — supporting detail for year_hebrew/year_gregorian, not independently actionable; should ride as annotation text on those, not become its own field.",N/A (not an independent destination),Fold as free text/tag alongside year_hebrew/year_gregorian if/when that family is ever written to the graph.,v3 CSV self-description,NO independently (tied to year_* family's gate),Low if folded in at write time; fully recoverable from archive otherwise.
