master_column,meaning,current_values_counts,existing_live_destination,destination_column_path,direct_fit_transform_research_layer_no_safe_home,overwrite_existing,conflict_rule,candidate_or_fact,human_gate_required,notes
source_claim_rule,the classification rule/pattern that produced corpus_role for this row,"187 distinct values (short_dictionary_entry, short_multiword_dictionary_phrase, vip_attributed_wordlist, tagged_thematic_animal_world, mother_number_convergence_cluster, ...)","none — this is v3-internal methodology metadata, not a fact about the word","N/A — rides along with corpus_role's eventual destination as an explanatory/audit field, not a standalone destination",research-layer (audit trail only),N/A,no live equivalent to conflict with,"PROVENANCE (explains how CLASSIFICATION was derived, not a fact itself)",tied to corpus_role's gate,"Useful for audit/traceability if corpus_role is ever persisted, but has no independent value on its own."
method_mention_type,classification of a phrase's relationship to a gematria METHOD (not a value),"796 non-null: research_instruction=273, multi_method_instruction=247, lexical_use=137, method_result_claim=93, candidate_method=37, method_word_as_subject=9","none in gematria_words — gematria_methods (23-row registry) is a different table entirely (methods, not word-classifications)","research_objects (kind='observation'/'hypothesis', per the already-drafted PROPOSED_PERSISTENCE_PASS.md plan from the prior session)",NO SAFE EXISTING COLUMN as a gematria_words field,research-layer,N/A,no conflict; this is genuinely new research-layer data about 796 of the 15433 rows,"CLASSIFICATION (candidate, unreviewed)",YES,"A destination plan already exists and is unexecuted (session 2026-08-22, PROPOSED_PERSISTENCE_PASS.md item #2) — this phase does not re-decide it, only confirms the plan is still the right shape: research_objects, not gematria_words."
method_claim_status,verification status of a claimed method-value for the row,"796 non-null: no_claimed_value=282, unresolved_mismatch=203, not_a_method_claim=137, no_claim_verified=105, candidate_pending=37, engine_verified=32",research_objects.engine_verified (existing boolean — good structural fit),research_objects.engine_verified / research_objects.status,"NO SAFE EXISTING gematria_words COLUMN, but research_objects already has the right shape (engine_verified boolean + status text)",research-layer — strong structural fit,N/A,no conflict,CONFIDENCE/REVIEW,YES,engine_verified=32 rows are the ones already run through the official engine per method_lifecycle / gematria_engine_law and could map straight to research_objects.engine_verified=true; the other 764 must stay candidate/unverified.
method_claim_reason,free-text/coded explanation for method_claim_status,"796 non-null, 14 distinct: research_instruction=273, insufficient_context=166, lexical_use=137, multi_method_instruction=63, method_result_claim=42, engine_verified_match=32, method_alias_issue=21, candidate_method:ר""ת=16, candidate_method:ס""ת=16, ...",research_objects.evidence (existing free-text column),research_objects.evidence,research-layer,N/A,no conflict,INTERPRETATION/PROVENANCE,YES,"candidate_method:* values name specific unresolved historical method claims (ר""ת anchor=644 etc.) already flagged as open Human-Gate items in the prior session's HUMAN_GATE_FINAL.csv — not re-litigated here."
candidate_method_dependency,whether the row's classification depends on an unresolved candidate method,"796 non-null: no=759, yes=37",none,rides along with method_claim_* fields into research_objects if/when written,research-layer,N/A,no conflict,CLASSIFICATION (flag),tied to method_claim_* gate,Small (37 rows) but exactly identifies which claims must wait on method_lifecycle resolution before any promotion.
historical_method_convention,note on an old writing convention detected for the row,"32 non-null, 1 distinct value: 'value-then-רגיל-suffix convention (control-group grammar)'",none,research_objects.evidence (if written) or archive-only,research-layer / archive-only,N/A,no conflict,INTERPRETATION,tied to method_claim_* gate,"Single fixed value across all 32 rows — essentially a footnote on the ragil-suffix convention noted in the Step-1 closure, not independently actionable."
numeric_word_category,classifies whether the phrase spells out a number in words,"570 non-null: mixed_numeric_phrase=396, ambiguous=93, numeric_quantity=54, numeric_sequence=27",none in gematria_words (no numeric-word-parsing column exists),"research_objects (kind='observation', per PROPOSED_PERSISTENCE_PASS.md item #3/#5 precedent)",NO SAFE EXISTING COLUMN,research-layer,N/A,no conflict,"CLASSIFICATION (candidate, unreviewed)",YES,"This is a parsed/interpretive claim about the phrase's meaning, not a gematria-engine computation — must not be confused with gematria_words.ragil/misratar/etc, which ARE engine-computed facts."
numeric_word_value,the parsed numeric value the phrase is claimed to spell out,"141 non-null, 67 distinct values (50,12,6,3,2,10,4,200,...)","none — NOT the same as gematria_words.ragil/other_value, which are engine-computed gematria sums, not word-parsed number claims","research_objects.value (existing integer column, good structural fit)",research-layer — strong structural fit for research_objects.value,N/A,no conflict; genuinely distinct from the engine-computed columns already on gematria_words,COMPUTED_FACT only once run through the official parser/engine and Human-Gate reviewed — currently an unverified CLAIM,YES,gematria_engine_law: no value here has been run through the official engine — must not be written as if it were an engine fact. research_objects.engine_verified should stay false until checked.
numeric_instruction_suffix,flags a 'per X' grammatical instruction attached to a number,"51 non-null, 1 distinct value ('yes')",none,research-layer (rides with numeric_word_category),research-layer,N/A,no conflict,CLASSIFICATION (flag),tied to numeric_word_* gate,"Small flag, same family as numeric_word_category; not independently actionable."
landmark_target_flag,flags a row as a notable/landmark target (meaning undefined in the snapshot docs),"5 non-null, 1 distinct value ('yes')",none — no live gematria_words column encodes 'landmark' status,UNKNOWN — meaning not defined anywhere in the read snapshot,no-safe-home,N/A,"no conflict, but also no clear meaning to persist correctly",UNKNOWN / needs clarification,YES,Only 5 rows; the snapshot docs never define what 'landmark' means here (inspected all 5 rows: all are long 1820/1118/1237-anchor phrases). Flag for Zuriel to clarify intent before any destination is chosen.
year_hebrew,Hebrew-calendar year/date text extracted from the phrase,"51 non-null, 17 distinct values (e.g. 'ה'תשע""ו (5776)', 'שנת 2448 ...')",none in gematria_words; conceptually close to nodes type='year' (graph entity) per unified_graph_law,"graph (edges: word↔year node) once reviewed, or research_objects meanwhile","NO SAFE EXISTING COLUMN — this is a relationship (word names/refers to a year), not a word attribute",research-layer / graph-candidate,N/A,"no conflict; MASTER_STATE notes year↔number edges currently = 0, so this would be genuinely new graph territory",CLASSIFICATION → really a RELATIONSHIP,YES,"Same no-flattening logic as research_package_cluster: 'this phrase refers to year X' is an edge, not a column."
year_gregorian,Gregorian year/range text extracted from the phrase,"74 non-null, 7 distinct values (2015, 2015-2016, 2016, 2017, 2023, 2023-2024, 2026)",none,same as year_hebrew,research-layer / graph-candidate,N/A,no conflict,CLASSIFICATION → RELATIONSHIP,YES,"Same family as year_hebrew — paired data, same destination logic."
yeartime_category,"classifies the kind of temporal reference (event year, research year, etc.)","111 non-null, 5 distinct: year_in_phrase=85, research_year=10, date_or_period=10, event_year=4, ambiguous=2",none,research-layer (rides with year_hebrew/year_gregorian),research-layer,N/A,no conflict,CLASSIFICATION,tied to year_* gate,"Small supporting classification, not independently actionable."
temporal_expression_flag,flags any row with a detected temporal expression,"120 non-null, 1 distinct value ('yes')",none,research-layer (rides with year_*),research-layer,N/A,no conflict,CLASSIFICATION (flag),tied to year_* gate,Umbrella flag for the year_*/yeartime_category family.
normalization_state,internal build-pipeline flag from the CSV construction process,"15433 non-null but INCONSISTENT casing: 'true'=11365, 'false'=2618, 'True'=1190, 'False'=260 (4 string values for what should be 1 boolean)","none — this is pipeline/build metadata, not word data",NO SAFE HOME NEEDED — not word data at all,no-safe-home / do-not-persist,N/A,"internal data-quality bug (case inconsistency) noted, not a live-DB conflict",DERIVED/REDUNDANT (build artifact),NO,"Genuine data-quality finding: this column mixes two different casing conventions, evidence the CSV was assembled by multiple passes/scripts without normalizing this field. Recommend excluding from any persistence write; not informative as project data."
duplicate_flag,flags a row the classification pass considered a duplicate,"2 non-null, 1 distinct value ('yes') — phrases 'קרח ועדתו' and 'בי נשבעתי'",gematria_words (checked directly: neither of these 2 phrases is a live phrase-duplicate — the actual 2 live duplicate-phrase pairs are different rows entirely),archive-only,no-safe-home,N/A,"MISMATCH noted: this flag does not correspond to the live phrase-duplication found separately in this same reconciliation (2 different phrase pairs) — the CSV's notion of 'duplicate' is internal to its own build pipeline, not a live-DB duplicate","CLASSIFICATION (flag, narrow/stale)",NO,Do not confuse with the real live duplicate-phrase pairs found in this reconciliation (see RECONCILIATION.csv) — they are unrelated findings.
garbage_broken_flag,flags a row judged broken/unusable,"1 non-null ('yes') — id c421cd26, phrase '1537 (ן700)'","gematria_words.is_verified for that row = False (consistent, not contradictory)",archive-only,no-safe-home,N/A,no contradiction — the one flagged row is already is_verified=False live,"CLASSIFICATION (flag, closed per work_log 491aee81 Step-6 gap report)",NO,Already accounted for in the prior session's CORPUS_DNA_GAPS.csv; not a new open item.
ambiguity_unresolved_flag,flags a row the classification pass could not resolve,"1 non-null ('yes') — id 33be710c, phrase 'יהוה בעת ההיא'",gematria_words.is_verified for that row = TRUE,archive-only,no-safe-home,N/A,"SOFT TENSION noted: live is_verified=True (the phrase's gematria value is engine-verified) while v3 flags the row's CLASSIFICATION as unresolved — these are different axes (value-verification vs. thematic-classification-ambiguity), not a direct contradiction, but worth a human glance",CLASSIFICATION (flag),NO — already logged as the single open item in work_log 491aee81's Step-2 closure,"This is the one row explicitly named 'genuinely_unresolved' in the prior session's own Step-2 closure memo — already tracked, not a new finding."
conflict_detail,free-text note on how a Human-Gate conflict for the row was resolved,"120 non-null, 2 distinct: ' [RESOLVED: deterministic_rule]'=109, ' [RESOLVED: human_decided]'=11",none,archive-only / work_log-style provenance text,archive-only,N/A,no conflict — these ARE the resolution records for the 120 conflicts closed in work_log ad874cd1 (2026-08-22),PROVENANCE,NO — already closed per work_log ad874cd1,"Matches exactly the '120 קונפליקטים נסגרו (109 דטרמיניסטי + 11 החלטת-צוריאל)' closure already logged; this column is that closure's row-level trace, already resolved, not a new open item."
