family_candidate_id,surface_form,normalized_form,relation_candidate,relation_class,evidence,provenance,live_engine_values,engine_match,confidence,verification_state,human_gate_required,recommended_action
FAM-06,אליהו,אליהו,אליה (ambiguous -- possible short form OR unrelated preposition),unresolved,"ו-insertion signal links to ""אליה"", but ""אליה"" is also the ordinary Hebrew preposition-construct ""to her/toward her"" (אל+יה) -- a genuinely different, common grammatical word, not necessarily a name-variant at all. No note/source in the corpus disambiguates which reading is meant for this specific row",source=wp_id:36710; vip_source=None; node_id=a0709a52-6a4f-45ea-a2af-33843f6f82ac; is_verified=True,"{""אטבח"": 178, ""אלבם"": 481, ""אתבש"": 630, ""גדול"": 52, ""קדמי"": 197, ""רגיל"": 52, ""מילוי"": 242, ""מסתתר"": 55, ""ריבוע"": 171, ""סידורי"": 34, ""משולש גדול"": 197, ""אותיות אחרי"": 75, ""אותיות לפני"": 438}",MATCH,"LOW-MEDIUM (real ambiguity, not merely weak evidence)","candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",YES (if ever escalated),"insufficient evidence to even propose a spelling_variant candidate confidently -- hold; Zuriel/context-dependent disambiguation needed per occurrence, not resolvable as a blanket rule"
FAM-06,אליה,אליהו,אליהו (ambiguous),unresolved,reverse direction of the same ambiguity,source=promoted:raw_docx_v2; vip_source=None; node_id=None; is_verified=True,"{""אטבח"": 174, ""אלבם"": 401, ""אתבש"": 550, ""גדול"": 46, ""קדמי"": 176, ""רגיל"": 46, ""מילוי"": 220, ""מסתתר"": 54, ""ריבוע"": 119, ""סידורי"": 28, ""משולש גדול"": 176, ""אותיות אחרי"": 68, ""אותיות לפני"": 433}",MATCH,LOW-MEDIUM,"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",YES (if ever escalated),"insufficient evidence -- hold, see above"
FAM-07,אהרן,אהרן,הרן (surface signal only -- almost certainly a DIFFERENT biblical figure),unresolved,"א-insertion signal only; ""הרן"" is the name of Abrahams brother (Genesis 11) -- a distinct biblical figure from Aaron (אהרן). One-letter surface proximity is coincidental, not evidence of shared identity",source=sod1820; vip_source=None; node_id=3cc6e44d-de35-43a5-9124-7b7db137aac5; is_verified=True,"{""אטבח"": 394, ""אלבם"": 112, ""אתבש"": 502, ""גדול"": 906, ""קדמי"": 1006, ""רגיל"": 256, ""מילוי"": 742, ""מסתתר"": 349, ""ריבוע"": 469, ""סידורי"": 40, ""משולש גדול"": 4106, ""אותיות אחרי"": 368, ""אותיות לפני"": 544}",MATCH,LOW (evidence points AWAY from any relation),"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",NO (nothing to gate -- effectively a rejected candidate),no action -- flagged and kept for transparency (Rank-Dont-Hide) but explicitly not a real candidate
FAM-07,הרן,אהרן,אהרן (surface signal only -- different figure),unresolved,reverse direction,source=promoted:raw_docx_v2; vip_source=None; node_id=None; is_verified=True,"{""אטבח"": 385, ""אלבם"": 82, ""אתבש"": 102, ""גדול"": 905, ""קדמי"": 1005, ""רגיל"": 255, ""מילוי"": 631, ""מסתתר"": 345, ""ריבוע"": 465, ""סידורי"": 39, ""משולש גדול"": 4105, ""אותיות אחרי"": 366, ""אותיות לפני"": 144}",MATCH,LOW,"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",NO,no action -- see above
FAM-08,אסתר,אסתר,"סתר (surface signal only -- different word, not a name at all)",unresolved,"א-insertion signal only; ""סתר"" means ""secret/hidden,"" an ordinary noun, not a short form of the name Esther. Purely coincidental one-letter proximity",source=excel_import; vip_source=None; node_id=0a2f310f-1fcf-4493-97c5-b35997c4782f; is_verified=True,"{""אטבח"": 169, ""אלבם"": 63, ""אתבש"": 412, ""גדול"": 661, ""קדמי"": 2546, ""רגיל"": 661, ""מילוי"": 1157, ""מסתתר"": 599, ""ריבוע"": 1184, ""סידורי"": 58, ""משולש גדול"": 2546, ""אותיות אחרי"": 373, ""אותיות לפני"": 850}",MATCH,LOW (evidence points AWAY from any relation),"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",NO,"no action -- flagged for transparency, not a real candidate"
FAM-08,סתר,אסתר,אסתר (surface signal only -- different word),unresolved,reverse direction,source=promoted:raw_docx_v2; vip_source=None; node_id=None; is_verified=True,"{""אטבח"": 160, ""אלבם"": 33, ""אתבש"": 12, ""גדול"": 660, ""קדמי"": 2545, ""רגיל"": 660, ""מילוי"": 1046, ""מסתתר"": 540, ""ריבוע"": 1180, ""סידורי"": 57, ""משולש גדול"": 2545, ""אותיות אחרי"": 371, ""אותיות לפני"": 450}",MATCH,LOW,"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",NO,no action -- see above
FAM-09,דוד,דוד,דד (surface signal only -- archaic unrelated word),unresolved,"ו-removal signal only; ""דד"" is an archaic/poetic word for ""breast/nipple"" (e.g. Song of Songs), unrelated in meaning to the name David. Coincidental letter proximity from a generic root-stripping signal",source=sod1820; vip_source=None; node_id=fabd7917-e5e5-4e86-9092-051f0b4d6ec7; is_verified=True,"{""אטבח"": 16, ""אלבם"": 200, ""אתבש"": 280, ""גדול"": 14, ""קדמי"": 41, ""רגיל"": 14, ""מילוי"": 890, ""מסתתר"": 4, ""ריבוע"": 28, ""סידורי"": 14, ""משולש גדול"": 41, ""אותיות אחרי"": 17, ""אותיות לפני"": 11}",MATCH,LOW (evidence points AWAY from any relation),"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",NO,"no action -- flagged for transparency, not a real candidate"
FAM-09,דד,דוד,דוד (surface signal only -- different word),unresolved,reverse direction,source=promoted:raw_docx_v2; vip_source=None; node_id=None; is_verified=True,"{""אטבח"": 12, ""אלבם"": 120, ""אתבש"": 200, ""גדול"": 8, ""קדמי"": 20, ""רגיל"": 8, ""מילוי"": 868, ""מסתתר"": 0, ""ריבוע"": 12, ""סידורי"": 8, ""משולש גדול"": 20, ""אותיות אחרי"": 10, ""אותיות לפני"": 6}",MATCH,LOW,"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",NO,no action -- see above
FAM-10,דוד,דוד,"דודי (ambiguous -- possessive/construct form, not necessarily a name-spelling)",unresolved,"י-insertion signal; ""דודי"" is grammatically ""my beloved"" or ""my uncle"" (a possessive-suffixed common noun, famous from Song of Songs ""אני לדודי ודודי לי""), not a standard alternate spelling of the name David. Distinguishable computationally too: מסתתר differs (דוד=4 vs דודי=10) even though רגיל coincides with דויד (both 24)",source=sod1820; vip_source=None; node_id=fabd7917-e5e5-4e86-9092-051f0b4d6ec7; is_verified=True,"{""אטבח"": 16, ""אלבם"": 200, ""אתבש"": 280, ""גדול"": 14, ""קדמי"": 41, ""רגיל"": 14, ""מילוי"": 890, ""מסתתר"": 4, ""ריבוע"": 28, ""סידורי"": 14, ""משולש גדול"": 41, ""אותיות אחרי"": 17, ""אותיות לפני"": 11}",MATCH,LOW-MEDIUM (real ambiguity),"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",YES (if ever escalated),"insufficient evidence to propose spelling_variant -- hold, likely a different word rather than a name-spelling"
FAM-10,דודי,דוד,דוד (ambiguous),unresolved,reverse direction,source=promoted:raw_docx_v2; vip_source=None; node_id=None; is_verified=True,"{""אטבח"": 106, ""אלבם"": 500, ""אתבש"": 320, ""גדול"": 24, ""קדמי"": 96, ""רגיל"": 24, ""מילוי"": 910, ""מסתתר"": 10, ""ריבוע"": 52, ""סידורי"": 24, ""משולש גדול"": 96, ""אותיות אחרי"": 37, ""אותיות לפני"": 20}",MATCH,LOW-MEDIUM,"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",YES (if ever escalated),"insufficient evidence -- hold, see above"
FAM-11,חשך,חשך,"חושך (spelling_variant candidate -- common noun, not a name)",spelling_variant,"same consonant skeleton +1 letter (ו inserted); both exist independently, ""חושך"" is node-linked (entity, ""darkness""), ""חשך"" is not -- standard כתיב-מלא/כתיב-חסר for an ordinary noun, not identity-sensitive the way proper names are",source=excel_import; vip_source=None; node_id=None; is_verified=True,"{""אטבח"": 72, ""אלבם"": 510, ""אתבש"": 92, ""גדול"": 808, ""קדמי"": 1206, ""רגיל"": 328, ""מילוי"": 878, ""מסתתר"": 572, ""ריבוע"": 644, ""סידורי"": 40, ""משולש גדול"": 3126, ""אותיות אחרי"": 439, ""אותיות לפני"": 217}",MATCH,HIGH,"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)","YES (still Zuriel-only for the actual word_aliases write, per Corpus Expansion gate rules — even common-noun variants are not auto-linked)","ready_for_human_gate: propose word_aliases row (alias_type=spelling_variant), pending Zuriel — NOT inserted"
FAM-11,חושך,חשך,חשך (spelling_variant candidate),spelling_variant,reverse direction,source=entity_seed_v1; vip_source=None; node_id=37eb109e-b5d8-437c-93d8-9115e2945b07; is_verified=True,"{""אטבח"": 76, ""אלבם"": 590, ""אתבש"": 172, ""גדול"": 814, ""קדמי"": 1227, ""רגיל"": 334, ""מילוי"": 900, ""מסתתר"": 576, ""ריבוע"": 670, ""סידורי"": 46, ""משולש גדול"": 3147, ""אותיות אחרי"": 446, ""אותיות לפני"": 222}",MATCH,HIGH,"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",YES,"ready_for_human_gate: propose word_aliases row, pending Zuriel — NOT inserted"
FAM-12,נצחון,נצחון,ניצחון (spelling_variant candidate -- common noun),spelling_variant,"same consonant skeleton +1 letter (י inserted); both exist independently, ""ניצחון"" is node-linked (entity, ""victory""), ""נצחון"" is not -- standard כתיב-מלא/כתיב-חסר",source=promoted:raw_docx_v2; vip_source=None; node_id=None; is_verified=True,"{""אטבח"": 366, ""אלבם"": 193, ""אתבש"": 163, ""גדול"": 854, ""קדמי"": 942, ""רגיל"": 204, ""מילוי"": 756, ""מסתתר"": 168, ""ריבוע"": 696, ""סידורי"": 60, ""משולש גדול"": 4042, ""אותיות אחרי"": 236, ""אותיות לפני"": 172}",MATCH,HIGH,"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",YES,"ready_for_human_gate: propose word_aliases row, pending Zuriel — NOT inserted"
FAM-12,ניצחון,נצחון,נצחון (spelling_variant candidate),spelling_variant,reverse direction,source=entity_seed_v1; vip_source=None; node_id=ee047c5b-50fa-4c48-8055-edc04ed42a96; is_verified=True,"{""אטבח"": 456, ""אלבם"": 493, ""אתבש"": 203, ""גדול"": 864, ""קדמי"": 997, ""רגיל"": 214, ""מילוי"": 776, ""מסתתר"": 248, ""ריבוע"": 796, ""סידורי"": 70, ""משולש גדול"": 4097, ""אותיות אחרי"": 256, ""אותיות לפני"": 181}",MATCH,HIGH,"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",YES,"ready_for_human_gate: propose word_aliases row, pending Zuriel — NOT inserted"
FAM-13,תהלים,תהלים,תהילים (spelling_variant candidate -- book title / common noun),spelling_variant,"same consonant skeleton +1 letter (י inserted); both exist independently and are BOTH already node-linked (two separate entity nodes for ""Psalms"") -- a live case where the graph itself has NOT yet unified two spellings of the same referent, directly illustrating the gap this whole Phase exists to examine",source=entity_expansion_v1; vip_source=None; node_id=828af9df-dcc5-45f5-bdc5-d7e9374920bc; is_verified=True,"{""אטבח"": 605, ""אלבם"": 393, ""אתבש"": 161, ""גדול"": 1045, ""קדמי"": 1815, ""רגיל"": 485, ""מילוי"": 605, ""מסתתר"": 470, ""ריבוע"": 2170, ""סידורי"": 62, ""משולש גדול"": 4265, ""אותיות אחרי"": 117, ""אותיות לפני"": 363}",MATCH,HIGH,"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",YES,"ready_for_human_gate: propose word_aliases row, pending Zuriel — NOT inserted; note both sides already have independent node_ids, so a merge decision also touches which node stays canonical"
FAM-13,תהילים,תהלים,תהלים (spelling_variant candidate),spelling_variant,reverse direction; see node-duplication note above,source=entity_seed_v1; vip_source=None; node_id=5439854e-dbde-4a92-bcc4-aa8d64a040e6; is_verified=True,"{""אטבח"": 695, ""אלבם"": 693, ""אתבש"": 201, ""גדול"": 1055, ""קדמי"": 1870, ""רגיל"": 495, ""מילוי"": 625, ""מסתתר"": 470, ""ריבוע"": 2615, ""סידורי"": 72, ""משולש גדול"": 4320, ""אותיות אחרי"": 137, ""אותיות לפני"": 372}",MATCH,HIGH,"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",YES,"ready_for_human_gate: same as above, reverse direction"
FAM-14,בנק,בנק,"נקב, צמח דוד (shared ragil=152 ONLY -- confirmed NOT the same identity)",shared_value_only,"ragil=152 shared with ""נקב"" (anagram) and ""צמח דוד"" (unrelated construct phrase); zero notes/provenance/researcher-attribution link any pair as the same identity; three unrelated referents (a bank / a hole / a messianic-title phrase)",source=promoted:raw_docx_v2; vip_source=None; node_id=None; is_verified=True,"{""אטבח"": 148, ""אלבם"": 51, ""אתבש"": 313, ""גדול"": 152, ""קדמי"": 793, ""רגיל"": 152, ""מילוי"": 704, ""מסתתר"": 98, ""ריבוע"": 206, ""סידורי"": 35, ""משולש גדול"": 793, ""אותיות אחרי"": 263, ""אותיות לפני"": 131}",MATCH,HIGH (confidently a non-relation),"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",NO (nothing to gate -- this is the designed negative control),"no action -- confirmed negative control, re-verified live per instruction Sec.F"
FAM-14,נקב,נקב,"בנק, צמח דוד (shared ragil=152 ONLY)",shared_value_only,"anagram of בנק, same 152 value, unrelated meaning (""hole"")",source=promoted:raw_docx_v2; vip_source=None; node_id=None; is_verified=True,"{""אטבח"": 148, ""אלבם"": 51, ""אתבש"": 313, ""גדול"": 152, ""קדמי"": 793, ""רגיל"": 152, ""מילוי"": 704, ""מסתתר"": 148, ""ריבוע"": 352, ""סידורי"": 35, ""משולש גדול"": 793, ""אותיות אחרי"": 263, ""אותיות לפני"": 131}",MATCH,HIGH,"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",NO,no action -- see above
FAM-14,צמח דוד,צמח דוד,"בנק, נקב (shared ragil=152 ONLY)",shared_value_only,shares 152 with the two unrelated words above purely by coincidence,source=wp_id:20584; vip_source=None; node_id=a4649aad-0e86-4689-b16e-4a3fa78c7b44; is_verified=True,"{""אטבח"": 88, ""אלבם"": 309, ""אתבש"": 355, ""גדול"": 152, ""קדמי"": 717, ""רגיל"": 152, ""מילוי"": 1492, ""מסתתר"": 86, ""ריבוע"": 386, ""סידורי"": 53, ""משולש גדול"": 717, ""אותיות אחרי"": 176, ""אותיות לפני"": 128}",MATCH,HIGH,"candidate (no identity link verified; is_verified=true refers only to the phrases own gematria, never to an identity claim)",NO,no action -- see above
