phrase,source,verified,ragil,hebrew_year,gregorian_year,hebrew_gregorian_mapping,category_type,event_name,provenance,confidence,id,reason
מקדש שלישי,סלי מור,True,1094,"תשפ""ו",,,date_or_period,"תשעה באב תשפ""ו (ט' באב תשפ""ו)",רשימת סלימור — תשעה באב תשפו | source=סלי מור,high,d6c8af8a-dd2a-4e8f-a0eb-68c6246bb148,"category/tags מציינים במפורש ""תשעה באב תשפו"" — תאריך מלא (יום+שנה עברית)"
תשעה באב,auto:תיעוד אירועים wp4561,True,780,,,,date_or_period,"תשעה באב (תאריך יומי חוזר, בלי שנה מצוינת)",שרשרת: [780] | source=auto:תיעוד אירועים wp4561; vip_source=OPOC1 OPOC1,low,78e8f7cb-f04d-4c2f-9b5a-f22495920852,"מקור ""auto:תיעוד אירועים"" (הזנת אירוע), אך אין שנה מצוינת בביטוי/ב-notes"
הגירה לאירופה התשעה,auto:תיעוד אירועים wp4941,True,1335,"תשע""ה (775)",2015,"התשעה (775) = ה'תשע""ה (5775) ≈ 2014-2015",event_year,משבר המהגרים באירופה (הגירה המונית לאירופה) 2015,שרשרת: [1335] | source=auto:תיעוד אירועים wp4941,medium,0030e1a0-7ce9-4891-b825-362a748bed68,"""התשעה"" = ה+תשעה(775) = שנת תשע""ה; auto:תיעוד אירועים; משבר המהגרים באירופה שיא ב-2015"
ההגירה ההמונית בשנת התשעה,auto:תיעוד אירועים wp4941,True,2276,"תשע""ה (775)",2015,"בשנת התשעה = ה'תשע""ה (5775) ≈ 2014-2015",event_year,משבר המהגרים באירופה (הגירה המונית לאירופה) 2015,שרשרת: [1335] | source=auto:תיעוד אירועים wp4941,medium,b9b30c00-b7a5-4cbb-9484-6c7d840b69e2,"""בשנת התשעה"" — ""בשנת"" מפורש! auto:תיעוד אירועים, אותה שרשרת [1335] כמו הרשומה התאומה"
כב בתשרי תשפד,sod1820,True,1718,"כ""ב בתשרי תשפ""ד",2023,"כ""ב בתשרי תשפ""ד = 7.10.2023 (מעוגן במפורש ב-notes)",event_year,"פרוץ מלחמת ""חרבות ברזל"" (שמיני עצרת/שמחת תורה)","תאריך פרוץ חרבות ברזל (שמיני עצרת/שמחת תורה, 7.10.2023). רגיל=1718=משיח בן דויד ישלים הבית בעתה. מסתתר=1202=התגלות משיח= | source=sod1820",high,f1ba62ce-9464-4213-9b62-fd39f9d28b1a,"ה-notes: ""תאריך פרוץ חרבות ברזל (שמיני עצרת/שמחת תורה, 7.10.2023)"" — עיגון מפורש ומדויק"
שאגת הארי,מבצע שאגת הארי - גלריית סוד1820,True,920,"תשפ""ו (פורים תשפ""ו, מוזכר ב-notes)",2026,"פורים תשפ""ו ≈ מרץ 2026 (עוגן: node קיים type=event בשם דומה ""מבצע שאגת הארי"" עם metadata.year=2026)",event_year,"מבצע צבאי ""שאגת הארי"" — סינכרוניות עם פורים תשפ""ו","מסתתר רגיל=1237=התגלות. רגיל=גדול=1122=פורים תשפו=חג הגאולה. משולש=4431, ריבוע=2458, מילוי בלבד גדול=4530, מילוי בלבד רג | source=מבצע שאגת הארי - גלריית סוד1820",medium,2524b181-f562-423d-a341-3f8250f04996,"ה-notes: ""רגיל=גדול=1122=פורים תשפו=חג הגאולה...שם מבצע צבאי — סינכרוניות""; יש node קיים מסוג event עם אותו שם ו-year=2026"
בריפ,sod1820,True,292,,2015,,research_year,,ליבה נקייה שחולצה מ: ב2015 ר יפ | source=sod1820,medium,443a82be-51e2-4024-a1ae-da3d039afa2b,"רשומה ""נוקתה"" (ליבה נקייה) מתוך ""ב2015 ר יפ"" — השנה מופיעה רק ב-notes כמקור, לא בביטוי הנוכחי עצמו"
הארת פנים,wa-vip,True,786,"תשפ""ו (5786)",,,research_year,,צבי — העוגן: כתר עליון = תשפ״ו = הארת פנים = 786. מאומת במנוע. | source=wa-vip; vip_source=צבי (OPOC1),high,9c3b931b-af5c-4530-91d4-60c5591d5842,"ה-notes טוענים שוויון גימטרי בין ערך הביטוי לשנה העברית תשפ""ו (""מאומת במנוע"")"
ועשית,wa-vip,True,786,"תשפ""ו (5786)",,,research_year,,צבי/גילוי-יומי — וְעָשִׂיתָ = 786 = תשפ״ו. מאומת במנוע. | source=wa-vip; vip_source=צבי (OPOC1),high,265ef0f3-9da2-40d0-9e5f-41184198371a,"ה-notes טוענים שוויון גימטרי בין ערך הביטוי לשנה העברית תשפ""ו (""מאומת במנוע"")"
ושכנתי,sod1820,False,786,"תשפ""ו (5786)",,,research_year,,זכריה — מחזק ענף 786/תשפו | source=sod1820; vip_source=OPOC1 OPOC1,high,d3da22dd-9c79-4f0f-9266-900bd478714f,"ה-notes טוענים שוויון גימטרי בין ערך הביטוי לשנה העברית תשפ""ו (""מאומת במנוע"")"
ותשמם,wa-vip,True,786,"תשפ""ו (5786)",,,research_year,,"צבי — «וַתְּשִׂמֵם בְּכַר הַגָּמָל» (רחל, פרשת ויצא) = תשפ״ו. מאומת במנוע. | source=wa-vip; vip_source=צבי (OPOC1)",high,9a7cac01-ee7b-48b3-8b9f-99eebe0216f1,"ה-notes טוענים שוויון גימטרי בין ערך הביטוי לשנה העברית תשפ""ו (""מאומת במנוע"")"
יהו ה מלך יה וה מלך יה,excel_import,False,247,"ה'תשע""ו (5776)",2015-2016,"חמשת אלפים שבע מאות שבעים ושש (ב-notes) = ה'תשע""ו (5776) ≈ 2015–2016",research_year,,וה ימלך לעולם ועד חמשת אלפים שבע מאות שבעים ושש | source=excel_import,medium,7df6aa06-89ec-405f-b8c7-65b091586043,"השנה העברית המאוית מופיעה ב-notes, לא בביטוי עצמו"
מסתתר,auto:תיעוד אירועים wp36103,True,1100,,2015,,research_year,,"שרשרת: [1100] | נספח: מסתתר של ""מסתתר"" = 2015 = ""אלפיים וחמש עשרה"" | source=auto:תיעוד אירועים wp36103",high,313e1a82-607c-47aa-be69-0a62423a0a03,"ה-notes טוענים במפורש: מסתתר של ""מסתתר"" = 2015 = ""אלפיים וחמש עשרה"""
שם י ה ו,excel_import,True,361,"ה'תשע""ו (5776)",2015-2016,"חמשת אלפים שבע מאות שבעים ושש (ב-notes) = ה'תשע""ו (5776) ≈ 2015–2016",research_year,,ה יוודע לעולם בחמשת אלפים שבע מאות שבעים ושש - אות שלישית | source=excel_import,medium,c145bd4e-c6de-464e-9ee3-a62bf351f41c,"השנה העברית המאוית מופיעה ב-notes, לא בביטוי עצמו"
שמעישראליהוהאלהינויהוהאחד,sod1820,True,1118,"תשע""ז (פורים)",2017,"פורים התשע""ז = אלפיים שבע עשרה (שתי הצורות מוזכרות יחד ב-notes, שתיהן שוות 1118 בגימטריה) → תשע""ז ≈ 2017",research_year,,"שמע ישראל = פורים התשע""ז = בשבע שבע שבע = אלפיים שבע עשרה (כולם 1118) | source=sod1820",high,8a4505af-3b01-46ec-803c-39e97a416419,"ה-notes נותנים בו-זמנית את הצורה העברית (פורים התשע""ז) ואת הצורה הלועזית המאוית (אלפיים שבע עשרה) עבור אותו ערך גימטרי — מיפוי מעוגן במקור עצמו, לא ניחוש"
שר הדין,contribution:יניב לוי,True,569,"תשפ""ו (רמז חלקי — ""מסתתר בצירופי אב תשפ״ו"")",,,research_year,,"חקירת יניב לוי — מילוי 1445, את-בש 244, מסתתר בצירופי אב תשפ״ו | source=contribution:יניב לוי",low,dd59172a-6626-4201-804c-0e3d10991055,"ה-notes: ""מסתתר בצירופי אב תשפ״ו"" — קשר חלש/עקיף לשנה, לא שוויון ישיר"
396 גואל האחרון ב2015- לפי אחת,excel_import,False,3960,,2015,,year_in_phrase,,396 גואל האחרון ב2015 - לפי אחת | source=excel_import,high,22de9d9b-d133-4cd1-9acb-ac2ef593eeef,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
396 יגאלנו ב2015 -לפני רזא -386 -מיקום האות - 3750 רגיל,excel_import,False,3860,,2015,,year_in_phrase,,396 יגאלנו ב2015 - לפני רזא - 386 - מיקום האות - 3750 רגיל | source=excel_import,high,1083efe8-524e-4849-a50c-81e46b2872b6,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
אהיה משיח יהוה האחרון ב2015 -אטבח - 3383 איק בכר,excel_import,False,2015,,2015,,year_in_phrase,,אהיה משיח יהוה האחרון ב2015 - אטבח - 3383 איק בכר | source=excel_import,high,dc24a5c2-c217-43da-8d0f-f06e62083841,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
אחד באפריל תשפו,auto:תיעוד אירועים wp36317,True,1122,"תשפ""ו (5786)",,,year_in_phrase,,שרשרת: [1122] | source=auto:תיעוד אירועים wp36317,high,f4576de0-7445-4482-bd78-47ccb7426177,"הביטוי כולל במפורש את אסימון-השנה ""תשפו"""
אלול התשפו,chiddush,True,858,"תשפ""ו (5786)",,,year_in_phrase,,אלול התשפו = 858 (סדרת 858 — חידוש סלי מור) | source=chiddush; vip_source=סלי מור,high,9505fa98-c614-4b70-a93d-052d44ec5194,"הביטוי כולל במפורש את אסימון-השנה ""התשפו"""
אלפיים וחמש עשרה,excel_import,True,1100,,2015,,year_in_phrase,,אלפיים וחמש עשרה | source=excel_import,high,d59ad783-21f3-4725-b1f5-ec73bd4ccdb9,"הביטוי מאיית במילים שנה לועזית (""אלפיים ..."") = 2015"
אלפיים ושבע עשרה - מקדש,excel_import,False,1568,,2017,,year_in_phrase,,אלפיים ושבע עשרה - מקדש | source=excel_import,high,5cd562d1-d252-4985-99e7-5b59a265824e,"הביטוי מאיית במילים שנה לועזית (""אלפיים ..."") = 2017"
אלפיים שש עשרה,excel_import,True,1346,,2016,,year_in_phrase,,אלפיים שש עשרה | source=excel_import,high,c6901a94-9e3c-4661-b8fe-0d5b3bc2190e,"הביטוי מאיית במילים שנה לועזית (""אלפיים ..."") = 2016"
אמלוך באלפיים שש עשרה-מסתתר =פי 5,excel_import,False,3960,,2016,,year_in_phrase,,אמלוך באלפיים שש עשרה - מסתתר =פי 5 | source=excel_import,high,02414171-733c-4f7c-82d1-d48995fb78bd,"הביטוי מאיית במילים שנה לועזית (""אלפיים ..."") = 2016"
אני שורש דויד ב2015 - מילוי -מילוי =פי 5,excel_import,False,51400,,2015,,year_in_phrase,,אני שורש דויד ב2015 - מילוי - מילוי =פי 5 | source=excel_import,high,e4fd15b6-9065-4e44-8623-94890b3c7cfd,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
אעשה שלום עולמי ב2016- לפני -348-מיקום האות,excel_import,False,2016,,2016,,year_in_phrase,,אעשה שלום עולמי ב2016 - לפני - 348 - מיקום האות | source=excel_import,high,e75945e0-b0b0-4a39-8e70-a94f267744aa,"הביטוי כולל במפורש ""ב2016"""
ארגנטינה תשפג,auto:תיעוד אירועים wp28247,True,1111,"תשפ""ג (5783)",,,year_in_phrase,,שרשרת: [1111] | source=auto:תיעוד אירועים wp28247,high,2e133608-7280-4f0d-a6b1-7497df2c6c01,"הביטוי כולל במפורש את אסימון-השנה ""תשפג"""
ב2015 ר יפ,excel_import,False,292,,2015,,year_in_phrase,,ב2015 ר יפ | source=excel_import,high,f6da3c45-49d7-4967-8105-82653c494878,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
בחרתי אותך לגאול את עם ישראל ב2015 -לפני =פי 5,excel_import,False,20160,,2015,,year_in_phrase,,בחרתי אותך לגאול את עם ישראל ב2015 - לפני =פי 5 | source=excel_import,high,93fcc439-b980-4385-b63c-63efca29812a,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
בחרתי בך למשיחי ב2015 - מסתתר,excel_import,False,3630,,2015,,year_in_phrase,,בחרתי בך למשיחי ב2015 - מסתתר | source=excel_import,high,566b7ee1-5112-4188-a561-cc880b1765c4,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
ביאת המשיח בשנת אלפיים חמש עשרה - אחרי,excel_import,False,4440,,2015,,year_in_phrase,,ביאת המשיח בשנת אלפיים חמש עשרה - אחרי | source=excel_import,high,44e15865-79a5-4960-a239-896e2a781269,"הביטוי מאיית במילים שנה לועזית (""אלפיים ..."") = 2015"
בית המקדש המקדש ירד ב2016 - סת,excel_import,False,1118,,2016,,year_in_phrase,,בית המקדש המקדש ירד ב2016 - סת | source=excel_import,high,523a577e-0b65-4dc6-a093-d88b568f8085,"הביטוי כולל במפורש ""ב2016"""
בן דוד יבא 644 2015ב -מילוי גדול,excel_import,False,18200,,2015,,year_in_phrase,,בן דוד יבא 644 2015ב - מילוי גדול | source=excel_import,high,b1c6ad35-56ba-4ecc-b432-1284972abe54,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
בשנת חמשת אלפים שבע מאות שבעים ושש,excel_import,False,3508,"ה'תשע""ו (5776, מאוית במילים כ""חמשת אלפים שבע מאות שבעים ושש"")",2015-2016,"חמשת אלפים שבע מאות שבעים ושש = ה'תשע""ו (5776) ≈ ספט'2015–ספט'2016 (חישוב ישיר מהמספר המאוית עצמו; תואם לשורות מקבילות מאותו batch שכותבות ""ב2015""/""ב2016"" במפורש)",year_in_phrase,,בשנת חמשת אלפים שבע מאות שבעים ושש | source=excel_import,medium,b03fed7d-134b-4ef9-8f3c-7137b6ed7968,השנה העברית מאוית במלואה בביטוי
גאולה תשפג,auto:תיעוד אירועים wp28247,True,828,"תשפ""ג (5783)",,,year_in_phrase,,שרשרת: [828] | source=auto:תיעוד אירועים wp28247,high,674151d6-7835-4dc8-837f-76ea25497799,"הביטוי כולל במפורש את אסימון-השנה ""תשפג"""
גאולת ישראל השלמה ב2015 - פי 5 - רגיל ואותיות,excel_import,False,15200,,2015,,year_in_phrase,,גאולת ישראל השלמה ב2015 - פי 5 - רגיל ואותיות | source=excel_import,high,b5d54567-6c30-49ca-b544-6e486f26d596,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
הגואל ב2015 - מילוי גדול,excel_import,False,8780,,2015,,year_in_phrase,,הגואל ב2015 - מילוי גדול | source=excel_import,high,6672205c-8ab9-4e60-8220-d2e9d5189c54,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
הגואל האמיתי יבוא לציון ב2015 - מיקום האות,excel_import,False,363,,2015,,year_in_phrase,,הגואל האמיתי יבוא לציון ב2015 - מיקום האות | source=excel_import,high,86ad3acc-ed5c-4a40-b2a4-5a0158047e71,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
הוא מלך המשיח ב2015 -אטבח,excel_import,False,4340,,2015,,year_in_phrase,,הוא מלך המשיח ב2015 - אטבח | source=excel_import,high,8f20870d-db97-45ef-a15d-c12e952b891f,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
הוא משיחכם באלפיים חמש עשרה - סת,excel_import,False,386,,2015,,year_in_phrase,,הוא משיחכם באלפיים חמש עשרה - סת | source=excel_import,high,fcf63e41-27d7-4ce6-9f0f-510ee8207f12,"הביטוי מאיית במילים שנה לועזית (""אלפיים ..."") = 2015"
הכתרת יהוה למלך העולם ב2015- מיקום -לפי אחד,excel_import,False,396,,2015,,year_in_phrase,,הכתרת יהוה למלך העולם ב2015 - מיקום - לפי אחד | source=excel_import,high,798c344e-69fc-401c-bb08-930d888ce592,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
המלכות ב2015 - סופי תיבות,excel_import,False,1202,,2015,,year_in_phrase,,המלכות ב2015 - סופי תיבות | source=excel_import,high,f5decf47-db4a-4f81-bb9e-f1d885a213a9,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
המלכתי ב2016 -פניפ ם =פי 5,excel_import,False,6440,,2016,,year_in_phrase,,המלכתי ב2016 - פניפ ם =פי 5 | source=excel_import,high,a1e4f633-1163-488f-884c-5001b9608a17,"הביטוי כולל במפורש ""ב2016"""
המלכתי ב2016 -רגיל ומלים,excel_import,False,2016,,2016,,year_in_phrase,,המלכתי ב2016 - רגיל ומלים | source=excel_import,high,434ad93e-0c2c-437c-913c-6d60dfbf0bc6,"הביטוי כולל במפורש ""ב2016"""
המשיח יעשה שלום עולמי ב2016- מיקום-לפי אחד,excel_import,False,396,,2016,,year_in_phrase,,המשיח יעשה שלום עולמי ב2016 - מיקום - לפי אחד | source=excel_import,high,32e094e8-0a39-4551-ba07-3c86ab9765ae,"הביטוי כולל במפורש ""ב2016"""
הקץ חמשת אלפים שבע מאות שבעים ושש,excel_import,False,2951,"ה'תשע""ו (5776, מאוית במילים כ""חמשת אלפים שבע מאות שבעים ושש"")",2015-2016,"חמשת אלפים שבע מאות שבעים ושש = ה'תשע""ו (5776) ≈ ספט'2015–ספט'2016 (חישוב ישיר מהמספר המאוית עצמו; תואם לשורות מקבילות מאותו batch שכותבות ""ב2015""/""ב2016"" במפורש)",year_in_phrase,,הקץ חמשת אלפים שבע מאות שבעים ושש | source=excel_import,medium,1ac39361-9490-4e63-abd0-93794a0cebce,השנה העברית מאוית במלואה בביטוי
השנה אלפיים חמש עשרה - ריבוע,excel_import,False,1742,,2015,,year_in_phrase,,השנה אלפיים חמש עשרה - ריבוע | source=excel_import,high,9bf53201-6369-4ee5-a260-66362ef1088d,"הביטוי מאיית במילים שנה לועזית (""אלפיים ..."") = 2015"
התשפו נלך,wa-vip,False,891,"תשפ""ו (5786)",,,year_in_phrase,,מאת שמעון חיימוב | source=wa-vip; vip_source=שמעון חיימוב,high,4b7eaff9-4a01-4714-b01c-20599225858d,"הביטוי כולל במפורש את אסימון-השנה ""התשפו"""
"וְזֹאת לִיהוּדָה, וַיֹּאמַר, שְׁמַע יְהוָה קוֹל יְהוּדָה, וְאֶל-עַמּוֹ תְּבִיאֶנּוּ; יָדָיו רָב לוֹ, וְעֵזֶר מִצָּרָיו תִּהְיֶה התגלות מלך המשיח בחמשת אלפים שבע מאות שבעים ושש",excel_import,False,2660,"ה'תשע""ו (5776, מאוית במילים כ""חמשת אלפים שבע מאות שבעים ושש"")",2015-2016,"חמשת אלפים שבע מאות שבעים ושש = ה'תשע""ו (5776) ≈ ספט'2015–ספט'2016 (חישוב ישיר מהמספר המאוית עצמו; תואם לשורות מקבילות מאותו batch שכותבות ""ב2015""/""ב2016"" במפורש)",year_in_phrase,,(none) | source=excel_import,medium,941111ec-834f-4bd6-8b07-ce2a3cc7a699,השנה העברית מאוית במלואה בביטוי
וַיִּקְרָא יַעֲקֹב אֶל בָּנָיו וַיֹּאמֶר הֵאָסְפוּ וְאַגִּידָה לָכֶם אֵת אֲשֶׁר יִקְרָא אֶתְכֶם בְּאַחֲרִית הַיָּמִים ביאת המשיח באלפיים חמש עשרה - מילוי,excel_import,False,14000,,2015,,year_in_phrase,,(none) | source=excel_import,high,8a1dc4d1-1109-44f0-80ce-63e4066f96f3,"הביטוי מאיית במילים שנה לועזית (""אלפיים ..."") = 2015"
וַיִּקְרָא יַעֲקֹב אֶל בָּנָיו וַיֹּאמֶר הֵאָסְפוּ וְאַגִּידָה לָכֶם אֵת אֲשֶׁר יִקְרָא אֶתְכֶם בְּאַחֲרִית הַיָּמִים ביאת המשיח באלפיים חמש עשרה-מיקום האות -70000-מילוי =פי 5,excel_import,False,4440,,2015,,year_in_phrase,,(none) | source=excel_import,high,5f62fa57-d41f-48c6-966f-6f055ae0ed78,"הביטוי מאיית במילים שנה לועזית (""אלפיים ..."") = 2015"
וַיִּקְרָא יַעֲקֹב אֶל בָּנָיו וַיֹּאמֶר הֵאָסְפוּ וְאַגִּידָה לָכֶם אֵת אֲשֶׁר יִקְרָא אֶתְכֶם בְּאַחֲרִית הַיָּמִים. אלפיים חמש עשרה,excel_import,True,4620,,2015,,year_in_phrase,,(none) | source=excel_import,high,a917f58c-6830-4889-8f07-6bbe5176a288,"הביטוי מאיית במילים שנה לועזית (""אלפיים ..."") = 2015"
וַיִּקְרָא יַעֲקֹב אֶל בָּנָיו וַיֹּאמֶר הֵאָסְפוּ וְאַגִּידָה לָכֶם אֵת אֲשֶׁר יִקְרָא אֶתְכֶם בְּאַחֲרִית הַיָּמִים. חמשת אלפים שבע מאות שבעים ושש -33750-לפני =פי 5,excel_import,False,22120,"ה'תשע""ו (5776, מאוית במילים כ""חמשת אלפים שבע מאות שבעים ושש"")",2015-2016,"חמשת אלפים שבע מאות שבעים ושש = ה'תשע""ו (5776) ≈ ספט'2015–ספט'2016 (חישוב ישיר מהמספר המאוית עצמו; תואם לשורות מקבילות מאותו batch שכותבות ""ב2015""/""ב2016"" במפורש)",year_in_phrase,,(none) | source=excel_import,medium,876b136e-776e-4f45-a238-8f7752a3212b,השנה העברית מאוית במלואה בביטוי
"וּבָא לְצִיּוֹן גּוֹאֵל, וּלְשָׁבֵי פֶשַׁע בְּיַעֲקֹב--נְאֻם, יְהוָה ליהוה בחמשת אלפים שבע מאות שבעים ושש- משולש גדול",excel_import,False,26626,"ה'תשע""ו (5776, מאוית במילים כ""חמשת אלפים שבע מאות שבעים ושש"")",2015-2016,"חמשת אלפים שבע מאות שבעים ושש = ה'תשע""ו (5776) ≈ ספט'2015–ספט'2016 (חישוב ישיר מהמספר המאוית עצמו; תואם לשורות מקבילות מאותו batch שכותבות ""ב2015""/""ב2016"" במפורש)",year_in_phrase,,(none) | source=excel_import,medium,32e2de1d-c9af-4017-9c11-b599a5f92373,השנה העברית מאוית במלואה בביטוי
חג חנוכה התשפג,auto:תיעוד אירועים wp28247,True,888,"תשפ""ג (5783)",,,year_in_phrase,,שרשרת: [888] | source=auto:תיעוד אירועים wp28247,high,1e60f45a-6f72-4f9c-9f98-12ccd70071d1,"הביטוי כולל במפורש את אסימון-השנה ""התשפג"""
חטר מגזע ישי יתגלה ב2015 -לפני,excel_import,False,2440,,2015,,year_in_phrase,,חטר מגזע ישי יתגלה ב2015 - לפני | source=excel_import,high,1e0ad25f-c7f2-46ca-92cd-8292f4771ff4,"הביטוי כולל במפורש ""ב2015"" (שנה לועזית בתוך הביטוי עצמו)"
חמשת אלפים שבע מאות שבעים ושש,excel_import,False,2756,"ה'תשע""ו (5776, מאוית במילים כ""חמשת אלפים שבע מאות שבעים ושש"")",2015-2016,"חמשת אלפים שבע מאות שבעים ושש = ה'תשע""ו (5776) ≈ ספט'2015–ספט'2016 (חישוב ישיר מהמספר המאוית עצמו; תואם לשורות מקבילות מאותו batch שכותבות ""ב2015""/""ב2016"" במפורש)",year_in_phrase,,חמשת אלפים שבע מאות שבעים ושש | source=excel_import,medium,ee2d2e34-3219-46a6-87c8-5eee47e61998,השנה העברית מאוית במלואה בביטוי
חמשת אלפים שבע מאות שמונים וארבע,excel_import,False,2453,"ה'תשפ""ד (5784, מאוית במילים)",2023-2024,"חמשת אלפים שבע מאות שמונים וארבע = ה'תשפ""ד (5784) ≈ ספט'2023–ספט'2024",year_in_phrase,,חמשת אלפים שבע מאות שמונים וארבע | source=excel_import,medium,b75b1701-3d19-4664-a3d3-9269d54d3d70,השנה העברית מאוית במלואה בביטוי
טראמפ תשפא,auto:תיעוד אירועים wp22588,True,1111,"תשפ""א (5781)",,,year_in_phrase,,שרשרת: [1111] | source=auto:תיעוד אירועים wp22588,high,8c1bd91d-3609-494a-9181-eba175f1550c,"הביטוי כולל במפורש את אסימון-השנה ""תשפא"""
יד אדר התשפא,auto:תיעוד אירועים wp22588,True,1005,"תשפ""א (5781)",,,year_in_phrase,,שרשרת: [1005] | source=auto:תיעוד אירועים wp22588,high,7780da85-dcb0-4604-9bf1-eb0bd98aae22,"הביטוי כולל במפורש את אסימון-השנה ""התשפא"""
יהוה ימליך אותי ב2016 - מילוי,excel_import,False,53300,,2016,,year_in_phrase,,יהוה ימליך אותי ב2016 - מילוי | source=excel_import,high,71d82e09-a188-4027-aeae-a4ba953bbbc4,"הביטוי כולל במפורש ""ב2016"""
יהוה ימליך אותי ב2016 -ריבוע -,excel_import,False,5900,,2016,,year_in_phrase,,יהוה ימליך אותי ב2016 - ריבוע | source=excel_import,high,38cb2fdc-6649-475e-8949-446f381ae296,"הביטוי כולל במפורש ""ב2016"""
