phrase,source,verified,ragil,detected_number_words,parsed_numeric_sequence,parsed_numeric_value,corpus_role,world_theme,provenance,confidence,category
אלפיים שש עשרה,excel_import,True,1346,"אלפיים, עשרה, שש",,2016,numeric_word_construct,,אלפיים שש עשרה | source=excel_import,high,numeric_quantity
אלפים וחמש עשרה,excel_import,True,1090,"אלפים, חמש, עשרה",,2015,numeric_word_construct,,אלפים וחמש עשרה - רגיל ואתבש | source=excel_import,high,numeric_quantity
חמש מאות שלושים ושלוש,excel_import,True,2123,"חמש, מאות, שלוש, שלושים",,533,numeric_word_construct,,מילוי ללא מילה | source=excel_import,high,numeric_quantity
חמשת אלפים שבע מאות שבעים ושש,excel_import,False,2756,"אלפים, חמשת, מאות, שבע, שבעים, שש",,5776,numeric_word_construct,,חמשת אלפים שבע מאות שבעים ושש | source=excel_import,high,numeric_quantity
חמשת אלפים שבע מאות שמונים וארבע,excel_import,False,2453,"אלפים, ארבע, חמשת, מאות, שבע, שמונים",,5784,numeric_word_construct,,חמשת אלפים שבע מאות שמונים וארבע | source=excel_import,high,numeric_quantity
עשר,excel_import,True,570,עשר,,10,numeric_word_construct,,מיקום האות 57 - מילוי 1000 - ריבוע 1010 | source=excel_import,high,numeric_quantity
שבעים ושלש,excel_import,True,1058,"שבעים, שלש",,73,numeric_word_construct,,אחרי רגיל - 3850 - מילוי דה מילוי - 1290 מסתתר | source=excel_import,high,numeric_quantity
שבעים ושש,excel_import,True,1028,"שבעים, שש",,76,numeric_word_construct,,(none) | source=excel_import,high,numeric_quantity
שלוש מאות חמישים ושמונה,excel_import,True,1898,"חמישים, מאות, שלוש, שמונה",,358,numeric_word_construct,,גם סוד הויה מילוי דמילוי | source=excel_import,high,numeric_quantity
שש מאות ששים וארבע,excel_import,True,1976,"ארבע, מאות, שש, ששים",,664,numeric_word_construct,,רגיל ומילוי | source=excel_import,high,numeric_quantity
אחת,promoted:raw_docx_v2,True,409,אחת,,1,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
ארבע,promoted:raw_docx_v2,True,273,ארבע,,4,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
ארבע מאות,promoted:raw_docx_v2,True,720,"ארבע, מאות",,400,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
ארבעים,promoted:raw_docx_v2,True,323,ארבעים,,40,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
חמש,promoted:raw_docx_v2,True,348,חמש,,5,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
חמשים,promoted:raw_docx_v2,True,398,חמשים,,50,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
מאה,promoted:raw_docx_v2,True,46,מאה,,100,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
מאתיים,promoted:raw_docx_v2,True,501,מאתיים,,200,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
מיליון,promoted:raw_docx_v2,True,146,מיליון,,1000000,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
עשרה,promoted:raw_docx_v2,True,575,עשרה,,10,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
רבבה,promoted:raw_docx_v2,True,209,רבבה,,10000,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
שבע,promoted:raw_docx_v2,True,372,שבע,,7,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
שבעה,promoted:raw_docx_v2,True,377,שבעה,,7,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
שבעים,promoted:raw_docx_v2,True,422,שבעים,,70,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
שבעים אלף,promoted:raw_docx_v2,True,533,"אלף, שבעים",,70000,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
שבעים ואחד,promoted:raw_docx_v2,True,441,"אחד, שבעים",,71,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
שלוש,promoted:raw_docx_v2,True,636,שלוש,,3,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
שלש,promoted:raw_docx_v2,True,630,שלש,,3,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
שלשה,promoted:raw_docx_v2,True,635,שלשה,,3,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
שלשים,promoted:raw_docx_v2,True,680,שלשים,,30,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
שמונה,promoted:raw_docx_v2,True,401,שמונה,,8,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,medium,numeric_quantity
שמונה עשרה,promoted:raw_docx_v2,True,976,"עשרה, שמונה",,18,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
שש,promoted:raw_docx_v2,True,600,שש,,6,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
שש מאות אלף,promoted:raw_docx_v2,True,1158,"אלף, מאות, שש",,600000,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
ששה,promoted:raw_docx_v2,True,605,ששה,,6,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
ששים,promoted:raw_docx_v2,True,650,ששים,,60,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
ששת,promoted:raw_docx_v2,True,1000,ששת,,6,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
שתי,promoted:raw_docx_v2,True,710,שתי,,2,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
תשעה,promoted:raw_docx_v2,True,775,תשעה,,9,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
תשעים,promoted:raw_docx_v2,True,820,תשעים,,90,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,high,numeric_quantity
אפס,sod1820,True,141,אפס,,0,numeric_word_construct,,ליבה נקייה שחולצה מ: אפס 1371 414 555 661 | source=sod1820,high,numeric_quantity
תשע,wp_id:36710,True,770,תשע,,9,numeric_word_construct,,wp36710 =770=בית משיח | source=wp_id:36710,high,numeric_quantity
אחת אחת אפס אפס,auto:תיעוד אירועים wp6463,True,1100,"אחת, אפס","[1,1,0,0]",1100,numeric_word_construct,,שרשרת: [1100] | source=auto:תיעוד אירועים wp6463,medium,numeric_sequence
אחד אפס אפס אפס,excel_import,True,436,"אחד, אפס","[1,0,0,0]",1000,numeric_word_construct,,פי 5 | source=excel_import,medium,numeric_sequence
אחת שלש שלש חמש,excel_import,True,2017,"אחת, חמש, שלש","[1,3,3,5]",1335,numeric_word_construct,,(none) | source=excel_import,medium,numeric_sequence
ארבע ארבע אחד,excel_import,True,559,"אחד, ארבע","[4,4,1]",441,numeric_word_construct,,(none) | source=excel_import,low,numeric_sequence
ארבע שתיים ארבע ארבע,excel_import,True,1579,"ארבע, שתיים","[4,2,4,4]",4244,numeric_word_construct,,1579 | source=excel_import,low,numeric_sequence
חמש מאות שלושים ושלוש שלוש שלוש שבע,excel_import,False,3767,"חמש, מאות, שבע, שלוש, שלושים","[533,3,3,7]",,numeric_word_construct,,מילוי | source=excel_import,low,numeric_sequence
חמש שבע שבע שש,excel_import,True,1692,"חמש, שבע, שש","[5,7,7,6]",5776,numeric_word_construct,, | נספח מאומת: מילוי = 3382 | נספח מאומת: משולש = 6312 | source=excel_import,medium,numeric_sequence
חמשים ושבע שבעים ושש,excel_import,True,1804,"חמשים, שבע, שבעים, שש","[57,76]",5776,numeric_word_construct,,מסתתר | source=excel_import,medium,numeric_sequence
עשרים עשרים,excel_import,True,1240,עשרים,"[20,20]",2020,numeric_word_construct,,(none) | source=excel_import,medium,numeric_sequence
שבע שבע שש,excel_import,True,1344,"שבע, שש","[7,7,6]",776,numeric_word_construct,,(none) | source=excel_import,medium,numeric_sequence
שבעים ושש בשבע שמונה אחת,excel_import,False,2212,"אחת, שבע, שבעים, שמונה, שש","[76,7,8,1]",,numeric_word_construct,,ריבוע - 2212 - רגיל - 2756 - מסתתר גדול | source=excel_import,low,numeric_sequence
שבעים ושש חמשים ושבע,excel_import,True,1804,"חמשים, שבע, שבעים, שש","[76,57]",7657,numeric_word_construct,,מסתתר | source=excel_import,low,numeric_sequence
שש ארבע ארבע,excel_import,True,1146,"ארבע, שש","[6,4,4]",644,numeric_word_construct,,1424 אתבש | source=excel_import,low,numeric_sequence
ארבעה וחמשה,promoted:raw_docx_v2,True,637,"ארבעה, חמשה","[4,5]",45,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,low,numeric_sequence
שבעה שבעת,promoted:raw_docx_v2,True,1149,"שבעה, שבעת","[7,7]",,numeric_word_construct,,(none) | source=promoted:raw_docx_v2,medium,numeric_sequence
אחת ארבע שבע ושתיים,sod1820,True,1820,"אחת, ארבע, שבע, שתיים","[1,4,7,2]",1472,numeric_word_construct,1820 (site core number) [gematria match],ליבה נקייה שחולצה מ: אחת ארבע שבע ושתיים = 1820 (1472) | source=sod1820,medium,numeric_sequence
שלש חמש חמש,sod1820,True,1326,"חמש, שלש","[3,5,5]",355,numeric_word_construct,,ליבה נקייה שחולצה מ: שלש חמש חמש (355) | source=sod1820,low,numeric_sequence
שבעים שנה,auto:תיעוד אירועים wp11082,True,777,שבעים,,,research_package,,שרשרת: [777] | source=auto:תיעוד אירועים wp11082,medium,mixed_numeric_phrase
בית שבע,auto:תיעוד אירועים wp11557,True,784,שבע,,,research_package,,שרשרת: [784] | source=auto:תיעוד אירועים wp11557,medium,mixed_numeric_phrase
עשרים כסף,auto:תיעוד אירועים wp16571,True,780,עשרים,,,research_package,,שרשרת: [780] | source=auto:תיעוד אירועים wp16571,medium,mixed_numeric_phrase
קרית שמונה,auto:תיעוד אירועים wp19498,True,1111,שמונה,,,research_package,,שרשרת: [1111] | source=auto:תיעוד אירועים wp19498,medium,mixed_numeric_phrase
כביש אחד,auto:תיעוד אירועים wp19647,True,345,אחד,,,research_package,,שרשרת: [345] | source=auto:תיעוד אירועים wp19647,medium,mixed_numeric_phrase
ביידן ארבעים ושש,auto:תיעוד אירועים wp22588,True,1005,"ארבעים, שש",,,research_package,,שרשרת: [1005] | source=auto:תיעוד אירועים wp22588,medium,mixed_numeric_phrase
ארבע עשרה תינוקות,auto:תיעוד אירועים wp27374,True,1820,"ארבע, עשרה",,,research_package,1820 (site core number) [gematria match],שרשרת: [1820] | source=auto:תיעוד אירועים wp27374,medium,mixed_numeric_phrase
שבעת ימי המילואים,auto:תיעוד אירועים wp27754,True,974,שבעת,,,research_package,,שרשרת: [974] | source=auto:תיעוד אירועים wp27754,medium,mixed_numeric_phrase
חמש שנים,auto:תיעוד אירועים wp32852,True,748,"חמש, שנים",,,research_package,,שרשרת: [748] | source=auto:תיעוד אירועים wp32852,medium,mixed_numeric_phrase
כטבם צימד שלוש,auto:תיעוד אירועים wp33462,True,851,שלוש,,,research_package,,שרשרת: [851] | source=auto:תיעוד אירועים wp33462,medium,mixed_numeric_phrase
עם אחד,auto:תיעוד אירועים wp34138,True,123,אחד,,,research_package,,שרשרת: [683] | source=auto:תיעוד אירועים wp34138,medium,mixed_numeric_phrase
ארבעים וחמש ימים,auto:תיעוד אירועים wp34433,True,777,"ארבעים, חמש",,,research_package,,שרשרת: [777] | source=auto:תיעוד אירועים wp34433,medium,mixed_numeric_phrase
בן שני,auto:תיעוד אירועים wp34433,True,412,שני,,,research_package,,שרשרת: [1062] | source=auto:תיעוד אירועים wp34433,medium,mixed_numeric_phrase
מלחמת ששת הימים,auto:תיעוד אירועים wp34433,True,1623,ששת,,,research_package,,שרשרת: [1623] | source=auto:תיעוד אירועים wp34433,medium,mixed_numeric_phrase
שבע השנים,auto:תיעוד אירועים wp34433,True,777,"שבע, שנים",,,research_package,,שרשרת: [777] | source=auto:תיעוד אירועים wp34433,medium,mixed_numeric_phrase
זמן השבע,auto:תיעוד אירועים wp36007,True,474,שבע,,,research_package,,שרשרת: [474] | source=auto:תיעוד אירועים wp36007,medium,mixed_numeric_phrase
הקטן יהיה לאלף,auto:תיעוד אירועים wp36103,True,335,אלף,,,research_package,,שרשרת: [335] | source=auto:תיעוד אירועים wp36103,medium,mixed_numeric_phrase
שלש מאות כסף,auto:תיעוד אירועים wp36103,True,1237,"מאות, שלש",,,research_package,1237 (cross-source messiah convergence) [gematria match],שרשרת: [1237] | source=auto:תיעוד אירועים wp36103,medium,mixed_numeric_phrase
חמש שתים אחד,auto:תיעוד אירועים wp36110,True,1111,"חמש, שתים, אחד","[5,2,1]",521,numeric_word_construct,,שרשרת: [1111] | source=auto:תיעוד אירועים wp36110,low,numeric_sequence
אחד באפריל,auto:תיעוד אירועים wp36317,True,336,אחד,,,research_package,,שרשרת: [336] | source=auto:תיעוד אירועים wp36317,medium,mixed_numeric_phrase
אחד באפריל תשפו,auto:תיעוד אירועים wp36317,True,1122,אחד,,,research_package,,שרשרת: [1122] | source=auto:תיעוד אירועים wp36317,medium,mixed_numeric_phrase
שבעה ילדים נספו,auto:תיעוד אירועים wp3951,True,667,שבעה,,,research_package,,שרשרת: [667] | source=auto:תיעוד אירועים wp3951,medium,mixed_numeric_phrase
ההסכם שלשים לשישי יכשל,auto:תיעוד אירועים wp4561,True,1820,שלשים,,,research_package,1820 (site core number) [gematria match],שרשרת: [1820] | source=auto:תיעוד אירועים wp4561,medium,mixed_numeric_phrase
תשעה באב,auto:תיעוד אירועים wp4561,True,780,תשעה,,,research_package,,שרשרת: [780] | source=auto:תיעוד אירועים wp4561 | vip_source=OPOC1 OPOC1,medium,mixed_numeric_phrase
הגירה לאירופה התשעה,auto:תיעוד אירועים wp4941,True,1335,תשעה,,,research_package,,שרשרת: [1335] | source=auto:תיעוד אירועים wp4941,medium,mixed_numeric_phrase
ההגירה ההמונית בשנת התשעה,auto:תיעוד אירועים wp4941,True,2276,תשעה,,,research_package,,שרשרת: [1335] | source=auto:תיעוד אירועים wp4941,medium,mixed_numeric_phrase
חמור בן מאה גוונים משיח בן דוד,cleanup_sample30,True,891,מאה,,,unknown,,(none) | source=cleanup_sample30,medium,mixed_numeric_phrase
את הפסח בארבעה עשר,community,False,1404,"ארבעה, עשר",,,research_package,,1404 · תאריך גאולת מצרים · קבוצת תורת הרמז VIP · שולח 972537738295 | source=community,medium,mixed_numeric_phrase
שבע יפול צדיק,community,False,702,שבע,,,research_package,,702 · משלי כד טז · קבוצת תורת הרמז VIP · שולח 972537738295 | source=community,medium,mixed_numeric_phrase
את הכבש אחד תעשה בבקר,contribution:צבי (OPOC),True,1820,אחד,,,research_package,1820 (site core number) [gematria match],(none) | source=contribution:צבי (OPOC),medium,mixed_numeric_phrase
והיה יום אחד,contribution:צבי (OPOC),True,95,אחד,,,research_package,,(none) | source=contribution:צבי (OPOC),medium,mixed_numeric_phrase
ורועה אחד יהיה לכלם,contribution:צבי (OPOC),True,450,אחד,,,research_package,,(none) | source=contribution:צבי (OPOC),medium,mixed_numeric_phrase
שנים עשר אנחנו אחים,contribution:צבי (OPOC),True,1144,"עשר, שנים",,,research_package,,(none) | source=contribution:צבי (OPOC),medium,mixed_numeric_phrase
ששים אמה,contribution:צבי (OPOC),True,696,ששים,,,research_package,,(none) | source=contribution:צבי (OPOC),medium,mixed_numeric_phrase
תורה אחת,contribution:צבי (OPOC),True,1020,אחת,,,research_package,,(none) | source=contribution:צבי (OPOC),medium,mixed_numeric_phrase
חמשה חומשי תורה,entity_expansion_v1,True,1328,חמשה,,,unknown,,(none) | source=entity_expansion_v1,medium,mixed_numeric_phrase
(חמור בן מאה גוונים משיח בן דוד)=891!,excel_import,False,,מאה,,,research_package,,(חמור בן מאה גוונים משיח בן דוד)=891! | source=excel_import,medium,mixed_numeric_phrase
1692 - מסתתר (אחד) - רגיל 2133,excel_import,False,,אחד,,,research_package,,1692 - מסתתר (אחד) - רגיל 2133 | source=excel_import,medium,mixed_numeric_phrase
2660 3370 6440 5140 5330 3960 עשרה - רגיל ומסתתר,excel_import,False,18200,עשרה,,,research_package,,2660 3370 6440 5140 5330 3960 עשרה - רגיל ומסתתר | source=excel_import,medium,mixed_numeric_phrase
434 בעשרים ושנים דצמבר אלפים חמש עשרה,excel_import,False,3630,"אלפים, חמש, עשרה, עשרים, שנים",,2015,research_package,,434 בעשרים ושנים דצמבר אלפים חמש עשרה | source=excel_import,medium,mixed_numeric_phrase
אדם אלף דלת מם,excel_import,True,670,אלף,,,research_package,,670 - 2626 | source=excel_import,medium,mixed_numeric_phrase
אובמה גוג יעלה לציון בראש שבעים עמים ∆,excel_import,False,5776,שבעים,,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
אחד אחד אחד אחד אפס סופי תיבות,excel_import,False,1167,"אחד, אפס",,,research_package,,אחד אחד אחד אחד אפס סופי תיבות | source=excel_import,medium,mixed_numeric_phrase
אחד אחד שתים (יחוד הויה אלוה,excel_import,False,776,"אחד, אחד, שתים",,,research_package,,ים = 112) | source=excel_import,low,mixed_numeric_phrase
אחד ארבע שבע ושתיים (1472) רגיל 1424 - מסתתר 2216,excel_import,False,1424,"אחד, ארבע, שבע, שתיים",,,research_package,,אחד ארבע שבע ושתיים (1472) רגיל 1424 - מסתתר 2216 | source=excel_import,medium,mixed_numeric_phrase
אחד ויחיד,excel_import,True,51,אחד,,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
אחד מעיר,excel_import,True,333,אחד,,,research_package,,אלבם 506 - 997 | source=excel_import,medium,mixed_numeric_phrase
אחד שתים שלוש שבע,excel_import,True,1771,"אחד, שתים, שלוש, שבע","[1,2,3,7]",1237,numeric_word_construct,1237 (cross-source messiah convergence) [spelled-value match],(none) | source=excel_import,medium,numeric_sequence
אחד שתים שלש שבע,excel_import,True,1765,"אחד, שתים, שלש, שבע","[1,2,3,7]",1237,numeric_word_construct,1237 (cross-source messiah convergence) [spelled-value match],מסתתר | source=excel_import,medium,numeric_sequence
אחשף בכי ליהוה המלוכה בעשרה בטבת,excel_import,False,1573,עשרה,,,research_package,,אטבח | source=excel_import,medium,mixed_numeric_phrase
אחת אחת אפס אפס ר ישרפוך,excel_import,False,1916,"אחת, אפס",,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
אחת ארבע שבע ושתיים = 1820 (1472),excel_import,False,1820,"אחת, ארבע, שבע, שתיים",,,research_package,1820 (site core number) [gematria match],אחת ארבע שבע ושתיים = 1820 (1472) | source=excel_import,medium,mixed_numeric_phrase
אין עוד מלבדו אפס זולתו,excel_import,False,813,אפס,,,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
אליהו הנביא יתגלה אלי בעשרה בטבת,excel_import,False,1599,עשרה,,,research_package,,לפני | source=excel_import,medium,mixed_numeric_phrase
אליהו הנביא עשרה בטבת (מילוי),excel_import,False,3580,עשרה,,,research_package,,אליהו הנביא עשרה בטבת (מילוי) | source=excel_import,medium,mixed_numeric_phrase
אליהו יבא בעוד עשרים וששה יום=פי 5,excel_import,False,7170,"עשרים, ששה",,,research_package,,אליהו יבא בעוד עשרים וששה יום=פי 5 | source=excel_import,medium,mixed_numeric_phrase
אלף 12358,excel_import,False,111,אלף,,,research_package,,אלף 12358 | source=excel_import,medium,mixed_numeric_phrase
אלף מאתים ושתים (1202),excel_import,False,1358,אלף,,,research_package,,אלף מאתים ושתים (1202) | source=excel_import,medium,mixed_numeric_phrase
אלף מאתים ושתים 1358,excel_import,False,1871,אלף,,,research_package,,אלף מאתים ושתים 1358 | source=excel_import,medium,mixed_numeric_phrase
אלף מאתים שלושים ושבע,excel_import,True,1666,"אלף, שבע, שלושים",,1237,research_package,1237 (cross-source messiah convergence) [spelled-value match],משולש 1430 אתבש | source=excel_import,medium,mixed_numeric_phrase
אלף מאתים שלושים ושבע התגלות,excel_import,False,2510,"אלף, שבע, שלושים",,1237,research_package,1237 (cross-source messiah convergence) [spelled-value match],רגיל - מיקוםפ 318 | source=excel_import,medium,mixed_numeric_phrase
אלף מטר יציאה,excel_import,True,476,אלף,,,research_package,,474 | source=excel_import,medium,mixed_numeric_phrase
אלף שמונה מאות ועשרים משיח,excel_import,False,1943,"אלף, מאות, עשרים, שמונה",,,research_package,,סופי תיבות | source=excel_import,medium,mixed_numeric_phrase
אלפיים ושבע עשרה - מקדש,excel_import,False,1568,"אלפיים, עשרה, שבע",,,research_package,,אלפיים ושבע עשרה - מקדש | source=excel_import,medium,mixed_numeric_phrase
אמונה באל אחד,excel_import,True,148,אחד,,,research_package,,מקור: אמונה באל אחד 533 | source=excel_import,medium,mixed_numeric_phrase
אמלוך באלפיים שש עשרה-מסתתר =פי 5,excel_import,False,3960,"אלפיים, עשרה, שש",,2016,research_package,,אמלוך באלפיים שש עשרה - מסתתר =פי 5 | source=excel_import,medium,mixed_numeric_phrase
אמשח למשיח בעוד שלשים ושבעה יום,excel_import,False,1938,"שבעה, שלשים",,,research_package,,מסתתר =פי 5 | source=excel_import,medium,mixed_numeric_phrase
אני אפס אפסים,excel_import,True,393,אפס,,,research_package,,רגיל ואותיות | source=excel_import,medium,mixed_numeric_phrase
אפס 1371 414 555 661,excel_import,False,141,אפס,,,research_package,,אפס 1371 414 555 661 | source=excel_import,medium,mixed_numeric_phrase
אקבל דרגת היחידה בעוד שלשים יום,excel_import,False,1600,שלשים,,,research_package,,פי 5 | source=excel_import,medium,mixed_numeric_phrase
אקבל שבעים ושלש,excel_import,True,1191,"שבעים, שלש",,,research_package,,ריבוע | source=excel_import,medium,mixed_numeric_phrase
ארבע שלוש ארבע ∆ (434 = משיח בן דויד),excel_import,False,4456,"ארבע, שלוש",,,research_package,,ארבע שלוש ארבע ∆ (434 = משיח בן דויד) | source=excel_import,medium,mixed_numeric_phrase
אשרי המחכה לעשרה בטבת 776 -מילולי ללא =פי 5,excel_import,False,59000,עשרה,,,research_package,,אשרי המחכה לעשרה בטבת 776 - מילולי ללא =פי 5 | source=excel_import,medium,mixed_numeric_phrase
אתגלה בעתה בשנה החדשה ב22 12 -לי אחד - 7810- מילוי,excel_import,False,3860,אחד,,,research_package,,אתגלה בעתה בשנה החדשה ב22 12 - לי אחד - 7810 - מילוי | source=excel_import,medium,mixed_numeric_phrase
אתה המלך האחד,excel_import,True,519,אחד,,,research_package,,1789 | source=excel_import,medium,mixed_numeric_phrase
ב״שית אלף שנין תבוא הגאולה״ = 1692 רגיל !!,excel_import,False,,אלף,,,research_package,,ב״שית אלף שנין תבוא הגאולה״ = 1692 רגיל !! | source=excel_import,medium,mixed_numeric_phrase
בהיכל יהוה קדוש אבקר בעשרה בטבת,excel_import,False,1796,עשרה,,,research_package,,ריבוע | source=excel_import,medium,mixed_numeric_phrase
בוא משיח שתים אפס אחת חמש,excel_import,False,2015,"שתים, אפס, אחת, חמש","[2,0,1,5]",2015,research_package,,781 - אות שלישית | source=excel_import,medium,mixed_numeric_phrase
בחמש שבע שבע שש משיח בן יוסף,excel_import,False,2260,"חמש, שבע, שש",,5776,research_package,,משולש | source=excel_import,medium,mixed_numeric_phrase
ביאת אליהו באלפים חמש עשרה,excel_import,False,1551,"אלפים, חמש, עשרה",,2015,research_package,,ביאת אליהו באלפים חמש עשרה | source=excel_import,medium,mixed_numeric_phrase
ביאת בן דוד בעשירי בטבת חמש שבע שבע שש,excel_import,False,3176,"חמש, שבע, שש",,5776,research_package,,לפני | source=excel_import,medium,mixed_numeric_phrase
ביאת המלך בעשירי בטבת חמש שבע שבע שש,excel_import,False,3205,"חמש, שבע, שש",,5776,research_package,,משולש גדול | source=excel_import,medium,mixed_numeric_phrase
ביאת המשיח אלף שלש מאות שלשים וחמשה,excel_import,False,3003,"אלף, חמשה, מאות, שלש, שלשים",,,research_package,,מילוי | source=excel_import,medium,mixed_numeric_phrase
ביאת המשיח בשבע מאות שבעים ושש,excel_import,False,2625,"מאות, שבע, שבעים, שש",,776,research_package,,אטבח - 5660 אטבח | source=excel_import,medium,mixed_numeric_phrase
ביאת המשיח בשנת אלפיים חמש עשרה - אחרי,excel_import,False,4440,"אלפיים, חמש, עשרה",,2015,research_package,,ביאת המשיח בשנת אלפיים חמש עשרה - אחרי | source=excel_import,medium,mixed_numeric_phrase
ביאתי 1335- מילוי ללא לפי -אחת,excel_import,False,7180,אחת,,,research_package,,ביאתי 1335 - מילוי ללא לפי - אחת | source=excel_import,medium,mixed_numeric_phrase
בית המקדש באלפים חמש עשרה -אותיות,excel_import,False,2770,"אלפים, חמש, עשרה",,2015,research_package,,בית המקדש באלפים חמש עשרה - אותיות | source=excel_import,medium,mixed_numeric_phrase
בן דוד יבוא בחמש שבע שבע שש ∆,excel_import,False,6634,"חמש, שבע, שש",,5776,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
בן דויד אליהו חמש שבע שבע שש,excel_import,False,1820,"חמש, שבע, שש",,5776,research_package,1820 (site core number) [gematria match],1139 - מסתתר | source=excel_import,medium,mixed_numeric_phrase
בן דויד חמש שבע שבע שש ∆,excel_import,False,6606,"חמש, שבע, שש",,5776,research_package,,(none) | source=excel_import,medium,mixed_numeric_phrase
בן דויד יבוא ב י טבת בחמש שבע שבע שש,excel_import,False,2212,"חמש, שבע, שש",,5776,research_package,,11390 - משולש | source=excel_import,medium,mixed_numeric_phrase
