source_number,generated_expression,generation_type,method,target_number,source_anchor_status,target_anchor_status,corpus_support,graph_support,convergence_support,package_support,source_support,independent_evidence_count,mechanical_duplicate,evidence_class,provenance
456,ארבע חמש שש,digit_read,אלבם,216,number_anchors,calculator_anchors|number_anchors,True,False,False,True,False,2,False,E,topic_card 'tzir-bavua' (16->160->216 chain) approved; 39 existing phrases incl. 'סובב עולם 776 216 38 83' -- explicitly co-mentions 776 in its own text. No convergence-node.
456,ארבע חמש שש,digit_read,סידורי,123,number_anchors,metatron_anchors|number_anchors,True,False,True,True,False,3,False,E,"topic_card 'tzvi-conv-123' approved; convergence-node exists; 32 existing phrases, incl. 'חסימה 506 - 776' -- a phrase whose own TEXT references two other anchors (506, 776)."
474,ארבע שבע ארבע,digit_read,אלבם,223,number_roots,number_anchors,True,False,True,True,False,3,False,E,topic_card 'tzvi-conv-223' approved; convergence-node exists; 20 existing phrases.
506,חמש מאות ושש,cardinal_wording,מסתתר,1024,number_anchors,calculator_anchors,True,False,False,False,False,1,False,B,only 4 existing phrases (sparse bucket); no topic_card/convergence-node found.
512,חמש מאות ושתים עשרה,cardinal_wording,אטבח,974,calculator_anchors,number_anchors,True,False,False,False,False,1,False,B,14 existing phrases incl. 'בינה מלאכותית' (AI -- a separately-documented canonical SOD1820 anchor theme per project rules); no topic_card/convergence-node found in this pass.
555,חמש חמש חמש,digit_read,אתבש,216,calculator_anchors,calculator_anchors|number_anchors,True,False,False,True,False,2,False,E,topic_card 'tzir-bavua' (16->160->216 chain) approved; 39 existing phrases incl. 'סובב עולם 776 216 38 83' -- explicitly co-mentions 776 in its own text. No convergence-node.
566,חמש מאות שישים ושש,cardinal_wording,אותיות אחרי,2216,anchor_families|number_anchors [featured],number_anchors,True,False,False,False,False,1,True,MECHANICAL_DUPLICATE,566/665 are digit-permutations of each other; both cardinal forms independently reduce to the same אותיות אחרי value via the shared underlying digit set.
566,חמש שש שש,digit_read,אלבם,152,anchor_families|number_anchors [featured],metatron_anchors,True,False,False,False,False,1,True,MECHANICAL_DUPLICATE,"digit-permutation of 665's digit_read (same word multiset {5,6,6} reordered); all 13 method-values identical to 665's digit_read row -- not an independent linguistic result."
665,שש מאות שישים וחמש,cardinal_wording,אותיות אחרי,2216,number_anchors,number_anchors,True,False,False,False,False,1,True,MECHANICAL_DUPLICATE,digit-permutation counterpart of 566's cardinal_wording row.
665,שש שש חמש,digit_read,אלבם,152,number_anchors,metatron_anchors,True,False,False,False,False,1,True,MECHANICAL_DUPLICATE,digit-permutation of 566's digit_read; all 13 method-values identical to 566's digit_read row.
999,תשע תשע תשע,digit_read,אטבח,360,calculator_anchors|number_roots,metatron_anchors,True,False,False,False,False,1,False,B,43 existing phrases; no topic_card/convergence-node found.
1948,אחד תשע ארבע שמונה,digit_read,אלבם,474,number_anchors,number_roots,True,False,False,False,False,1,False,B,"31 existing phrases (messianic-themed bucket); no topic_card, no convergence-node found."
