id,original_phrase,numeric_expression,parse_type,parsed_number,parse_confidence,roundtrip_status,gematria_values,self_numeric_hit,cross_research_hits,year_overlap,method_claim_overlap,target_overlap,generated_existing_match,ambiguity_reason,special_flags,source,category_prior,research_score
137,אמלוך באלפיים שש עשרה-מסתתר =פי 5,"אלפיים, עשרה, שש",E_mixed_numeric_phrase,,low,no_roundtrip,3960,False,research_interest:3960,True,no_claimed_value,strong_number_target:3960,,multi_token_embedded_phrase_no_confident_single_parse,B_gematria_hits:3960,excel_import,mixed_numeric_phrase,40
160,בן דויד אליהו חמש שבע שבע שש,"חמש, שבע, שש",E_mixed_numeric_phrase,,low,no_roundtrip,1820,False,anchor:1820,False,,,,multi_token_embedded_phrase_no_confident_single_parse,B_gematria_hits:1820,excel_import,mixed_numeric_phrase,40
166,בשתי שבתות,שתי,F_ambiguous,,,no_roundtrip,1820,False,anchor:1820,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:1820,excel_import,mixed_numeric_phrase,40
193,הקדוש ברוך הוא + תורה + ישראל + אחד,אחד,F_ambiguous,,,no_roundtrip,1820,False,anchor:1820,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:1820,excel_import,mixed_numeric_phrase,40
222,יום הדין העשרה בטבת,עשרה,E_mixed_numeric_phrase,10,medium,no_roundtrip,1118,False,anchor:1118,False,,strong_number_target:1118,,,B_gematria_hits:1118,excel_import,mixed_numeric_phrase,40
226,יפול מצדך אלף ורבבה מימינך,"אלף, רבבה",E_mixed_numeric_phrase,,low,no_roundtrip,776,False,anchor:776,False,,strong_number_target:776,,multi_token_embedded_phrase_no_confident_single_parse,B_gematria_hits:776,excel_import,mixed_numeric_phrase,40
231,מאה ארבעים ושמונה (148),"ארבעים, מאה, שמונה",E_mixed_numeric_phrase,,low,no_roundtrip,776,False,anchor:776,False,,strong_number_target:776,,multi_token_embedded_phrase_no_confident_single_parse,B_gematria_hits:776,excel_import,mixed_numeric_phrase,40
241,מלך המשיח יבוא באלפיים שש עשרה,"אלפיים, עשרה, שש",E_mixed_numeric_phrase,,low,no_roundtrip,1820,False,anchor:1820,True,,,,multi_token_embedded_phrase_no_confident_single_parse,B_gematria_hits:1820,excel_import,mixed_numeric_phrase,40
253,משיח יהוה יתגלה עשרה בטבת,עשרה,E_mixed_numeric_phrase,10,medium,no_roundtrip,1820,False,anchor:1820,False,,,,,B_gematria_hits:1820,excel_import,mixed_numeric_phrase,40
256,סוד אלף שמונה מאות עשרים כי לה' המלוכה,"אלף, מאות, עשרים, שמונה",E_mixed_numeric_phrase,,low,no_roundtrip,1820,False,anchor:1820,False,,,,multi_token_embedded_phrase_no_confident_single_parse,B_gematria_hits:1820,excel_import,mixed_numeric_phrase,40
258,סוד יהוה 1820 סופי תיבות (אחת) 1337 לפני,אחת,F_ambiguous,,,no_roundtrip,514,False,research_interest:514,False,not_a_method_claim,strong_number_target:514,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:514,excel_import,mixed_numeric_phrase,40
278,שבעים וחמש = ביום ההוא = 75,"חמש, שבעים",E_mixed_numeric_phrase,,low,no_roundtrip,776,False,anchor:776,False,,strong_number_target:776,,multi_token_embedded_phrase_no_confident_single_parse,B_gematria_hits:776,excel_import,mixed_numeric_phrase,40
279,שבעים ושלוש ∆ (חכמה = שבעים ושלוש),"שבעים, שלוש",E_mixed_numeric_phrase,,low,no_roundtrip,3960,False,research_interest:3960,False,,strong_number_target:3960,,multi_token_embedded_phrase_no_confident_single_parse,B_gematria_hits:3960,excel_import,mixed_numeric_phrase,40
292,שמע ישראל יה וה אלהינו יה וה אחד,אחד,F_ambiguous,,,no_roundtrip,1118,False,anchor:1118,False,,strong_number_target:1118,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:1118,excel_import,mixed_numeric_phrase,40
308,תשעה ערי מקלט,תשעה,E_mixed_numeric_phrase,9,medium,no_roundtrip,1234,False,anchor:1234,False,,strong_number_target:1234,,,B_gematria_hits:1234,promoted:raw_docx,mixed_numeric_phrase,40
318,אלף שנה,אלף,E_mixed_numeric_phrase,1000,medium,no_roundtrip,466,False,research_interest:466,False,,strong_number_target:466,,,B_gematria_hits:466,promoted:raw_docx_v2,mixed_numeric_phrase,40
362,לב אחד,אחד,F_ambiguous,,,no_roundtrip,45,False,anchor:45,False,,strong_number_target:45,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:45,promoted:raw_docx_v2,mixed_numeric_phrase,40
455,הקדוש ברוך הוא תורה ישראל אחד,אחד,F_ambiguous,,,no_roundtrip,1820,False,anchor:1820,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:1820,sod1820,mixed_numeric_phrase,40
456,וארא בחלמי והנה שבע שבלים,שבע,E_mixed_numeric_phrase,7,medium,no_roundtrip,1118,False,anchor:1118,False,,strong_number_target:1118,,,B_gematria_hits:1118,sod1820,mixed_numeric_phrase,40
457,ועשה חסד לאלפים,אלפים,E_mixed_numeric_phrase,,,no_roundtrip,644,False,research_interest:644,False,,strong_number_target:644,,bare_multiplier_word_no_standalone_value,B_gematria_hits:644,sod1820,mixed_numeric_phrase,40
462,סוד אלף שמונה מאות עשרים כי לה המלוכה,"אלף, מאות, עשרים, שמונה",E_mixed_numeric_phrase,,low,no_roundtrip,1820,False,anchor:1820,False,,,,multi_token_embedded_phrase_no_confident_single_parse,B_gematria_hits:1820,sod1820,mixed_numeric_phrase,40
474,בשתי ידים,שתי,F_ambiguous,,,no_roundtrip,776,False,anchor:776,False,,strong_number_target:776,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:776,wp_id:23886,mixed_numeric_phrase,40
480,11111 דרגת היחידה לצמח דוד - לפי אחד,אחד,F_ambiguous,,,no_roundtrip,644,False,research_interest:644,False,,strong_number_target:644,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:644,excel_import,ambiguous,40
491,1335- מילוי ללא -לפי אחד,אחד,F_ambiguous,,,no_roundtrip,1820,False,anchor:1820,False,no_claimed_value,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:1820,excel_import,ambiguous,40
492,363 צומח בכי ליהוה המלוכה -מילוי- לפי שלוש,שלוש,F_ambiguous,3,medium,no_roundtrip,3960,False,research_interest:3960,False,no_claimed_value,strong_number_target:3960,,,B_gematria_hits:3960,excel_import,ambiguous,40
493,396 גואל האחרון ב2015- לפי אחת,אחת,F_ambiguous,,,no_roundtrip,3960,False,research_interest:3960,True,,strong_number_target:3960,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:3960,excel_import,ambiguous,40
515,יהוה יערוך נר למשיח ב2015- לפני לפי אחת,אחת,F_ambiguous,,,no_roundtrip,1820,False,anchor:1820,True,not_a_method_claim,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:1820,excel_import,ambiguous,40
516,יהוה יצמיח קרן לדוד ב2015 - לפי אחת - אחרי,אחת,F_ambiguous,,,no_roundtrip,3960,False,research_interest:3960,True,not_a_method_claim,strong_number_target:3960,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:3960,excel_import,ambiguous,40
519,לא יקבלו אותי כמשיח ב2015-לפי אחד,אחד,F_ambiguous,,,no_roundtrip,3960,False,research_interest:3960,True,,strong_number_target:3960,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:3960,excel_import,ambiguous,40
532,סוד מלאך דניאל 1335 1290- לפני -לפי אחת,אחת,F_ambiguous,,,no_roundtrip,3960,False,research_interest:3960,False,not_a_method_claim,strong_number_target:3960,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:3960,excel_import,ambiguous,40
6,שבעים חמש,"חמש, שבעים",B_cardinal_number,75,high,normalized_roundtrip,770,False,,False,,strong_number_source:75,,,A_words_denote:75,auto:תיעוד אירועים wp27754,numeric_quantity,30
11,אלף שמונה מאות עשרים,"אלף, מאות, עשרים, שמונה",D_year_expression,1820,high,normalized_roundtrip,1579,False,,False,,,,,A_words_denote:1820,excel_import,numeric_quantity,30
28,חמשים,חמשים,B_cardinal_number,50,high,alternate_valid_form,398,False,,False,,strong_number_source:50,,,A_words_denote:50,promoted:raw_docx_v2,numeric_quantity,30
68,ארבעה וחמשה,"ארבעה, חמשה",A_digit_sequence,45,high,alternate_valid_form,637,False,,False,,strong_number_source:45,,,A_words_denote:45,promoted:raw_docx_v2,numeric_sequence,30
119,אחד שתים שלוש שבע,"אחד, שתים, שלוש, שבע",A_digit_sequence,1237,high,alternate_valid_form,1771,False,,False,,strong_number_source:1237,,,A_words_denote:1237,excel_import,numeric_sequence,30
120,אחד שתים שלש שבע,"אחד, שתים, שלש, שבע",A_digit_sequence,1237,high,alternate_valid_form,1765,False,,False,,strong_number_source:1237,,,A_words_denote:1237,excel_import,numeric_sequence,30
343,בשר אחד,אחד,F_ambiguous,,,no_roundtrip,515,False,,False,,strong_number_target:515,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:515,promoted:raw_docx_v2,mixed_numeric_phrase,30
380,עשרת הרוגי מלכות,עשרת,E_mixed_numeric_phrase,10,medium,no_roundtrip,1690,False,,False,,strong_number_target:1690,,,B_gematria_hits:1690,promoted:raw_docx_v2,mixed_numeric_phrase,30
433,שנת החמשים,חמשים,E_mixed_numeric_phrase,50,medium,no_roundtrip,1153,False,,False,,strong_number_source:50,,,A_words_denote:50,promoted:raw_docx_v2,mixed_numeric_phrase,30
434,שער החמישים,חמישים,E_mixed_numeric_phrase,50,medium,no_roundtrip,983,False,,False,,strong_number_source:50,,,A_words_denote:50,promoted:raw_docx_v2,mixed_numeric_phrase,30
435,שער החמשים,חמשים,E_mixed_numeric_phrase,50,medium,no_roundtrip,973,False,,False,,strong_number_source:50,,,A_words_denote:50,promoted:raw_docx_v2,mixed_numeric_phrase,30
451,הרב עמוס גואטה נרצח ארבע דקירות סכין בחזה,ארבע,E_mixed_numeric_phrase,4,medium,no_roundtrip,1910,False,,False,,strong_number_target:1910,,,B_gematria_hits:1910,shachar-kandro,mixed_numeric_phrase,30
465,סוד אחד שתים שלש שבע,"אחד, שתים, שלש, שבע",A_digit_sequence,1237,high,alternate_valid_form,1835,False,,False,,strong_number_source:1237,,,A_words_denote:1237,wa-gilui-yomi,numeric_sequence,30
61,חמש שבע שבע שש,"חמש, שבע, שש",A_digit_sequence,5776,high,exact_roundtrip,1692,False,research_interest:1692;hub:1692,False,,,,,,excel_import,numeric_sequence,25
286,שלש עשרה עקרי האמונה,"עשרה, שלש",E_mixed_numeric_phrase,,low,no_roundtrip,1692,False,research_interest:1692;hub:1692,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase,20
37,שבעים אלף,"אלף, שבעים",B_cardinal_number,70000,high,no_roundtrip,533,False,research_interest:533,False,,,,,,promoted:raw_docx_v2,numeric_quantity,10
51,תשעה,תשעה,B_cardinal_number,9,high,alternate_valid_form,775,False,research_interest:775,False,,,,,,promoted:raw_docx_v2,numeric_quantity,10
65,שבעים ושש בשבע שמונה אחת,"אחת, שבע, שבעים, שמונה, שש",A_digit_sequence,,high,no_roundtrip,2212,False,anchor:2212,False,,,,,,excel_import,numeric_sequence,10
72,שבעים שנה,שבעים,E_mixed_numeric_phrase,70,medium,no_roundtrip,777,False,anchor:777,False,,,,,,auto:תיעוד אירועים wp11082,mixed_numeric_phrase,10
79,שבעת ימי המילואים,שבעת,E_mixed_numeric_phrase,7,medium,no_roundtrip,974,False,anchor:974,False,,,,,,auto:תיעוד אירועים wp27754,mixed_numeric_phrase,10
83,ארבעים וחמש ימים,"ארבעים, חמש",E_mixed_numeric_phrase,,low,no_roundtrip,777,False,anchor:777,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,auto:תיעוד אירועים wp34433,mixed_numeric_phrase,10
86,שבע השנים,"שבע, שנים",E_mixed_numeric_phrase,,low,no_roundtrip,777,False,anchor:777,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,auto:תיעוד אירועים wp34433,mixed_numeric_phrase,10
96,הגירה לאירופה התשעה,תשעה,E_mixed_numeric_phrase,9,medium,no_roundtrip,1335,False,research_interest:1335,True,,,,,,auto:תיעוד אירועים wp4941,mixed_numeric_phrase,10
105,ששים אמה,ששים,E_mixed_numeric_phrase,60,medium,no_roundtrip,696,False,research_interest:696,False,,,,,,contribution:צבי (OPOC),mixed_numeric_phrase,10
112,אדם אלף דלת מם,אלף,E_mixed_numeric_phrase,1000,medium,no_roundtrip,670,False,hub:670,False,,,,,,excel_import,mixed_numeric_phrase,10
118,אחד מעיר,אחד,F_ambiguous,,,no_roundtrip,333,False,anchor:333,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase,10
149,בוא משיח שתים אפס אחת חמש,"שתים, אפס, אחת, חמש",E_mixed_numeric_phrase,,low,no_roundtrip,2015,False,research_interest:2015,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase,10
162,בן דויד יבוא ב י טבת בחמש שבע שבע שש,"חמש, שבע, שש",E_mixed_numeric_phrase,,low,no_roundtrip,2212,False,anchor:2212,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase,10
167,גאולה בעתה בחמש שבע שבע שש,"חמש, שבע, שש",E_mixed_numeric_phrase,,low,no_roundtrip,2216,False,anchor:2216,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase,10
176,האחד שלי 1317,אחד,F_ambiguous,,,no_roundtrip,358,False,anchor:358,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase,10
177,האחת היחידה,אחת,F_ambiguous,,,no_roundtrip,456,False,anchor:456,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase,10
178,האלף האחרון 386 עם האותיות 396,אלף,E_mixed_numeric_phrase,1000,medium,no_roundtrip,386,False,research_interest:386,False,,,,,,excel_import,mixed_numeric_phrase,10
184,המלך 1335 1290- לפני 4340- איק בכר לפי- אחד,אחד,F_ambiguous,,,no_roundtrip,2212,False,anchor:2212,False,not_a_method_claim,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase,10
188,המשיח בשבע מאות שבעים ושש,"מאות, שבע, שבעים, שש",E_mixed_numeric_phrase,,low,no_roundtrip,2212,False,anchor:2212,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase,10
190,המשיח שש שבע,"שבע, שש",E_mixed_numeric_phrase,,low,no_roundtrip,1335,False,research_interest:1335,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase,10
228,כי שבע יפול צדיק וקם,שבע,E_mixed_numeric_phrase,7,medium,no_roundtrip,878,False,anchor:878,False,,,,,,excel_import,mixed_numeric_phrase,10
246,משיח בן דוד עבדך חמש שבע שבע שש,"חמש, שבע, שש",E_mixed_numeric_phrase,,low,no_roundtrip,2212,False,anchor:2212,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase,10
252,משיח יהוה באלפים חמש עשרה - מיקום,"אלפים, חמש, עשרה",E_mixed_numeric_phrase,,low,no_roundtrip,248,False,research_interest:248,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase,10
262,עשר שמיטות,עשר,E_mixed_numeric_phrase,10,medium,no_roundtrip,1335,False,research_interest:1335,False,,,,,,excel_import,mixed_numeric_phrase,10
307,רב ששת,ששת,E_mixed_numeric_phrase,6,medium,no_roundtrip,1202,False,anchor:1202,False,,,,,,promoted:raw_docx,mixed_numeric_phrase,10
321,אלפיים אמה,אלפיים,E_mixed_numeric_phrase,2000,medium,no_roundtrip,217,False,research_interest:217,False,,,,,,promoted:raw_docx_v2,mixed_numeric_phrase,10
337,ארבעים סאה חסר קרטוב,ארבעים,E_mixed_numeric_phrase,40,medium,no_roundtrip,974,False,anchor:974,False,,,,,,promoted:raw_docx_v2,mixed_numeric_phrase,10
339,ארבעת המינים,ארבעת,E_mixed_numeric_phrase,4,medium,no_roundtrip,828,False,hub:828,False,,,,,,promoted:raw_docx_v2,mixed_numeric_phrase,10
340,באים כאחד,אחד,F_ambiguous,,,no_roundtrip,86,False,anchor:86,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,promoted:raw_docx_v2,mixed_numeric_phrase,10
365,מאה ברכות,מאה,E_mixed_numeric_phrase,100,medium,no_roundtrip,674,False,research_interest:674,False,,,,,,promoted:raw_docx_v2,mixed_numeric_phrase,10
366,מאה שערים,מאה,E_mixed_numeric_phrase,100,medium,no_roundtrip,666,False,anchor:666,False,,,,,,promoted:raw_docx_v2,mixed_numeric_phrase,10
367,מקרה אחד,אחד,F_ambiguous,,,no_roundtrip,358,False,anchor:358,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,promoted:raw_docx_v2,mixed_numeric_phrase,10
386,רגע אחד,אחד,F_ambiguous,,,no_roundtrip,286,False,hub:286,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,promoted:raw_docx_v2,mixed_numeric_phrase,10
453,האחד שלי,אחד,F_ambiguous,,,no_roundtrip,358,False,anchor:358,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,sod1820,mixed_numeric_phrase,10
476,שש קצוות,שש,E_mixed_numeric_phrase,6,medium,no_roundtrip,1202,False,anchor:1202,False,,,,,,סשן 23.7.2026,mixed_numeric_phrase,10
477,שני,שני,F_ambiguous,,,no_roundtrip,360,False,anchor:360,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,auto:תיעוד אירועים wp33173,ambiguous,10
481,11111 דרגת היחידה- לפי אחת,אחת,F_ambiguous,,,no_roundtrip,2701,False,anchor:2701,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,ambiguous,10
482,11111 דרגת מלך-לפי אחת,אחת,F_ambiguous,,,no_roundtrip,2015,False,research_interest:2015,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,ambiguous,10
494,אבקר בהילכך ב22 12 - לפני - לפי אחת,אחת,F_ambiguous,,,no_roundtrip,2212,False,anchor:2212,False,not_a_method_claim,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,ambiguous,10
503,הכתרת יהוה למלך העולם ב2015- מיקום -לפי אחד,אחד,F_ambiguous,,,no_roundtrip,396,False,research_interest:396,True,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,ambiguous,10
506,המשיח יעשה שלום עולמי ב2016- מיקום-לפי אחד,אחד,F_ambiguous,,,no_roundtrip,396,False,research_interest:396,True,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,ambiguous,10
509,השם אחד,אחד,F_ambiguous,,,no_roundtrip,358,False,anchor:358,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,ambiguous,10
521,לי הדרגת 11111 - לפי אחד,אחד,F_ambiguous,,,no_roundtrip,717,False,research_interest:717,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,ambiguous,10
531,סוד יהוה המספר 1335 בספר דניאל - לפי אחת,אחת,F_ambiguous,,,no_roundtrip,2015,False,research_interest:2015,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,ambiguous,10
539,שישים ריבו,שישים,F_ambiguous,60,medium,no_roundtrip,878,False,anchor:878,False,,,,,,excel_import,ambiguous,10
552,כלי שני,שני,F_ambiguous,,,no_roundtrip,420,False,research_interest:420,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,promoted:raw_docx_v2,ambiguous,10
559,משלש,שלש,F_ambiguous,3,medium,no_roundtrip,670,False,hub:670,False,,,,,,promoted:raw_docx_v2,ambiguous,10
