artifact_name,task_or_phase,file_path,exists_now,row_count,what_it_contains,status,already_persistent_where,scratchpad_only,canonical_or_candidate,human_gate_required,recommended_existing_destination,risk_if_session_closes,notes
METHOD_CLAIMS_PHASE3.csv,Method Mentions Phase 3 (era 1) — REUSED live in era 2 (Number-Language Phase 5),"scratchpad (session-local, ephemeral)/METHOD_CLAIMS_PHASE3.csv",YES,796,"797 rows: id, phrase, source, resolved_corpus_role, method_mention_type, method_claim_status, method_claim_reason, historical_method_convention, candidate_method_dependency, method_evidence_confidence, overlap_dimensions",SCRATCHPAD_ONLY,none -- work_log status=awaiting_human_review,YES,candidate,YES,research_contributions,HIGH -- actively reused as a source file by Number-Language Phase 5 (method-claim-overlap exclusion logic in the 570-row reconciliation),
STEP2_ambiguous62_resolved.csv,Master Classification build steps (era 1),"scratchpad (session-local, ephemeral)/STEP2_ambiguous62_resolved.csv",YES,62,Resolution pass over the 62 ambiguous rows,SUPERSEDED,absorbed into MASTER_CLASSIFICATION_v3.csv,YES,candidate (intermediate),NO,none needed,LOW,
STEP3_whatsapp_structured.csv,Master Classification build steps (era 1),"scratchpad (session-local, ephemeral)/STEP3_whatsapp_structured.csv",YES,330,Structured WhatsApp-source classification step,SUPERSEDED,absorbed into MASTER_CLASSIFICATION_v3.csv,YES,candidate (intermediate),NO,none needed,LOW,
numeric_word_phrases_audit.csv,era 1 source data — REUSED as the exact 570-row starting point of Number-Language Phase 5 (era 2),"scratchpad (session-local, ephemeral)/numeric_word_phrases_audit.csv",YES,570,"570 rows: phrase, source, verified, ragil, detected_number_words, parsed_numeric_sequence, parsed_numeric_value, corpus_role, world_theme, provenance, confidence, category (mixed_numeric_phrase/ambiguous/numeric_quantity/numeric_sequence)",SCRATCHPAD_ONLY,none -- confirmed no DB table holds this parsed-numeric-value layer,YES,"candidate (partially high-confidence, per Phase 5s own tiering)",YES (22-row curated subset already identified in NUMBER_WORDS_AMBIGUOUS.csv),"research_contributions (intent=gematria) for the identity-parse rows; the raw phrase+ragil pairs not already in gematria_words could seed new gematria_words rows (type-A, no relation claim) via the already-proven auto-registry path",HIGH -- this is the sole source for the entire Number-Language Phase 5 bidirectional-reconciliation finding (the 75/148/776 organic-corpus rediscovery),
year_time_audit.csv,era 1 source data — REUSED in Number-Language Phase 5 (era 2),"scratchpad (session-local, ephemeral)/year_time_audit.csv",YES,111,"111 rows: phrase, source, verified, ragil, hebrew_year, gregorian_year, hebrew_gregorian_mapping, category_type, event_name, provenance, confidence, id, reason",SCRATCHPAD_ONLY,none,YES,candidate,YES,research_contributions,MEDIUM-HIGH -- reused as the year-overlap cross-reference source in Phase 5,
messiah_research_package_full.csv,Corpus DNA — thematic research package (era 1),"scratchpad (session-local, ephemeral)/messiah_research_package_full.csv",YES,1467,"1,467-row thematic research package on the messiah/גאולה cluster",SCRATCHPAD_ONLY,none found live (no topic_card or research_objects entry matches this scale/schema),YES,candidate,YES,topic_cards (if intended as the curated source for a convergence card) OR research_contributions,"HIGH -- large, thematically valuable, zero live footprint found",Not independently re-verified this pass per instruction (no re-research) -- flagged by file inspection only
RESEARCH_DNA_ARCHITECTURE.md,Legacy → Research DNA Crosswalk (era 1),"scratchpad (session-local, ephemeral)/RESEARCH_DNA_ARCHITECTURE.md",YES,,"Architecture discovery document: legacy system map, code consumer map, old-vs-new crosswalk, worlds/themes audit, Research DNA v1 proposal (design only), multi-dimension test, One-Tree check, top decisions/traps/opportunities, FACT/INFERENCE/RECOMMENDATION/HUMAN-GATE",PARTIALLY_PERSISTED,"work_log memo (topic=""Legacy → Research DNA Crosswalk — Architecture Discovery"", status=returned_to_zuriel_gpt_for_decision) captures the headline decision points, not the full document",PARTIAL,"design proposal, unreviewed",YES,"project_codex (there is direct precedent: codex already holds architecture-decision documents like ""sod1820-master-architecture-draft"" at priority 5) -- this is the single cleanest existing-structure fit found in this whole audit","HIGH -- foundational architecture-decision document, no durable home yet despite a clean fit existing",
RESEARCH_DNA_PROOF_OF_MODEL.md,Research DNA v1 — Proof of Model (era 1),"scratchpad (session-local, ephemeral)/RESEARCH_DNA_PROOF_OF_MODEL.md",YES,,"20 real-case proof-of-model walkthrough for the Research DNA v1 design (work_log: ""delivered_readiness_decision — Research DNA v1 architecturally ready"")",PARTIALLY_PERSISTED,"work_log memo captures the readiness decision, not the 20 worked cases",PARTIAL,"design proposal, unreviewed",YES,"project_codex, alongside RESEARCH_DNA_ARCHITECTURE.md",MEDIUM-HIGH,
MULTIDIM_TEST_EXAMPLES.csv,Research DNA v1 (era 1),"scratchpad (session-local, ephemeral)/MULTIDIM_TEST_EXAMPLES.csv",YES,20,The 20 real test-case records referenced by RESEARCH_DNA_PROOF_OF_MODEL.md,SCRATCHPAD_ONLY,none,YES,design-proposal supporting data,YES,fold into the same project_codex entry as the two MD files above,"LOW (small, and duplicated in prose inside the MD)",
anchor_union.csv,Numeric Language Phase 1,"scratchpad (session-local, ephemeral)/anchor_union.csv",YES,61,"The 61 canonical anchor numbers with sources and status_flag, unioned live from number_anchors/number_roots/anchor_families/calculator_anchors/metatron_anchors",SCRATCHPAD_ONLY,"the 61 numbers themselves are already live in their SOURCE tables (number_anchors etc.) -- this file is only the DERIVED UNION LIST, not new data",YES (the union itself),derived reference list,NO,none needed as a standalone table -- but the union logic/result is worth a codex note so future agents dont re-derive it from scratch,"LOW-MEDIUM -- re-derivable from the live source tables, but re-deriving costs a research pass","This is the G-category ""list of numbers/anchors built during research"" the audit instruction calls out"
NUMERIC_LANGUAGE_ANCHORS.csv + NUMERIC_LANGUAGE_PHASE1_REPORT.md,Numeric Language Phase 1,"scratchpad (session-local, ephemeral)/NUMERIC_LANGUAGE_ANCHORS.csv, scratchpad (session-local, ephemeral)/NUMERIC_LANGUAGE_PHASE1_REPORT.md",YES,61,"For all 61 anchors: digit_read/cardinal_wording generated forms, all 13 live-method values for each, self-hits, other-anchor-hits, existing-corpus matches, cross-method matches, package/theme/year links. Delivered to user.",SCRATCHPAD_ONLY,none -- no research_objects/topic_cards entries created; explicitly READ-ONLY per design,YES,"candidate findings, decision NOT reached (Phase 2/3 superseded the standalone verdict)",YES,research_objects (kind=hypothesis/relation per finding),"MEDIUM -- superseded in scope by Phase 3s full-61 network, but Phase 1s per-anchor generated-form data is the base all later phases built on",Delivered to user as a file this session (user has an external copy)
NUMERIC_CROSS_ANCHOR_NETWORK.csv + _REPORT.md,Numeric Language Phase 2,"scratchpad (session-local, ephemeral)/NUMERIC_CROSS_ANCHOR_NETWORK.csv, scratchpad (session-local, ephemeral)/NUMERIC_CROSS_ANCHOR_NETWORK_REPORT.md",YES,26,"26 raw cross-anchor paths with evidence classes A-E, the full 75/148/776 triangle case study, decision=NOT YET. Delivered to user.",SCRATCHPAD_ONLY,none,YES,candidate findings,YES,research_objects,MEDIUM -- superseded in scope by Phase 3,Delivered to user
NUMERIC_LANGUAGE_NETWORK_V1.csv + _REPORT.md,Numeric Language Phase 3,"scratchpad (session-local, ephemeral)/NUMERIC_LANGUAGE_NETWORK_V1.csv, scratchpad (session-local, ephemeral)/NUMERIC_LANGUAGE_NETWORK_REPORT.md",YES,21,"Full 61-anchor directed network, deduplicated real paths, DISCOVERED-COMPUTATION/PRE-EXISTING-CORROBORATION/CANONICAL-GRAPH-RELATION 3-state model, decision=NOT YET, proposed (unimplemented) confidence formula. Delivered to user.",SCRATCHPAD_ONLY,none,YES,"candidate findings, decision NOT YET (final anchor-only verdict)",YES,research_objects,"HIGH -- this is the FINAL, most complete anchor-only network result; nothing later fully supersedes it",Delivered to user
PHASE4_SAMPLE_representative.csv (aka NUMERIC_LANGUAGE_PHASE4_SAMPLE.csv),Numeric Language Phase 4,"scratchpad (session-local, ephemeral)/NUMERIC_LANGUAGE_PHASE4_SAMPLE.csv",YES,100,"100-number stratified representative sample (5 strata) with corpus_phrase_count/has_node/has_topic_card/has_convergence/edge_count, seed=1820",SCRATCHPAD_ONLY,none,YES,sampling frame + candidate findings,YES,research_objects,HIGH -- irreplaceable without exact reseed; sample composition is part of the evidentiary record for the NOT YET decision,Delivered to user
NUMERIC_LANGUAGE_RESEARCH_INTEREST_SET.csv,Numeric Language Phase 4 Addendum,"scratchpad (session-local, ephemeral)/NUMERIC_LANGUAGE_RESEARCH_INTEREST_SET.csv",YES,63,"63 live-discovered research-interest numbers (topic_card+convergence intersection, ranked) + 3 explicit Zuriel seeds (111/222/424)",SCRATCHPAD_ONLY,"none as a curated LIST -- though each individual numbers topic_card/convergence already exists live, this specific 63-number SET and its ranking does not",YES (the curated list itself),candidate list,YES,research_objects or a codex note,"HIGH -- this exact F-category ""research-interest numbers"" list is explicitly called out by this audits own instructions and has zero live footprint as a set",Delivered to user — this is the primary answer to audit item F/G
NUMERIC_LANGUAGE_PHASE4_PATHS.csv + NUMERIC_LANGUAGE_RESEARCH_INTEREST_PATHS.csv,Numeric Language Phase 4 + Addendum,"scratchpad (session-local, ephemeral)/NUMERIC_LANGUAGE_PHASE4_PATHS.csv, scratchpad (session-local, ephemeral)/NUMERIC_LANGUAGE_RESEARCH_INTEREST_PATHS.csv",YES,"290 (paths, both pools combined) + 120 (research-interest subset, separate file)","Full path-level evidence classification (raw+dedup, mechanical flags, evidence_class) for the representative sample and the research-interest set",SCRATCHPAD_ONLY,none,YES,candidate findings,YES,research_objects,HIGH -- the core evidentiary data behind the Phase 4 decision,Delivered to user
NUMERIC_LANGUAGE_PHASE4_CONTROL.csv,Numeric Language Phase 4,"scratchpad (session-local, ephemeral)/NUMERIC_LANGUAGE_PHASE4_CONTROL.csv",YES,160,Control A (in-pool fixed-offset pairing) baseline data used to compute the ~9x lift finding,SCRATCHPAD_ONLY,none,YES,control/baseline data,NO (methodology artifact),fold into the Phase 4 report if kept at all -- lower priority than the paths files,MEDIUM -- needed to reproduce the exact control-vs-real comparison,Delivered to user
NUMERIC_LANGUAGE_PHASE4_REPORT.md,Numeric Language Phase 4 + Addendum,"scratchpad (session-local, ephemeral)/NUMERIC_LANGUAGE_PHASE4_REPORT.md",YES,,"Full FACT/INFERENCE/RECOMMENDATION/HUMAN-GATE report, decision NOT YET (general) / YES-provisional (research-amplification), 111/222/424 deep-dive, Top 20/Bottom 10",PARTIALLY_PERSISTED,work_log closing memo (this session) captures the headline decision and key metrics in prose,PARTIAL,decision report,YES (decision itself is Zuriels),project_codex or repo docs/research-archive/,"MEDIUM -- work_log has the summary, but not the full Top-20 table/reasoning",Delivered to user
NUMERIC_LANGUAGE_STRONG_NUMBERS_METHOD_SHEET.md,Strong Numbers Method Sheet,"scratchpad (session-local, ephemeral)/NUMERIC_LANGUAGE_STRONG_NUMBERS_METHOD_SHEET.md",YES,,"50 strong numbers (11 explicit seeds + 39 pattern-qualified) x 2 word-forms x all 13 live methods = 1,300 method results, each marked vs anchor/research-interest/hub/graph-direct/multi-evidence status",SCRATCHPAD_ONLY,none,YES,reference sheet,"NO (reference data, not a decision)","could seed gematria_words entries for any generated forms not already present (type-A, no relation claim) -- but the SHEET as a curated reference has no single existing table home","MEDIUM-HIGH -- 1,300 live-computed values, expensive to regenerate","Delivered to user; the 50-number ""Strong Numbers"" list itself is another G-category anchor/number list"
NUMBER_WORDS_RECONCILED.csv + NUMBER_WORDS_AMBIGUOUS.csv + NUMBER_WORDS_RESEARCH_FINDINGS.csv + NUMBER_LANGUAGE_BIDIRECTIONAL_REPORT.md,Numeric Language Phase 5,"scratchpad (session-local, ephemeral)/NUMBER_WORDS_RECONCILED.csv (+3 more)",YES,570 + 22 + 120 + report,"Full WORDS->NUMBER reconciliation of all 570 numeric-word corpus rows: parse_type, parsed_number, roundtrip_status, cross-research hits, the 75/148/776 organic-corpus rediscovery, 22-row curated Human-Gate list (e.g. Shema fragment=1118, Exodus 12:6 fragment=1820), decision NOT YET",SCRATCHPAD_ONLY,none,YES,candidate findings + a specific 22-row Human-Gate list,YES (22-row list explicitly),research_contributions (intent=gematria) for the 22 Human-Gate rows specifically; research_objects for the broader reconciliation,"HIGH -- irreplaceable without redoing the full 570-row reconciliation; the 22-row Human-Gate list is a specific, ready-to-review, high-value artifact",Delivered to user
METHOD_EXPANSION_RESOLUTION.csv + METHOD_EXPANSION_REPORT.md,Methods Expansion Phase 1,"scratchpad (session-local, ephemeral)/METHOD_EXPANSION_RESOLUTION.csv, scratchpad (session-local, ephemeral)/METHOD_EXPANSION_REPORT.md",YES,39,"Per-row resolution (18 רת + 18 סת + 3 ישר-והפוך) with live-tested hypotheses, lifecycle_status, Human-Gate decision = REMAIN_CANDIDATE for all 3 method-name candidates",PARTIALLY_PERSISTED,"work_log closing memo captures the 3 REMAIN_CANDIDATE decisions and key findings (644 anchor unexplained, 1335=Daniel-citation hypothesis) in prose; the per-row detail is scratchpad-only",PARTIAL,candidate (all 3 explicitly stay candidate),"NO further action needed -- decision already REMAIN_CANDIDATE, open questions posed to Zuriel are in work_log","research_objects (kind=hypothesis, status=candidate) is the natural home per method_lifecycles own provenance requirement (""כל ניסיון+תוצאה נרשם"")","MEDIUM -- work_log preserves the DECISION, but the specific live-engine test values (e.g. acronym ""צד"" tested against all 13 methods for 644) are only in the CSV","Delivered to user. This directly answers audit item J (method candidates): ר""ת/ס""ת/ישר-והפוך all REMAIN_CANDIDATE, none promoted, none rejected outright"
WORDS_NAMES_IDENTITY_PROOF.csv + WORDS_NAMES_IDENTITY_REPORT.md,Words/Names/Aliases Phase 1,"scratchpad (session-local, ephemeral)/WORDS_NAMES_IDENTITY_PROOF.csv, scratchpad (session-local, ephemeral)/WORDS_NAMES_IDENTITY_REPORT.md",YES,35,"35 test cases proving word_aliases+language_bridge architecture sufficiency, decision=YES (no schema change needed), the one real gap found (spelling_variant never populated)",PARTIALLY_PERSISTED,work_log memo captures the YES decision and the gap finding in prose,PARTIAL,architecture decision (YES) + gap finding,"YES (which mechanism should carry spelling-variant identity — asked, not answered)","project_codex (architecture decision, same category as RESEARCH_DNA_ARCHITECTURE.md)","MEDIUM -- the YES decision and its reasoning are in work_log; the 35 worked examples (live engine values, edge counts) are only in the CSV",Delivered to user
CORPUS_EXPANSION_INTAKE_SPEC.md + INTAKE_DECISION_MATRIX.csv,Corpus Expansion Phase 1 + Gate Correction,"scratchpad (session-local, ephemeral)/CORPUS_EXPANSION_INTAKE_SPEC.md, scratchpad (session-local, ephemeral)/INTAKE_DECISION_MATRIX.csv",YES,18,"Full intake state machine design (9 steps, A-F taxonomy, duplicate-safety rules, Human-Gate matrix), CORRECTED so no candidate reaches canonical without Zuriel; proposed NEW intent=lexical_identity (name+meaning only, not written); 18-scenario decision matrix",PARTIALLY_PERSISTED,work_log memo (both the Phase 1 and the Gate Correction entries) captures the design decision and the intent proposal in prose,PARTIAL,"design spec, unreviewed","YES (intent-value choice, spec approval)","project_codex (a design SPEC document, same category as the two RESEARCH_DNA docs and WORDS_NAMES_IDENTITY_REPORT)",MEDIUM -- work_log has the gist; the full state-machine diagram and 18-row matrix are only in the files,"Delivered to user; this is the design ARTIFACT most directly needed if/when a real intake pipeline gets built, per Zuriels own stated next step"
HEBREW_IDENTITY_FAMILIES.csv + HEBREW_IDENTITY_HUMAN_GATE.csv + HEBREW_IDENTITY_PHASE2_REPORT.md,Hebrew Identity Phase 2,"scratchpad (session-local, ephemeral)/HEBREW_IDENTITY_FAMILIES.csv, scratchpad (session-local, ephemeral)/HEBREW_IDENTITY_HUMAN_GATE.csv, scratchpad (session-local, ephemeral)/HEBREW_IDENTITY_PHASE2_REPORT.md",YES,29 + 10,"14 identity family candidates (29 surface-form rows), 10 with a real pending Human-Gate decision, Zuriel has since ALREADY REVIEWED AND DECIDED on all 14 in this same chat turn (see notes)",PARTIALLY_PERSISTED,"Zuriels decision on all 14 families is recorded in this CHAT conversation (not yet in work_log as a dedicated decision memo, and not yet in any DB table)",PARTIAL (decision exists in chat; underlying data + decision-as-structured-record both scratchpad/chat-only),"6 families APPROVED by Zuriel in chat (spelling_variant, minus תהלים/תהילים held back for node-dedup) + 1 APPROVED as relational_phrase (דוד/בן דוד) + 2 left unresolved (as designed) + 3 rejected (as designed) + 1 negative-control (as designed) -- NONE of this has been written to word_aliases/language_bridge yet, exactly as intended (candidate-only)","NO FURTHER -- Zuriel already decided in chat; what remains is the WRITE, which is explicitly out of scope for this audit",word_aliases (alias_type=spelling_variant) for the 5 approved-and-ready families once the pre-write blockers (Roadmap drift base branch + live word_aliases schema check) are closed,"HIGH -- Zuriels explicit chat approval of 5 families + the בן דוד relational classification is currently recorded ONLY in this conversations transcript, nowhere in work_log or any durable store",Delivered to user. THE MOST TIME-SENSITIVE ITEM IN THIS AUDIT: a real Zuriel decision exists and is not yet durably logged
mark_reference_sets.json / strong_numbers_final.json / strong_expressions.json (+ ~15 similar intermediate JSON/py files),cross-phase intermediate reference data (era 2),"scratchpad (session-local, ephemeral)/mark_reference_sets.json (+intermediates)",YES,,"Derived reference sets (anchors/research-interest/hubs/graph-pairs/multi-evidence-pairs) reused across Strong Numbers, Number-Language Phase 5, Methods Expansion, and Hebrew Identity Phase 2 to avoid re-querying",SCRATCHPAD_ONLY,none -- purely derived caches of already-live data (re-derivable from gematria_words/nodes/edges directly),YES,"intermediate cache, not a research finding itself",NO,none needed -- re-derivable from live tables on demand,"LOW -- convenience only, not original research",
