phrase,source,ragil,is_verified,visibility_tier,category,created_date,n_words,proposed_corpus_role,proposed_theme,confidence,short_reason
מחר זה י ט תמוז,wa-deep,732,False,3,קבוצת וואטסאפ,2026-07-03,5,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
משה באתב ש זה צבי,wa-deep,1164,False,3,קבוצת וואטסאפ,2026-07-03,5,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
צביקה בגימטריא גור אריה יהודה,wa-deep,937,False,3,קבוצת וואטסאפ,2026-07-03,5,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
רצח הרב המקובל עמוס גואטה,wa-deep,888,False,3,קבוצת וואטסאפ,2026-07-03,5,thematic_corpus,news_event,high,מתעד אירוע-אקטואליה (רצח הרב עמוס גואטה) — כמו 'תיעוד אירועים' באתר
פתח אליהו הנביא זכור לטוב ואמר,wa-deep,1135,False,3,קבוצת וואטסאפ,2026-07-03,6,conversational_noise,,medium,"משפט ארוך מתוך שיחה — תמלול-צ'אט, לא ביטוי-מחקר עצמאי"
תן לי גימטריות על שמי צבי,wa-deep,1720,False,3,קבוצת וואטסאפ,2026-07-03,6,conversational_noise,,medium,"משפט ארוך מתוך שיחה — תמלול-צ'אט, לא ביטוי-מחקר עצמאי"
רבי עמוס גואטה נרצח בדקירה עם סכין,wa-deep,1331,False,3,קבוצת וואטסאפ,2026-07-03,7,thematic_corpus,news_event,high,מתעד אירוע-אקטואליה (רצח הרב עמוס גואטה) — כמו 'תיעוד אירועים' באתר
כן זה מופיע בסרטון הזה שעשיתי לפני עשור,wa-deep,2468,False,3,קבוצת וואטסאפ,2026-07-03,8,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
צבי יקר שלי רואים את הטוב שבצירופים גיהנם,wa-deep,2278,False,3,קבוצת וואטסאפ,2026-07-03,8,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
ענוים ענוים ענוים ענוים הגיע זמן גאולתכם ענוים ענוים,wa-deep,1741,False,3,קבוצת וואטסאפ,2026-07-03,9,conversational_noise,,medium,"משפט ארוך מתוך שיחה — תמלול-צ'אט, לא ביטוי-מחקר עצמאי"
הארת פנים חלק ד מביא ששה חלקי פסוקים שהגימטריא שלהם,wa-deep,2983,False,3,קבוצת וואטסאפ,2026-07-03,10,conversational_noise,,medium,"משפט ארוך מתוך שיחה — תמלול-צ'אט, לא ביטוי-מחקר עצמאי"
נכון יש הרבה צרופים שכולם משלימים זה את זה צבי,wa-deep,2467,False,3,קבוצת וואטסאפ,2026-07-03,10,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
עבודה זרה והגיהנם גימטרית המילוי של גיהנם היא גימל יוד הה נון מם,wa-deep,1944,False,3,קבוצת וואטסאפ,2026-07-03,13,conversational_noise,,medium,"מבנה-משפט/כינוי-גוף/מילת-מטא-שיחה (כמו 'סרטון','חידוש','יקר') — משפט-צ'אט, לא מונח"
אלב,wa-vip,33,False,3,קבוצת וואטסאפ VIP,2026-07-03,1,conversational_noise,,high,"שבר-קטוע/מילת-מילוי (סימן-גרש שנקטע, או קריאת-ביניים) — לא ביטוי עצמאי"
אמ,wa-vip,41,False,3,קבוצת וואטסאפ VIP,2026-07-03,1,conversational_noise,,high,"שבר-קטוע/מילת-מילוי (סימן-גרש שנקטע, או קריאת-ביניים) — לא ביטוי עצמאי"
אתב,wa-vip,403,False,3,קבוצת וואטסאפ VIP,2026-07-03,1,conversational_noise,,high,"שבר-קטוע/מילת-מילוי (סימן-גרש שנקטע, או קריאת-ביניים) — לא ביטוי עצמאי"
בגימטריא,wa-vip,275,False,3,קבוצת וואטסאפ VIP,2026-07-03,1,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
בים,wa-vip,52,False,3,קבוצת וואטסאפ VIP,2026-07-05,1,research_vocabulary,single_word,medium,מילה עברית תקנית בודדת — ללקסיקון-מחקר
בפסוק,wa-vip,248,False,3,קבוצת וואטסאפ VIP,2026-07-05,1,research_vocabulary,single_word,medium,מילה עברית תקנית בודדת — ללקסיקון-מחקר
הימג,wa-vip,58,False,3,קבוצת וואטסאפ VIP,2026-07-03,1,conversational_noise,,high,"שבר-קטוע/מילת-מילוי (סימן-גרש שנקטע, או קריאת-ביניים) — לא ביטוי עצמאי"
הקב,wa-vip,107,False,3,קבוצת וואטסאפ VIP,2026-07-04,1,conversational_noise,,high,"שבר-קטוע/מילת-מילוי (סימן-גרש שנקטע, או קריאת-ביניים) — לא ביטוי עצמאי"
ויבקעו,wa-vip,194,False,3,קבוצת וואטסאפ VIP,2026-07-05,1,research_vocabulary,single_word,medium,מילה עברית תקנית בודדת — ללקסיקון-מחקר
חח,wa-vip,16,False,3,קבוצת וואטסאפ VIP,2026-07-03,1,conversational_noise,,high,"שבר-קטוע/מילת-מילוי (סימן-גרש שנקטע, או קריאת-ביניים) — לא ביטוי עצמאי"
חסרים,wa-vip,318,False,3,קבוצת וואטסאפ VIP,2026-07-03,1,thematic_corpus,emotion_separation,medium,שייך לאשכול פרידה/רגש (תרגיל-מילים wa-deep)
יוד,wa-vip,20,False,3,קבוצת וואטסאפ VIP,2026-07-03,1,research_vocabulary,letters,high,שם-אות בודד — שימושי ללקסיקון-אותיות
יזראל,wa-vip,248,False,3,קבוצת וואטסאפ VIP,2026-07-03,1,research_vocabulary,single_word,medium,מילה עברית תקנית בודדת — ללקסיקון-מחקר
ישועת,wa-vip,786,False,3,קבוצת וואטסאפ VIP,2026-07-03,1,research_vocabulary,single_word,medium,מילה עברית תקנית בודדת — ללקסיקון-מחקר
כלומר,wa-vip,296,False,3,קבוצת וואטסאפ VIP,2026-07-03,1,research_vocabulary,single_word,medium,מילה עברית תקנית בודדת — ללקסיקון-מחקר
ליראיו,wa-vip,257,False,3,קבוצת וואטסאפ VIP,2026-07-05,1,research_vocabulary,single_word,medium,מילה עברית תקנית בודדת — ללקסיקון-מחקר
מדינת,wa-vip,504,False,3,קבוצת וואטסאפ VIP,2026-07-03,1,research_vocabulary,single_word,medium,מילה עברית תקנית בודדת — ללקסיקון-מחקר
מם,wa-vip,80,False,3,קבוצת וואטסאפ VIP,2026-07-03,1,research_vocabulary,letters,high,שם-אות בודד — שימושי ללקסיקון-אותיות
מסריח,wa-vip,318,False,3,קבוצת וואטסאפ VIP,2026-07-03,1,research_vocabulary,single_word,medium,מילה עברית תקנית בודדת — ללקסיקון-מחקר
מפרידה,wa-vip,339,False,3,קבוצת וואטסאפ VIP,2026-07-03,1,thematic_corpus,emotion_separation,medium,שייך לאשכול פרידה/רגש (תרגיל-מילים wa-deep)
נסחף,wa-vip,198,False,3,קבוצת וואטסאפ VIP,2026-07-05,1,research_vocabulary,single_word,medium,מילה עברית תקנית בודדת — ללקסיקון-מחקר
סו,wa-vip,66,False,3,קבוצת וואטסאפ VIP,2026-07-05,1,conversational_noise,,high,"שבר-קטוע/מילת-מילוי (סימן-גרש שנקטע, או קריאת-ביניים) — לא ביטוי עצמאי"
עמוקים,wa-vip,266,False,3,קבוצת וואטסאפ VIP,2026-07-03,1,research_vocabulary,single_word,medium,מילה עברית תקנית בודדת — ללקסיקון-מחקר
עקומים,wa-vip,266,False,3,קבוצת וואטסאפ VIP,2026-07-03,1,research_vocabulary,single_word,medium,מילה עברית תקנית בודדת — ללקסיקון-מחקר
פתרנים,wa-vip,780,False,3,קבוצת וואטסאפ VIP,2026-07-05,1,research_vocabulary,single_word,medium,מילה עברית תקנית בודדת — ללקסיקון-מחקר
שחכבמ,wa-vip,370,False,3,קבוצת וואטסאפ VIP,2026-07-03,1,research_vocabulary,single_word,medium,מילה עברית תקנית בודדת — ללקסיקון-מחקר
שין,wa-vip,360,False,3,קבוצת וואטסאפ VIP,2026-07-03,1,research_vocabulary,letters,high,שם-אות בודד — שימושי ללקסיקון-אותיות
תדמין,wa-vip,504,False,3,קבוצת וואטסאפ VIP,2026-07-03,1,research_vocabulary,single_word,medium,מילה עברית תקנית בודדת — ללקסיקון-מחקר
תהרגנה,wa-vip,663,False,3,סין רוסיה ואיראן,2026-07-15,1,research_vocabulary,single_word,medium,מילה עברית תקנית בודדת — ללקסיקון-מחקר
תפארתך,wa-vip,1101,False,3,קבוצת וואטסאפ VIP,2026-07-03,1,research_vocabulary,single_word,medium,מילה עברית תקנית בודדת — ללקסיקון-מחקר
תשפ,wa-vip,780,False,3,קבוצת וואטסאפ VIP,2026-07-04,1,conversational_noise,,high,"שבר-קטוע/מילת-מילוי (סימן-גרש שנקטע, או קריאת-ביניים) — לא ביטוי עצמאי"
אומות מנח,wa-vip,551,False,3,קבוצת וואטסאפ VIP,2026-07-04,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
אותיות אחרי,wa-vip,1042,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
אח שימחת,wa-vip,767,False,3,קבוצת וואטסאפ VIP,2026-07-05,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
אל הים,wa-vip,86,False,3,קבוצת וואטסאפ VIP,2026-07-05,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
בגימטרית המילוי,wa-vip,775,False,3,קבוצת וואטסאפ VIP,2026-07-05,2,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
בין הבתרים,wa-vip,719,False,3,קבוצת וואטסאפ VIP,2026-07-05,2,canonical_candidate,,high,"פסוק/ביטוי עצמאי מוכר, משמעות ברורה"
בית שלישי,wa-vip,1062,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,canonical_candidate,,high,"פסוק/ביטוי עצמאי מוכר, משמעות ברורה"
בן יזראל,wa-vip,300,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
בן ריאלז,wa-vip,300,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
בספר זכריה,wa-vip,584,False,3,קבוצת וואטסאפ VIP,2026-07-05,2,research_vocabulary,verse_reference,medium,"הפניה לפרק/פסוק/ספר בתנ״ך — למחקר-הצלבות, לא ממצא עצמאי"
בספר יחזקאל,wa-vip,498,False,3,קבוצת וואטסאפ VIP,2026-07-05,2,research_vocabulary,verse_reference,medium,"הפניה לפרק/פסוק/ספר בתנ״ך — למחקר-הצלבות, לא ממצא עצמאי"
בספר ירמיהו,wa-vip,613,False,3,קבוצת וואטסאפ VIP,2026-07-05,2,research_vocabulary,verse_reference,medium,"הפניה לפרק/פסוק/ספר בתנ״ך — למחקר-הצלבות, לא ממצא עצמאי"
בספר שמות,wa-vip,1088,False,3,קבוצת וואטסאפ VIP,2026-07-05,2,research_vocabulary,verse_reference,medium,"הפניה לפרק/פסוק/ספר בתנ״ך — למחקר-הצלבות, לא ממצא עצמאי"
גימטריא תרי,wa-vip,883,False,3,קבוצת וואטסאפ VIP,2026-07-05,2,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
גליכם ו,wa-vip,109,False,3,קבוצת וואטסאפ VIP,2026-07-05,2,conversational_noise,,high,"שבר-קטוע/מילת-מילוי (סימן-גרש שנקטע, או קריאת-ביניים) — לא ביטוי עצמאי"
ד י,wa-vip,14,False,3,קבוצת וואטסאפ VIP,2026-07-05,2,conversational_noise,,high,"שבר-קטוע/מילת-מילוי (סימן-גרש שנקטע, או קריאת-ביניים) — לא ביטוי עצמאי"
הוא הוויות,wa-vip,445,False,3,קבוצת וואטסאפ VIP,2026-07-04,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
הכלת נפשו,wa-vip,891,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
המילוי בלבד,wa-vip,139,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
המספר והעולם,wa-vip,542,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
השורש של,wa-vip,1141,False,3,קבוצת וואטסאפ VIP,2026-07-05,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
התשפו נלך,wa-vip,891,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
ו בגימטריא,wa-vip,281,False,3,קבוצת וואטסאפ VIP,2026-07-04,2,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
וזה גם,wa-vip,61,False,3,קבוצת וואטסאפ VIP,2026-07-05,2,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
וכמו שנאמר,wa-vip,663,False,3,קבוצת וואטסאפ VIP,2026-07-05,2,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
זה מחיש,wa-vip,370,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
חלום באנגלית,wa-vip,580,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
חת העץ,wa-vip,573,False,3,קבוצת וואטסאפ VIP,2026-07-05,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
טבע בים,wa-vip,133,False,3,קבוצת וואטסאפ VIP,2026-07-05,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
כל הנפשות,wa-vip,891,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,canonical_candidate,,high,"פסוק/ביטוי עצמאי מוכר, משמעות ברורה"
להבין באנגלית,wa-vip,593,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
לשון מנח,wa-vip,484,False,3,קבוצת וואטסאפ VIP,2026-07-04,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
ם ל,wa-vip,70,False,3,קבוצת וואטסאפ VIP,2026-07-05,2,conversational_noise,,high,"שבר-קטוע/מילת-מילוי (סימן-גרש שנקטע, או קריאת-ביניים) — לא ביטוי עצמאי"
מגן יה,wa-vip,108,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
מילוי מיכאל,wa-vip,197,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,conversational_noise,,medium,שילוב שם-פרטי/פנייה בקבוצה — קטע-שיחה
מים ורחצו,wa-vip,400,False,3,קבוצת וואטסאפ VIP,2026-07-05,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
מים עמוקים,wa-vip,356,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
מלאכים וכדומה,wa-vip,222,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
מסר חי,wa-vip,318,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
משיח בגימטריא,wa-vip,633,False,3,קבוצת וואטסאפ VIP,2026-07-04,2,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
משיח במילוי,wa-vip,456,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
משמע מזה,wa-vip,502,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
נא מעט,wa-vip,170,False,3,קבוצת וואטסאפ VIP,2026-07-05,2,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
נושאים לשיחה,wa-vip,760,False,3,קבוצת וואטסאפ VIP,2026-07-05,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
סוד ההעלם,wa-vip,220,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
סוד י,wa-vip,80,False,3,קבוצת וואטסאפ VIP,2026-07-05,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
סוד עולם,wa-vip,216,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
עין קום,wa-vip,276,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
פסוק שלם,wa-vip,616,False,3,קבוצת וואטסאפ VIP,2026-07-05,2,research_vocabulary,verse_reference,medium,"הפניה לפרק/פסוק/ספר בתנ״ך — למחקר-הצלבות, לא ממצא עצמאי"
פסח סחף,wa-vip,296,False,3,קבוצת וואטסאפ VIP,2026-07-05,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
צבי באתב,wa-vip,507,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
צבי בגימטריא,wa-vip,377,False,3,קבוצת וואטסאפ VIP,2026-07-04,2,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
צבי מבין,wa-vip,204,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,conversational_noise,,medium,שילוב שם-פרטי/פנייה בקבוצה — קטע-שיחה
צבי צבי,wa-vip,204,False,3,קבוצת וואטסאפ VIP,2026-07-04,2,conversational_noise,,medium,שילוב שם-פרטי/פנייה בקבוצה — קטע-שיחה
צדיק בגימטריא,wa-vip,479,False,3,קבוצת וואטסאפ VIP,2026-07-04,2,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
רחום בגימטריא,wa-vip,529,False,3,קבוצת וואטסאפ VIP,2026-07-04,2,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
ריח סם,wa-vip,318,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
רק המילוי,wa-vip,401,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,conversational_noise,,high,שבר-שיחה/פנייה-לבוט/מטא-דיבור — לא תוכן עצמאי
ש משה,wa-vip,645,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,conversational_noise,,medium,שילוב שם-פרטי/פנייה בקבוצה — קטע-שיחה
ש שמעון,wa-vip,766,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,conversational_noise,,medium,שילוב שם-פרטי/פנייה בקבוצה — קטע-שיחה
שמואל משא,wa-vip,718,False,3,קבוצת וואטסאפ VIP,2026-07-05,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
שמות כה,wa-vip,771,False,3,קבוצת וואטסאפ VIP,2026-07-05,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
תסביר צור,wa-vip,968,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,research_vocabulary,,low,"ביטוי קצר בעל תוכן אפשרי, לא ודאי אם עצמאי או קטע-שיחה — טעון בדיקה"
תפארתך בגימטריא,wa-vip,1376,False,3,קבוצת וואטסאפ VIP,2026-07-03,2,research_vocabulary,method_self_reference,medium,"הביטוי הוא שם-שיטה/מונח-מחשבון על עצמו — ללקסיקון, לא ממצא-תוכן"
