# RESIDUAL LEGACY POST CORPUS — PER-POST CLOSE-READ LEDGER (PARTIAL — WORK STOPPED BY ZURIEL)
#
# READ-ONLY. Denominator = 944. This file records ONLY posts actually close-read.
# Batch-1 close-read (24, findings in 60_FINDINGS.md): 1794 1074 250 1375 1348 1313 1420 977 298 123 133 44 8 1295 35 28 102 182 1322 197 86 68 1302 1301
# Batch-2 close-read recorded here: 209
# TOTAL CLOSE-READ = 233 / 944.  NOT COMPLETE.
#
# post_id	wp_id	date	text_len	score	depth	notes
55	35497	2025-03-04	7781	69	DENSE 1526/7644	תיעוד אירועים 2025. Multi-contributor with chat timestamps: «[5.3, 21:37] ציון סיבוני», «[6.3, 0:30] zuriel: מאת דוד יצחק ויצמן». Event: appointment of the 24th IDF chief of staff אייל זמיר (age 59) + 59 remaining hostages. Claims: «נתניהו - עת הזמיר הגיע»=1400 מסתתר; «ביבי נתניהו - …»=1424 מסתתר; ביבי=24=the 24th RaMaTKaL; הרמטכ"ל ה-24=333=גרעין=שלג; גרעין+שלג=666=התיקון הכללי=ליל שמורים; ליל הסדר=340=פרס; שריון=566=משיח בן יוסף; אייל=51=אדום; אדום=611=תורה=התור; קול התור=747=משה בן עמרם; נט=59; ר"ת אז / ס"ת לר = 238 = רחל. DAVID VITZMAN CONTRIBUTION: «ישעיהו פרק 59 — המקום היחיד שמוזכר המספר 59 במילים בתנ"ך» (a corpus-uniqueness claim about a spelled number). PRIVACY: this post carries ציון סיבוני's phone AND email in body text — flagged, not reproduced.
56	35470	2025-02-25	28075	51	DENSE 726/21049	סוד החשמל, tag לוויתן. Sources: אבן שלמה לגר"א (יא) — סעודת לויתן = the increase of דעת; ב"ב עד:/עה. (R. Eliezer & R. Yehoshua at sea; לויתן's eyes; «אחריו יאיר נתיב»). Interpretive/aggadic, minimal gematria.
59	35133	2025-02-11	3246	10	DENSE 274/2365	2025. Buenos Aires red rivers; Knesset founded ט"ו בשבט תש"ט = 76 years; 76 hostages; 76=בן דויד. Musk's $97.4B xAI bid converted to Hebrew letters. Cross-domain (finance figure → letters).
60	35108	2025-02-11	36285	97	DENSE 3026/25840	סוד החשמל, tags 112/121. Thesis: 121 = the hidden degree above the 120 צירופי א-להים. NAMED: הרה"ג ר' י. י. ה. שליט"א («ולא ידע»=121), הרה"ג ר' דוד יצחק ויצמן שליט"א (FULL NAME of the דוד ויצמן voice — provenance link), הרה"ג ר' אברהם אגשי שליט"א (עד מאה ועשרים = משה בן עמרם = משה איש האלהים). Structure: 50 x 120 = 6000 years (תרומה 1/50); תהלים ch.120 opens the Shabbat psalms → after 120 comes the 7th millennium. Sources: מגלה עמקות (בא), מכילתא, קה"ר יב,ט, עמודיה שבעה כא, בעל הטורים דברים.
62	35015	2025-01-30	22480	75	DENSE 1526/16403	סוד החשמל, שבט תשפ"ה, י"ח שבט focus. NAMED: הרה"ג ר' יוסף סופר שליט"א — «האותיות הבאות אחרי אח"ר צה"ל הן וק"ם שב"ט» = the אותיות אחרי (+1 alphabet shift) method applied to an acronym, per otiot_shift_methods. Sources: לק"ת מהאריז"ל בלק ע' רכח («וקם שבט מישראל» = יסוד, שבט=איש), אור החיים (gaulat be'itah reading). Part of the 70-post citation-reuse community (shares the Arizal Balak p.228 block).
64	34948	2025-01-28	5695	65	DENSE 1525/5455	סוד החשמל «שיעורי סוד החשמל #2» — SECOND LESSON REGISTER, extending the post-1794 index. Update 6/7/2025 «נוספו 19 שיעורים חדשים», listing שיעור 1329-1347. Confirms the lesson corpus continues past 1279. Content of the new lessons again names סינון אותיות («האותיות צב"י ואתרע"י ב"ן, ומס"ר ל"ן אורית"א התגלה בסינון אותיות יחיד בתנ"ך», שיעור 1339) and רצף אותיות (contiguous-letter runs, שיעור 1331). Lesson 1335 self-references «השיעור 1335 בקו סוד החשמל בסיום השנה העשירית לקו» — dating the hotline's 10th year.
66	34908	2025-01-23	17566	49	DENSE 726/12395	חכמת החיבור/סוד החשמל, tag קבלה. Sources: סוכה כח., ספר 'אמרי פנחס' שער ב', כתבי האריז"ל + סדור הרש"ש (ש"ס אורות במוחין דקטנות = 120 צירופי אלהים x 3 קוים — links to post 60's 120/121 material). Torah-of-Mashiach theme.
69	34700	2024-12-19	24927	58	DENSE 1176/18734	סוד החשמל, Hermon capture 2024. Source: ילקוט מיכה תקנב — the Third Temple built on four mountains (סיני, תבור, כרמל, חרמון), R. Pinchas b. R. Reuven, and רב הונא's «ונשא» = song. Event-to-midrash mapping.
80	34481	2024-11-13	22199	19	DENSE 286/15095	סוד החשמל. מלכות בית דוד from Sodom's impurity; «מי לך פה חתן»; פרקי דרבי אליעזר טז (חתן דומה למלך). Aggadic.
98	34024	2024-08-31	29248	108	DENSE 4026/22170	סוד החשמל. Theme: גאולת בעתה = מזל (fortune) not merit; משיח as root of מזל העולם. NEW OPERATOR STACK LABEL: «במקסימום עם האותיות והמילים והכולל» — an explicit MAXIMUM stack (value + letter-count + word-count + kollel applied together), used for «מזל של המשיח»=תשפ"ד and «סימן טוב ומזל טוב בעתו»=ה'תשפ"ד. Claims: נשואין = אדם דוד משיח; משיח בן דויד = גלגל חוזר בעולם. Sources: מו"ק כח., שבת קיט., ירושלמי פאה ג:, פני משה, רש"י on דרך כוכב מיעקב, איכ"ר א,נא + מתנות כהונה (birth of Mashiach at the churban, «דחשיה קשיא»). Interpretation clearly derash.
99	33985	2024-08-22	19751	53	DENSE 726/13702	סוד החשמל. NAMED: הרה"ג ר' אברהם ידידיה שליט"א. EVENT-CHAIN with hard dates: ט"ו בשבט תש"ח KKL planted a cypress at דגניה, 70cm tall, named «עץ המדינה», with a scroll buried in its roots; it collapsed days after ה' באייר תשע"ח = exactly 70 years. Cross-refs lesson 752 in the lesson register. A verifiable historical claim (not gematria).
100	33932	2024-08-11	31627	49	DENSE 726/21910	סוד החשמל. Sources: פסיקתא רבתי כח (גירסת הר"ז מרגליות) «אין משיח בא אלא בתשעה באב»; מהרש"א on בכורות ח: («מקל שקד» = 21 days from י"ז בתמוז to ט' באב). Links שמיני עצרת to ט' באב as birth-process endpoints.
101	33826	2024-08-08	1249	37	FULL 454/1238	⭐ INSTITUTIONAL IDENTITY: «בית הספר לתורת הרמז» — a school teaching גימטריה, חילופי אותיות, דילוגי אותיות, «מערכות קוד בשפה העברית». Cipher systems named: אתב"ש, אלב"ם, and **אכד"ט** — a substitution-cipher label NOT in gematria_methods. Curriculum framing: «מבנה שפה עברית כקוד מידע רב-שכבתי». Method-doctrine ledger item.
109	33231	2024-06-02	30242	26	DENSE 356/18868	סוד החשמל, Meron gates closed ל"ג בעומר תשפ"ד. Source: סנהדרין קא: (Yeravam's pride). Carries the ויצמן claim «בד' פרשיות שמות וארא בא בשלח יש 1335 אותיות ב', מתחלק 990 + 345» — a LETTER-COUNT partition claim. Corpus-identity-dependent.
119	32814	2024-03-28	146486	192	DENSE 9000/146486 (long homiletic Purim essay; research units concentrated in the gematria paragraphs)	סוד החשמל, tags הםן/פורים. COMPOUND-METHOD CLAIMS (new pattern my extractor under-caught): «ארור המן במלוי האותיות עולה 1335» (Daniel end-time), «ברוך מרדכי בגימטריא רגילה עם המסתתר עולה 1290» (Daniel end-time) — i.e. ragil+mistater composite; «ארור המן בא"ת ב"ש=595» vs «ברוך מרדכי בא"ת ב"ש=596» — the source itself notes the INVERSION as the point (Haman higher in one method, Mordechai higher in the other). This is a source-native argument ABOUT method-dependence. Sources cited: אגרא דכלה קיג:, מגילה יב., רמח"ל, רבי שמשון מאוסטרופולי הי"ד, מהר"ם שפירא מלובלין, אריז"ל. Theme: ניצוץ of המן / יש"ו tikkun before redemption, שנת 3760. Interpretation-heavy; claims are clearly marked as derash.
122	32653	2024-03-09	37063	99	DENSE 3026/23360	סוד החשמל, the densest סנון post. NAMED: הרה"ג ר' דוד ויצמן שליט"א (repeatedly), הרה"ג ר' מ. שיפמן שליט"א, הרה"ג ר' יואל טיטלבוים שליט"א. Core: ר"ת+ס"ת of the five books (+יהושע) = 1435, and «האותיות שנשארו בפנים» = 1435 again (with kollel) — an inside/outside partition procedure. תלא"ה = אל"ף תל"ה, appears twice in the Torah, both about Egyptian suffering. סנון counts: משי"ח 688 in Torah+Joshua (=חומת יריחו), 606 in Torah (=רות); שיר"ה 622; תלא"ה 2117 Tanakh (973 fwd / 1144 rev); יחמ"ץ 784. Ordinal-from-both-ends: «הסנון ה-199 מההתחלה … הסנון ה-424 מהסוף». Sources: ספר חסידים קו, נדרים כב:, זהר. Corpus-identity-dependent (see §17 blocker).
124	32578	2024-02-22	17265	47	DENSE 506/11008	tags [141]. ZERO-LAW post: «141 = אפס», «14 = דוד», 141 read as a mirror (141 appearing on both sides). Carries the ויצמן «924 סנון אפ"ס ישר והפוך» material and «שעת האפס». The clearest statement of the corpus's zero-doctrine: to grasp the Creator one must be as אפס. Numeric-law (zero) + gematria kept distinct by the source.
136	31868	2024-01-25	27081	10	DENSE 276/17222	⭐⭐ MAJOR PROCEDURE, named author: «הרה"ג ר' מ. שיפמן שליט"א הפך את מלות התורה לגימטריא שלהם, וסדר את כל התורה בצורת מספרים» — «בראשית ברא אלהים» becomes the digit-string 91320386, and the ENTIRE TORAH is rendered as a concatenated numeric string which is then searched for year-numbers (5784). This is exactly the PROCEDURE already held as research_object wordpress/posts:136; this post NAMES its author (M. Shifman) and its full construction. A distinct derived-corpus procedure — not gematria, not ELS. CORPUS-IDENTITY-DEPENDENT in the extreme (the digit string depends on spelling and on word-splitting).
140	31739	2024-01-04	1901	45	FULL 504/1875	⭐ ELS post. NAMED ELS RESEARCHER: «מאת נריה דויטש» (present in contributors as חוקר צפנים · דילוגי אותיות). Claims: a חותים cipher at skip 5785 (=the year) and another at skip 5784, «הזינו במחשב את המילה 'חותים' והמחשב מצא את הצופן הזה בדיוק ובדילוג של 5784 אותיות בכל שורה» — SKIP=YEAR is the design choice, i.e. the skip is chosen to equal the Hebrew year, not discovered. That is a crucial methodological note: a year-skip hit is not a uniqueness result. Also a 250 skip. Routed to els owners; NOT verified here.
141	31725	2024-01-04	38128	59	DENSE 1176/23912	סוד החשמל. GEOGRAPHIC-SYMBOLISM CHAIN (recurs in 53, 69, 146, 178): ים האדום = womb ending in two 'trumpets'; תימן at the gulf head = the womb position; חותים → ח"ת = 8 = תמניא = אמא; צנעא = צניעות; אילת = the אילה whose womb the serpent bites; נחל רחם near Eilat. NAMED: הרה"ג ר' ג. פ. שליט"א. Interpretation-type: toponym-as-anatomy allegory, explicitly derash.
145	31656	2023-12-26	36187	24	DENSE 356/22416	סוד החשמל, tags אורן עברון / «סוד החכמה 73» / מגן דוד. CORPUS-COUNT: «המלה אוצר מופיעה בשני מקומות בכל התורה» (דברים כח,יב + one more) — a two-occurrence uniqueness claim. Plus a geometric analysis of the Magen David structure. Cross-domain (geometry x gematria).
146	31626	2023-12-20	36774	58	DENSE 1176/23031	כללי/סוד החשמל, כ' טבת תשפ"ד = first day of 2024. Contains the ויצמן סנון claims already logged (ישראל 2808 = 2024+784; כ' טב"ת 455, sieve #431 from end; פסח חגיגה 177 split 148/29). Source: של"ה עקב on יעקב→ישראל and «כעת יאמר ליעקב ולישראל מה פעל אל» (the 256 anchor). Corpus-identity-dependent.
154	31307	2023-11-27	12473	28	DENSE 425/12326	author=מזכה הרבים. עלון 1540 (התאחדות הקהילות, האדמו"ר מהאלמין), ז' כסלו תשפ"ד. Segula genre (brick in oven + tzaddik's grave). Devotional/contextual; no gematria. Same publisher family as 196/207/209.
155	31290	2023-11-24	17321	10	DENSE 275/10640	«דרך כוכב מיעקב» and starfish on the sea floor. Sources: ב"ר ד,ז (אש+מים=שמים), ירושלמי ר"ה ב,ד. Natural-world analogy.
165	30856	2023-10-29	7750	46	DENSE 505/7462	author=ציון סיבוני, tags 14=דוד / 45=גאולה / נבואת דניאל / עזה. Post-Oct-7. Quotes הרב יעקב נגן (ערוץ 7) on Zechariah's «ואבד מלך מעזה» and the R. Akiva fox-at-the-Holy-of-Holies aggadah as the hermeneutic warrant (destruction-prophecy fulfilled ⇒ consolation-prophecy credible). External media citation with named author and outlet.
178	30148	2023-09-06	75714	71	DENSE 1526/47605	סוד החשמל, tags תשפד/ליאור שטרית. HEAVIEST סנון post with full ordinal apparatus, attributed to הרה"ג ר' דוד ויצמן שליט"א: «בכל התנ"ך יש 1372 סנוני אותיות מחב"ל» = מלחמת גוג ומגוג תשפ"ד; «עוד 1000 סנוני אותיות מחב"ל עם מ"ם סתומה» (a FINAL-LETTER-SENSITIVE sieve variant — decisive for the corpus-identity question); last sieve-hit in Tanakh at דבהי"ב לו,כ; sieve #תשפ"ד from Tanakh start = #477 (=בעתה) from Prophets start, with 588 (=מלחמת גוג ומגוג) remaining, at יחזקאל כא,לג; next sieve = #588 from Tanakh end and #123 (=מלחמה) from Prophets end, at יחזקאל כב,ה. Also embedded ר"ת reading of the verse. ALL corpus-identity-dependent (§17). Sources: מצודות דוד.
179	30145	2023-09-04	1565	26	FULL 354/1586	Unattributed («מאת:» left blank — a provenance gap). ACRONYM-GEMATRIA on legal jargon: «עיל"ת הסבירו"ת»(1193)=«שמינ"י תשפ"ג»; «גל"י בהר"ב מיאר"ה»(508)=«נרא"ה או"ר גאול"ה»; יועמשי"ת. Judicial-reform period.
186	29371	2023-06-28	23766	25	DENSE 356/14879	סוד החשמל — the dedicated אפ"ס sieve post (twin of 124). הרה"ג ר' דוד ויצמן: 924 סנון אותיות אפ"ס בתורה ישר והפוך = אפס תשפ"ג = 924; «שעת האפס עם האותיות והכולל» = 924. Corpus-identity-dependent; my reconstruction gave 833 (see §16).
188	29344	2023-06-09	37677	14	DENSE 286/22411	סוד החשמל. Nova Kakhovka dam bombing on the day the Ark rested on Ararat. Source: ב"ר לד,יא — a flood-like judgement on the nations at the redemption. Calendar-coincidence + midrash.
196	29213	2023-05-07	144265	45	DENSE 506/138089	author=מזכה הרבים, 144K ch. Third kashrut/tzniut compilation (עלונים 1019/1020/1023, התאחדות הקהילות, האדמו"ר מהאלמין). Contextual/devotional external reprint, no gematria. Pairs with 207, 209.
198	29197	2023-05-04	12306	12	DENSE 275/12249	עלון 1002, האדמו"ר מהאלמין family. Rabbinic approbations collection; names הרב יהודה פתיה זי"ע and the Zohar/Idra corpus. Contextual.
202	29138	2023-04-18	133017	15	DENSE 286/132179	133K ch kashrut compilation, עלון 900, התאחדות הקהילות / האדמו"ר מהאלמין, כ"ו ניסן תשפ"ג, originally תשמ"א. Fourth of the kashrut reprints (196, 202, 207, 209). Contextual external work.
207	29053	2023-03-21	264734	75	DENSE 1527/261660	author='מזכה הרבים'. LARGEST residual post (265K ch). NOT research: a compiled kashrut sourcebook «ספר מציל חיים» / «בכור ההיתוך», כ"ז אדר ה'תשפ"ג. Zero gematria. Named halachic authorities quoted as content: הרב עובדיה יוסף, הרב יעקב יוסף, הרב שלמה משה עמאר, הרב בן ציון מוצפי, הרב שמואל בורנשטיין (המומחה לכשרות — this explains his high attribution count in the corpus-wide contributor scan: he is a KASHRUT authority quoted here, NOT a gematria contributor — an important disambiguation for the contributor ledger), האברך א.מ. שליט"א, החפץ חיים, הרמח"ל. 27 tags. Contains a contact phone (personal data — not reproduced). CLASSIFY: contextual/devotional external-work reprint; pairs with 209 and 196.
209	29022	2023-03-16	226484	92	DENSE 1926/224917	author='מזכה הרבים', the largest residual post (225K ch). NOT a research post: it is a reprinted halachic kashrut/shechita book — «עלון מס' 695 לימוד דף היומי דהתאחדות הקהילות», published by וועד הכשרות דהתאחדות הקהילות under האדמו"ר מהאלמין (הרב שלום יהודה גראס), originally הוצאת אמונה תשמ"ט Brooklyn, ~600k copies. Zero gematria claims; sources are שו"ע יו"ד כ"ה, שמ"ח, חת"ס יו"ד י"ג, בית הלל מ"ח. Contains a phone hotline number (personal/contact data — not reproduced). CLASSIFY: contextual/devotional corpus, external-work reprint. Pairs with post 207 (264K, kashrut) and 196. LINEAGE: shares text with post 1012 (already in copy-lineage group).
213	28864	2023-02-27	55339	52	DENSE 726/35206	סוד החשמל 2023. NAMED: הרה"ג ר' י. מ. ה. שליט"א. Two attacks two weeks apart (רמות, חווארה), in each two brothers killed, named יעקב and מנחם → read as תפארת+מלכות union. Event-to-sefirah mapping; names-as-evidence.
222	28484	2023-02-02	1821	25	FULL 355/1850	⭐ «מאת: הידברות» — an EXTERNAL ORGANISATION as the source (Hidabroot). Includes a clean methodological definition of ELS («שיטה למציאת ביטויים … בדילוגי אותיות … בפער קבוע») and claims precedent in the Zohar for skip-reading. «נוה יעקב» found at a skip after the Neve Yaakov attack. Institutional-source provenance.
228	28308	2023-01-02	472	14	FULL 232/467	⭐ CROSS-DOMAIN: «ממצאים מדהימים בפאי בדילוג 2701» — searching the DIGITS OF π at skip 2701 (the value of בראשית ברא). Reports the first occurrence of 1111 (=«חכמת י-הוה אינסופית»), preceded by 441(אמת), 111(פלא), 26(יהוה), 358(משיח). tag אורן עברון. π as a searchable corpus — the same family as post 298 «פאי בתורה» and 1163 (genetic code). A genuinely distinct DOMAIN class for scan-type claims.
235	28207	2022-12-06	35549	46	DENSE 506/22212	סוד החשמל, חנוכה תשפ"ג as possible final קץ; two years from חנוכה תשפ"א as the messianic gestation. Source: לקוטי תורה להאריז"ל מקץ קח — «שנתים ימים»=תש"ל (2x365), and with the 6 letters of שס"ה שס"ה = תשל"ו = אדנ"י פשוט ומלואו. A source-native LETTER-COUNT-PLUS-VALUE composite from the Arizal himself — historical precedent for the corpus's «עם האותיות» operator.
247	27754	2022-10-31	10387	265	DENSE 4468/10740	ציון סיבוני, author field set. Update-log (עדכון מוצ"ש 18/3/2023). VERY dense claim cluster. Method labels explicit: בגימטריה רגילה / בגימטריה גדולה / (+1) / (מילים) / (אותיות) / ר"ת / ס"ת / במסתתר / משולש / אור חוזר. Families: 566 (מתוה העם=משיח בן יוסף=הציונות=תיקון=רכושם), 345 (משה=יאיר לפיד=חרון אף=אלהים אחרים), 794 (קרח ועדתו=יש עתיד), 578, 1127 (מתוה העם+1=ליל הסדר ה'תשפ"ג), 340 (ליל הסדר+1=פרס), 819/918 אור-חוזר pair (דוד מלך ישראל חי וקים ↔ ראש ממשלה/איתמר בן גביר/שמשון במילוי), 974 (large convergence list incl ערב שבת, שער החמשים, ומפליא לעשות), 1000 (מקנה אברם מילים = משיח בן דויד משיח בן יוסף), 424 (המשפט=משיח בן דויד=איש מלחמה; סדם רעים; האחדות), 683 (פגם=בנימין נתניהו — the v2 calibration case), 119 (דויד המלך=חמינאי=בן אוני; 119 אנשים+1=521 נתניהו), 777 (זרעך=וישבתם בטח=שבעים שנה), 1234 (וישב חברון=התגלות משולש=רשת האינטרנט), 162 (ואם הימין=בנימין), 552 (אם הימין והשמאילה=משיח במסתתר). CHRONOLOGY CLAIM: ברית בין הבתרים 2023 לבריאה, אברהם בן 75, 1948 לבריאה=לידת אברהם ↔ 1948 למניינם=הקמת המדינה, 3760 years, פסח תשפ"ג. NAMED: הרב טורנהיים — «מגלה את המנצח בבחירות בעליית שלישי בשיטת הדילוג» (35 years) = a named ELS practitioner + procedure, NOT in registry. INTERPRETATION separated: chronology = source claim.
248	27740	2022-10-31	25187	28	DENSE 426/15538	סוד החשמל, technology-as-messianic-preparation. 1234 = «התגלות י-הוה ומשיח» = «התגלות השכינה» = «ממשלת משיח בן דוד»; 676=שער נון. Sources: שמו"ר ל,יג; שער הפסוקים להאריז"ל שמות קג.
271	26899	2022-05-04	9243	25	DENSE 355/6129	סוד החשמל. Salmonella at Strauss-Elite: «נרמז בנוטריקון יחיד בתנ"ך באות רביעית» בפסוק שמות י,כא — a 4th-LETTER-OF-EACH-WORD notarikon with a uniqueness claim. Distinct procedure (nth-letter notarikon) from ELS.
280	26730	2022-03-09	27556	22	DENSE 356/17266	סוד החשמל. Source: ספר 'דן ידין' לרבי שמשון מאוסטרופוליא (מאמר י"ד) — 417 «מבטלים» for the twin brothers גוג and ארמילוס. Putin as Armilus. Named kabbalistic source with a numeric doctrine (417).
281	26713	2022-03-07	3232	83	FULL 1923/3020	כללי, 2022. CORPUS-STATISTIC PROCEDURE, fully specified: Psalm 83 — 520 letters + 130 words + 19 verses = 669; plus chapter number 83 = 752. Then both totals treated as gematria targets: 669 = «במלחמת עולם ג'» = «הקורונה בקץ הימים» = «מפוזר ומפורד» = «יסורים של אהבה» = «עם כל זה אחכה לו בכל יום שיבוא»; 752 = «הלא הוא כמס עמדי» = «והיה באחרית הימים» = «אל גוג ארץ המגוג נשיא» = «מלכות רומי» = «שמים חדשים» etc. ALSO ר"ת פ"ג = «פוטין גוג»; פ"ג=83→5783. LARGE 1234 FAMILY (16 equivalences incl. «מלך רומי העשירי הוא רוסיה», «ארבעים וחמישה צדיקים במירון», «התגלות השכינה», «וגאלתי התשפ"ב», «וינפש», «קץ שם לחשך חג הפורים» marked «כתיב חסר ו» — an EXPLICIT orthographic-variant declaration by the source). בעתה=477=אתמול. משך=מיסיא=מסקווי=מוסקווה (transliteration chain).
282	26686	2022-03-02	51776	46	DENSE 506/32078	סוד החשמל 2022 Ukraine. ר"ת «צ'ו"פ» = צ'ופ ולדימיר פוטין. Source: ספר 'ילקוט אוהב ישראל' (הרה"ק רבי מרדכי מסלונים in the name of הרה"ק מאפטא) — nations will gather to settle differences to avoid war, but it will fail. tags include הצופן התנכי.
