# סוד החשמל — full lesson index extracted from post id=1794 (wp_id=503, 2013-11-26)
# READ-ONLY extraction. Each row = one source unit (audio lesson) with its one-line topic.
# parsed=1202 distinct=1200 range=2-1279 numbering_gaps=78
# lesson_no	topic
1241	ההתרחשויות שנאמרו בחז"ל לשבע שנים שבן דוד בא מתחבר באופן נפלא להתרחשויות של שנים אלו מדוע החתן אומר מתחת לחופה את הפסוקים שמדברים באופן שלילי של עונש וקללה
1240	ההתרחשויות שנאמרו בחז"ל לשבע שנים שבן דוד בא מתחבר באופן נפלא להתרחשויות של שנים אלו המשמעות שנשיא ארה"ב ביד"ן הודיע שהוא פורש מתפקידו
1239	ההתרחשויות שנאמרו בחז"ל לשבע שנים שבן דוד בא מתחבר באופן נפלא להתרחשויות של שנים אלו מדוע הנבואה על ביאת המשיח נאמרה בתורה רק בנבואת בלעם
1238	ההתרחשויות שנאמרו בחז"ל לשבע שנים שבן דוד בא מתחבר באופן נפלא להתרחשויות של שנים אלו בכל התורה יש 10 אותיות גדולות שהן: ליד"ה ב"ן רוג"ע
1237	ההתרחשויות שנאמרו בחז"ל לשבע שנים שבן דוד בא מתחבר באופן נפלא להתרחשויות של שנים אלו איש אשה בגימטריא חברותא, והסוד של 'קנה לך חבר' שנרמז בנבואת בלעם וקשור לקשר של איש ואשה
1236	ההתרחשויות שנאמרו בחז"ל לשבע שנים שבן דוד בא מתחבר באופן נפלא להתרחשויות של שנים אלו ביאור בפסוק "ובני פריצי עמך ינשאו להעמיד חזון" ורמז אדיר על התאריך י' תמוז ה'תשפ"ד
1235	ההתרחשויות שנאמרו בחז"ל לשבע שנים שבן דוד בא מתחבר באופן נפלא להתרחשויות של שנים אלו האותיות גאול"ה שלמ"ה מופיעות בנוטריקון יחיד בתורה במנחה שיעקב שלח לעשו
1234	ההתרחשויות שנאמרו בחז"ל לשבע שנים שבן דוד בא מתחבר באופן נפלא להתרחשויות של שנים אלו המקוה הוא סוד תקוה שצומחת מארץ ישראל בסוד מים שמצמיחים את התקוה מהארץ
1233	ההתרחשויות שנאמרו בחז"ל לשבע שנים שבן דוד בא מתחבר באופן נפלא להתרחשויות של שנים אלו הניקוד על האותיות משה חולם סגול בגימטריא עקיבא
1232	ההתרחשויות שנאמרו בחז"ל לשבע שנים שבן דוד בא מתחבר באופן נפלא להתרחשויות של שנים אלו דרשה בניחום אבלים אצל הגאון המקובל רבי בניהו שמואלי שליט"א
1231	ההתרחשויות שנאמרו בחז"ל לשבע שנים שבן דוד בא מתחבר באופן נפלא להתרחשויות של שנים אלו הדג שהקיא את יונה ליבשה מרמז על לדת משיח
1230	ההתרחשויות שנאמרו בחז"ל לשבע שנים שבן דוד בא מתחבר באופן נפלא להתרחשויות של שנים אלו הדג שהקיא את יונה הוא סוד הדאגה שמקיאה את עם ישראל מהגלות
1229	ההתרחשויות שנאמרו בחז"ל לשבע שנים שבן דוד בא מתחבר באופן נפלא להתרחשויות של שנים אלו סינון יחיד בתנ"ך של האותיות יחי"ד ורבי"ם הלכ"ה כרבי"ם
1228	ההתרחשויות שנאמרו בחז"ל לשבע שנים שבן דוד בא מתחבר באופן נפלא להתרחשויות של שנים אלו האותיות "ושבי"ה בצדק"ה" מופיעות בנוטריקון יחיד בתנ"ך בפסוק: "בקצה שדהו בכסף מלא יתננה לי
1227	סינון יחיד בתנ"ך של האותיות מלחמ"ת גו"ג ומגו"ג והמשך השיעורים הקודמים
1226	תיקון נשמת מחלון חזרה שוב כשהמליכו את דוד על ישראל ויואב תיקן את נשמת עשהאל שהיה גלגול מחלון
1225	המשך השיעור הקודם
1224	מדוע יושב ה' על כסא הכבוד כשמזוג זווגים, והקשר לכסא הכבוד שירד על הר סיני
1223	"עד השנה התשיעית" לפי ה'אור החיים' זה עד חג השבועות של השנה התשיעית
1222	הקשר בין "בא יבא לא יאחר" ל"בא מבוא באר לחי ראי" ולל"ג בעמר
1221	המשך השיעור הקודם ומדוע הרגל קשורה עם ענין הג"ל שמשתלשל בגלגלים ומוצרי גומי
1220	המשך השיעור הקודם ודבריו הנוראים של החתם סופר בענין זה
1219	מדוע נסגרו שערי מירון ביום ל"ג בעומר תשפ"ד
1218	האבנים של יששכר וזבולון ספיר ויהלום חצובים מאבן השתיה
1217	הנוני"ן ההפוכין הם סוד הלויתן ובת זוגו ונרמז בהם שרש הגלות והגאולה
1216	שלשה שבקשו מלאכי השרת לדחפם, והקשר לאשת רבי עקיבא שניסו לדחפה כשבאה לנשק רגלי בעלה
1215	מה הפירוש בדברי הרמב"ם שמי שאינו מאמין בביאת המשיח נקרא כופר בתורה ובמשה רבינו
1214	הקשר בין כיבוש רפיח לגמר בירורי הרפ"ח לזכות ל"רוח אלהים מרחפת" שהיא רוחו של משיח
1213	השתלשלות בגשמיות נדרשת מפורש בדברי חז"ל
1212	עיני מלך המשיח בצבע תכלת
1211	צפייה לגאולה בסוף חודש ניסן
1210	צפייה לגאולה ביום שביעי של פסח
1209	"לגזר ים סוף לגזרים" אותיות לגזר-י"ם סו‍ף לגזרי"ם, סוד בקיעת הים והנחלים בגאולה העתידה
1208	האותיות שב"ת הגדו"ל מופיעות בשתי נוטריקונים יחידים בתנ"ך
1207	הצפייה הדרוכה לגאולה בליל הסדר תשפ"ד
1206	"אספסף" מרמז אסי"ף סו"ף היינו הסוף של חג האסיף ביום שמחת תורה שם יתחיל הסוף של קליפת הערב רב
1205	האותיות צונמ"י בארה"ב מופיעות ברמזים על היהודים שהצונמי יבוא להוציאם משם להעלותם לארץ ישראל
1204	יום יו"ד ניסן תשפ"ד הוא תאריך של קץ שמסוגל לאתחלתא דגאולה
1203	ביאת המשיח בשנת תשפ"ד וחנוכת בית המקדש השלישי בשנת תשפ"ו
1202	שתי דברים שצריך לעשות בנשימה אחת קריאת עשרת בני המן ותקיעת שופר והקשר ביניהם
1201	שיחה בעצרת תפילה לבקשת הגאולה בקבר דוד המלך
1200	לידת משיח בסוד של ניתוח יצ"א דופ"ן והקשר לאיבר האפנדציט
1199	פעמים דרך בגימטריא פורים תשפ"ד
1198	דניאל ולהבדיל, המן וושתי היו להם ניצוצות מבית דוד, והיו בבחינת שעירים לעזאזל כדי שנזכה לישועת פורים
1197	האותיות י"ד ט"ו בא"ת ב"ש נפק"מ או מפנק
1196	נוטריקון יחיד בכל התנ"ך של המילים פורי"ם גאול"ה בפסוק "ועת צרה היא ליעקב וממנה יושע"
1195	דברי ה'חתם סופר' שה' יעמיד מלך קשה כהמן כדי שיבקשו את הג' דברים, והקלטה מהגר"מ שפירא זצ"ל
1194	ק"ץ ימי"ן למט"ה בנוטריקון יחיד בתנ"ך בפסוק שמרמז על פורים תשפ"ד
1193	השתלשל בלידת שרש משיח הענין של חזרה לימי הנעורים, ומתגלה בימי הפורים תשפ"ד
1192	רמזים על הקץ בר"ת וס"ת של חמשה חומשי תורה
1191	3 פעמים שם יב"ק עולה פורים, ו7 פעמים שם יב"ק עולה תשפ"ד
1190	הקשר בין שירה לצדקה
1189	התפילות על הגאולה ומסירות נפש לביאת המשיח במשנת ה'מנחת אלעזר' ממונקאטש
1188	צפיה לשלב חדש בתהליך הגאלה החל משבת קדש פרשת תצוה הבאה עלינו לטובה
1187	קפ"ת הצדק"ה בסינון אותיות יחיד בתנ"ך מרמזת את הענין שבצדקה אין שלא לשמה
1186	הסוד של בניית כתר המלכות בארבעת רבעים נרמז בחבור הקרשים לאדנים רביע מכאן ורביע מכאן
1185	שש קריות סמוך לכביש 6 שראשי תבותיהן משי"ח ב"א: מוצקין, שמואל, ים, חיים, ביאליק, אתא
1184	חודשי אדר בשנה מעוברת מסוגלים לאתחלתא דגאולה
1183	ג' הבקשות 'שמים' 'בית דוד' 'מקדש' עולה 1820 שזה מספר שמות יהו"ה בכל התורה
1182	בכל פעם שאומרים "שמע ישראל יהו"ה אלהינו יהו"ה אחד" צריך לכוון את בקשת הגאולה
1181	סינון אותיות מטו"ס 52 מההתחלה כמנין מגו"ג מופיע בפסוק שמרמז על הד' מלכויות שיבואו במלחמת גוג
1180	רמזים על שנת תשפ"ד בתוך דברי הגר"א על קץ בעתה
1179	המן היה בסוד סלט ירקות שבני ישראל קבלו בכל בקר מה'
1178	בענין דברי רש"י שאין להרבות בתחנונים לבקש הגאלה
1177	מדוע אנחנו מצפים לימות המשיח שהם "שנים אשר תאמר אין לי בהם חפץ" שאין בהם זכות וחובה
1176	שיעור חודש שבט תשפ"ד בקבר דוד המלך בענין הקוטר והעיגול וקוד פאי
1175	דרשה במלוה מלכה במוסדות שטפנשט בבני ברק ד' שבט תשפ"ד
1174	סנון יחיד בתנ"ך של האותיות המחא"ת כ"ף במכת ברד והקשר לגאולה
1173	עשר מכות כנגד עשר ספירות
1166	הקשר בין דינר זהב לחנוכה מגלה את הסוד מדוע שלך גדולה משלהם
1165	מדוע השתלשל שממלאים את הסופגניה בריבת תות
1164	מדוע בכל התנ"ך אנו מוצאים מקום אחד שיש רצף אותיות פ"ך אח"ד שמ"ן בפסוק שנאמר על אליהו הנביא
1163	בספר 'אור למאיר' מרמז על שנת תשפ"ד כשנת קץ, וכן בספר 'צמח צדיק', ושניהם מרמזים על חנוכה תשפ"ד
1162	פופקר"ן בסנון אותיות יחיד בתנ"ך בפסוק של הפיכת הצרה לשמחה
1161	ראש הנחש סנוא"ר נרמז בכתוב על מלחמת גוג ומגוג: "סיר נפוח אני ראה"
1160	כשיצא יעקב מבאר שבע יש רמז על סעדת מלוה מלכה שעושים ביציאת השבת
1159	הקשר בין "דרך כוכב מיעקב" לכוכבי הים
1158	רמזים על יהודית וייס הי"ד מקיבוץ בארי שנרצחה בעזה ונמצאה בפרשה שמוזכר יהודית בת בארי
1157	האותיות עתי"ק ארי"ך נרמזים בנוטריקון כמעט יחיד בתנ"ך בלידת משיח
1156	תשפ"ד ר"ת תפתח שער פשפש דרומי והקשר למלחמה שהתחילה מצד דרום והמשך השיעור הקודם
1155	שיעור כ"ה חשון תשפ"ד בקבר דוד המלך בענין "והנשים תשכבנה" ובענין קץ כ"ז חשון תשפ"ד
1154	סוד מלחמת האמונה שהיא מלחמת גוג ומגוג, והקריאה ליהודי חו"ל לעלות לא"י
1153	רמזים על קו סוד החשמל
1152	מאה קולות בגימטריא מלחמת גוג ומגוג
1151	סנוני אותיות מחב"ל בתנ"ך
1149	שנת תשפ"ד היא 1948 בשעון של הקב"ה
1148	יום נשקו של גוג צפוי להיות ביום ז' חשון תשפ"ד
1147	במקסיקו ראו בשבת בראשית כ"ט תשרי תשפ"ד ליקוי חמה טבעתי בצורת מגן דוד מחזה נדיר ביותר
1146	המשך הרמזים על המלחמה שפרצה ביום שמחת תורה תשפ"ד
1145	תהליכי הגאולה שצפויים לנו לאחר שראינו את המלחמה שפרצה ביום שמחת תורה תשפ"ד
1144	דברי הגר"מ שטרנבוך שליט"א שדיבר בערב ר"ה על סכנה שמתקרבת ומה אומר כעת במוצאי שמחת תורה
1143	החיזוק הנצרך ביום הושענא רבה תשפ"ד כשלא זכינו להתגלות משיח כפי שצפינו
1142	הקשר בין שזי"ף לאושפיזין מבאר מדוע לא באים אושפיזין בפסח
1141	האותיות שמסימות את המלוי של המלה "אחרית" הן ו' תשפ"ד, הינו שנת תשפ"ד באלף השישי
1140	עיני לא"ה אותיות אעל"ה ר"ת כל הד' מינים, ורמזים על גאולה בהושענא רבה תשפ"ד
1139	4 אותיות שבמלוי שלהן יש אות למ"ד שסימנם אגד"ל
1138	שנת תשפ"ד ר"ת תהא שנת פלאות דויד והקשר לחבור החשן לאפוד
1137	שנת תשפ"ד מסגלת לתקון פדיון נפש ולתקון פגם הברית על ידי פ"ד תעניות
1136	השתלשלות השם צבר ר"ת צדיקים בינונים רשעים,ליהודים שנולדו בארץ ישראל
1135	"סיר נפוח אני רואה" נרמז בסירי הטשאלנט של השבתות בחודש תשרי תשפ"ד
1134	סינון אותיות יחיד בתנ"ך של המילים יו"ם כ"א תשר"י בפסוק שמרמז על הושענה רבה תשפ"ד
1133	מדרגת ישורון סוד משיח בן יוסף
1132	"כי תבנה בית חדש" מרמז על ביהמ"ק, וצריך מעקה שלא יפול בר נפלי שהוא משיח שעומד על גג ביהמ"ק
1131	דילוג יחיד בתורה של יו"ם י"ז אלו"ל שבו פרצה השואה, ויש רמז על שואה בתאי הגזים במחנות
1130	ה' נטל מזה ונתן לזה את ארץ ישראל דרך הירדן שנוטל מזה ונותן לזה
1129	שיעור חודש אלול בקבר דוד מלך, מדוע בהר סיני משה נכנס בתוך הענן ובמשכן היה אסור לו להכנס
1128	רמז אדיר על אלול תשפ"ג שמסוגל לגאולה, וסוד הצעקה שמעוררת את מדת חנון
1127	מדוע הקב"ה ברא בריאה אכזרית שהחיות טורפות אחת את השנייה בשביל להתקיים
1126	רמזים על זמן מסוגל לאתחלתא דגאולה בחודש אלול תשפ"ג
1125	אדו"ם ישמעא"ל ברצף אותיות יחיד בתנ"ך בפסוק שנאמר על רות "אם דל ואם עשיר"
1124	הר"ת היחיד בתנ"ך של תלמו"ד ירושלמ"י והמשך הענין של גוף ונשמה
1123	הקשר בין קינין, פתחי נידה, תקופות, וגימטריאות למשיח
1122	שיעור חודש אב תשפ"ג בקבר דוד המלך בענין ענוים הגיע זמן גאולתכם
1121	המשך השיעור הקודם וצפייה לישועה בימים י"ח י"ט אב
1120	הגוף הוא חלק מאור הנשמה שנתעבה להיות גוף קישור לשיעור וידאו חודש אב תשפ"ג בקבר דוד המלך בענין ענוים הגיע זמן גאולתכם
1119	המשך השיעור הקודם והוספות בעניני הלבושים הגשמיים והשפעתם
1118	יום תשעה באב תשפ"ג הוא יום גילוי היו"ד בפומא דאמה שהוא הקץ של הזוהר והגר"א לאתחלתא דגאולה
1117	הלבושים הגשמיים משפיעים על מצבו הרוחני של האדם והמשך השיעור על לבוש ההליקופטר לעתיד לבוא
1116	המקלל והמקשש היו משרש משיח בן יוסף ומשיח בן דוד, ורצו לעורר את היחוד העליון במדבר ופגמו בזה
1115	המשך השיעור הקודם
1114	פסוקי התורה שיש בהם רבוי מאחד מאותיות אל"ף בי"ת
1113	הלשון יישר כחך נאמרה למשה פעמיים, והקשר לזה שיישר כח בגימטריא קץ משיח
1112	924 סינון אותיות אפ"ס בתורה כמנין אפס תשפ"ג
1111	ק"ץ בעת"ה מופיע בנוטריקון יחיד בתנ"ך בפסוק "והיה בעבר כבדי ושמתיך בנקרת הצור"
1110	המולד של חודש תמוז תשפ"ג הוא מספר הקץ בעתה 1336, ומקום יחיד בתורה של המילים "ראשי העם"
1109	שיטת רמז חדשה של צפיפות אותיות בתורה עם רמזים על גאולה בשנת תשפ"ג
1108	במספר 127 טמון קץ בעתה האחרון והקשר ליום כ"ג סיון ולפסוקים שיש בהם ריבוי אותיות מכל פסוקי התנ"ך
1107	סינון אותיות לשו"ן הר"ע וד"ף היומ"י יחידים בתנ"ך בחלומות פרעה
1106	ביום שבו נחה התיבה על הרי אררט הפציץ פוטין את סכר נובה קחובקה בחרסון
1105	המלכה קליאופטרא היא אותיות אליקופטר ולכן היא שאלה על הלבושים של הנשמות בתחיית המתים
1104	הקשר בין מקוה לצדקה וישועה והלבושים הרוחניים
1103	60 פעמים טפחא עולה למספר פסוקי התורה, לכן הגובה של משה היה 60 טפחים
1102	התורה פותחת ומסיימת בטעם טפחא, והסוד של מצות כבוד אב ואם שנכללת בבין אדם למקום
1101	ראוב"ן בא"ת ב"ש ט' תשפ"ג, החודש הט' שהוא חודש סיון בשנת תשפ"ג, שראובן מעביר את המלכות למשיח
1100	הפרשה האמצעית שנמצאת באמצע 379 פרשיות סתומות שבתורה היא פרשה 190 כמנין ק"ץ מההתחלה ומהסוף
1099	נוטריקון יחיד בתנ"ך של המילים יסו"ד מלכו"ת בפסוקים על מיתת ישמעאל
1098	סינוני ב"ר יוחא"י וספ"ר הזה"ר בתורה
1097	הקשר בן רשב"י ליהושע בן נון מתגלה באות סמ"ך במילה "סמך" שהיא הסמ"ך האחרונה בתורה
1096	בחומש ויקרא יש 3087 אותיות למ"ד, ו387 אותיות גימ"ל, כי האותיות ל"ג קשורות עם חומש ויקרא
1095	סינון אותיות עצמא"ות יחיד בתורה בפסוק של שתי וערב עם רמזים על קליפת הערב רב וזמן סוף שלטונם
1094	בניסן עתידין להגאל ממשיך עד חג השבועות, ורמזים על הקשר בין קץ משיח ללימוד פנימיות התורה
1093	המילה היחידה בתורה שעולה לגימטריא קץ משיח והרמז על שנת ה'תשפ"ג
1092	פרשת שמיני היא בבחינת מוצאי שביעית שבן דוד בא, וסינוני שואה בתורה
1091	המשך הרמזים על האסונות בפטירת אחים ואחיות, ורמזים על פרשת שמיני ועוד
1090	המשך האסונות בפטירת אחים ואחיות, והמשך הרמזים על פסל מיכה וקריעת ים סוף
1089	דרשה בברית לבנו של הרב אברהם עבאדי הקשר בין ברית מילה לז' של פסח ורשב"י
1088	מדוע העשן של עבודה זרה של מיכה בא בדרך נס למשכן שילה ועלה לריח ניחוח לה' יחד עם עשן המערכה
1087	בקריאת התורה של שבת חול המועד יש ק"ץ משי"ח מילים. ובחלק של משי"ח מילים יש 1335 אותיות
1086	המילה האמצעית בתורה היא "יסוד" בפסוק של שחיטת הקרבן, ומרמזת על הקשר בין קרבן פסח לברית מילה
1085	שריפ"ת חמ"ץ אותיות פריצ"ת משי"ח בסוד לידת משיח שעליה נאמר "מה פרצת עליך פרץ"
1084	המילים "וילך משה" מופיעות פעמים בכל התורה; בתחילה ובסיום השליחות של משה לגאול את ישראל
1083	שלש פעמים בתורה סינון אותיות חד"ר לד"ה, עם רמזים על התאריך של חז"ל ללידת משיח י"ד ניסן
1082	הקשר בין ישועה וצדקה לצמיחה ולפריה ורביה ובגדים בסוד בגדי ישע ומעיל צדקה, ולחודש ניסן
1081	בעת"ה ה'תשפ"ג נרמז ברצף אותיות בפסוק "והפשתה גבעל"
1080	שיעור ערב ראש חודש ניסן תשפ"ג בקבר דוד המלך על שיטת רמז של ריבוי אותיות מסוימות בתוך פסוק
1079	נשים פטורות מזכירת עמלק ומספירת העמר מאותו טעם, וזה מאיר את משמעות מצות אלו
1078	"אם לא תדעי לך" בבחינת 'עד דלא ידע', וההמשך "היפה בנשים" בגימטריא ארור המן או ברוך מרדכי
1077	סינון יחיד בתורה של התאריך י"ג אד"ר, והמילים בליל"ה ההו"א מופיעים פעמיים בכל התורה בדילוג אותיות
1076	המשך השיעור על הסוד של אזני המן והקשר בין מאזניים לאזניים
1075	סעודת פורים תשפ"ג
1074	הסוד של אזני המן והקשר בין מאזניים לאזניים
1073	פורים אינו מבטל אבלות, וערוב שמחה בשמחה בפורים
1072	שני פגועים בהפרש של שבועים בהם נרצחו שני אחים בשמות יעקב ומנחם
1071	רמז על הגאולה שבפתח במי הים שנסוגו אחור לחופי הים התיכון
1070	ההבדל בין מזבח הנחושת למזבח הזהב הוא בענינים שיד אדם משנה אותם
1069	מדוע פרשת בשלח פותחת בפרשה סתומה לסוף פרשת בא ששם הפרשה "והיה כי יביאך"
1068	מה שייך מלחמה של גוג נגד ה' ממש, וצופן פלאי על שנת תשפ"ג
1067	משה רמז במילים "בקר וידע יהו"ה את אשר לו" את זמן הגאולה העתידה
1066	האם תהיה רעידת אדמה בארץ ישראל לפני הגאולה, והסוד של המילים "בני ישראל" שמסיימים את החומשים
1065	רמזים על רעידת האדמה בתורכיה
1064	על דברי ה'אור החיים' שמצות צדקה יש בה את כח האחדות של כנישתא חדא
1063	חמש פעמים בתורה שמוזכר שמשה צעק וכולם קשורים עם מים
1062	26 פרשיות כמנין שם יהו"ה שפותחות בשם יהו"ה, החל מתחילת פרשת וארא שבא התגלה שם יהו"ה
1061	צירוף אותיות שובבי"ם בסינון אותיות התורה נותן 3 מקומות שכולם מדברים על המספר ארבעים
1060	הדרן על מסכת נדרים, מדוע המסכת מסיימת בפסוק "מים גנובים ימתקו" ומה הסוד של הפסוק הזה
1059	המשך השיעור על כוכב השביט, ורמזים בדף נ"ו במסכת פסחים שיש בו ה'תשפ"ג מילים
1058	כוכב השביט הירוק צפוי להתקרב לכדור הארץ בי' שבט תשפ"ג למרחק הקרוב ביותר שנצפה אי פעם
1057	במלים "דעת עליון" טמון קץ בעתה שעליו דבר בלעם ויש רמז ברור על שנת תשפ"ג
1056	רצף אותיות זא"ת מופיע ק"ץ פעמים בתורה והקשר לשנת תשפ"ג
1055	דברים לכבוד הילולת האדמו"ר רבי יעקב אבוחצירא זצ"ל
1054	רמזים על צפייה לגאולה בחודש שבט תשפ"ג
1053	הקשר בין שמע ישראל לברכת כהנים ולסוד השלום שהתגלה בשיטת המסננת 1118 פעמים בתורה
1051	שעת השי"ן היא שעת הסי"ן לכן הסינים פותחים את מלחמת גוג ומגוג
1050	שיעור ערב עשרה בטבת בקבר דוד בענין אדה"ר שחגג את ימי החנוכה ומזה באה יניקת חגי הגויים בימים אלו
1049	"אשרי המחכה ויגיע לימים" בגימטריא ה'תשפ"ג בלי אות למ"ד החבור
1048	בסינון אותיות מרגלי"ת נקבל 5 מתוך 7 ממצאים כשיוסף אמר "מרגלים אתם"
1047	44 ממצאים בסינון חנוכ"ה והקשר לנחלת ראובן שנחל את מעבר יבק ששם יעקב הביא את הפך שמן של חנוכה
1046	המקום היחיד בתורה שיש סינון ישר של בשכמל"ו נמצא בכתוב על יעקב שבקש את רחל, והגימטריא אותו מספר
1045	החיכוך בין משחק הכדור רגל העולמי להדלקת נר ראשון של חנוכה מרמז שהקליפה יודעת שהגענו לרגע האמת
1044	הענין לראות בעינים את נקמת ה' בגויים
1043	אם נסנן ונשאיר רק אותיות מספ"ר זה מופיע כמנין רמ"ז. ואם נסנן סימ"ן נקבל כמנין פל"א
1042	המשך השיעור הקודם
1041	יתכן שבחנוכה תשפ"ג נשלים שנתיים ללידת משיח שהתחילה מחנוכה תשפ"א כשבאה גזירת חיסוני הקורונה
1040	אם נסנן ונשאיר רק אותיות הי"ה הו"ה ויהי"ה מופיע רק בפסוק הראשון בתורה ומרמז על הקץ של שנת תשפ"ג
1039	בצירוף 91 של משי"ח בתורה נמצא הצירוף היחיד של משי"ח ק"ץ. ובצירוף 100 מכניע את קליפת ישמעאל
1038	"ויאהב יצחק את עשו כי ציד בפיו", בגלל ניצוצות נשמות מלכות בית דוד, שהיו נתונות בפיו של עשו
1037	שיעור בקבר דוד המלך בשיטת רמז חדשה בסוד המסננת עם רמזים על הגאולה בתשפ"ג
1036	אלני ממרא בגימטריא אוקראינה, וממרא בגימטריא רוסיה
1035	הוספות על המאמר יום י"ז בחשון תשפ"ג יום תחילת המבול, שיתכן שהוא יום כ"ז בחשון יום סיום המבול
1034	"ושובבתיך ונתתי חחים בלחייך" שני שלבים שמתקיימים בפוטין, ורמזים בפרשת וירא
1033	הוספות על התאריך י"ז חשון תשפ"ג, והקשר לפטירת האדמו"ר מקרעטשניף בט"ז חשון תש"פ ועוד
1032	יציאת אברהם מחרן בגיל 75 קשור ל75 שנים לשלטון הע"ר בא"י והקשר בין פרשת לך לך לפרשת וילך
1031	תוצאות הבחירות בא"י והקשר ל"בני פריצי עמך ינשאו להעמיד חזון ונכשלו"
1030	פתח גן עדן ביבשת אפריקה, והסוד של המילה "הבראם" שמופיע בשתי מקומות יחידים בתנ"ך
1029	צפייה לאתחלתא דגאולה ביום י"ז חשון תשפ"ג
1028	שיעור ערב ראש חודש חשון תשפ"ג בקבר דוד המלך בענין השתלשלות הפריג'ידר והאינטרנט ועוד
1027	רמזים על גאולה בשנת תשפ"ג וסוד הנהר שיוצא מעדן ונחלק לארבעה ראשים
