source_table,source_id,source_title,source_author_contributor,original_excerpt,language_script,hebrew_term,foreign_term,relationship_type,claimed_method,claimed_value,computed_or_claimed,existing_language_bridge,existing_alias,existing_graph_support,provenance,confidence,ambiguity,notes
nodes(language_bridge),77a13cad-fbfc-4808-bdaf-4e5c7e3fffaf,טוב ↔ good,curated (Zuriel),"גשר ישיר חוצה-שפה: «good» ב-Reverse Reduction = 17, ו-«טוב» ברגיל = 17 — וגם טוב = התרגום של good.",Latin/English,טוב,good,shared_numeric_value,Reverse Reduction,17,"Hebrew side computed & reproducible (טוב ragil=17, confirmed live); English 'Reverse Reduction' claim not independently re-derived by hand; record itself flags this method as 'the 4th method, less canonical than Ordinal/Reduction' hence evidence=medium",YES (this row),no,edges (language_bridge),source=language_links; curated (Zuriel); human_verified=true,"medium (evidence_level=medium, self-downgraded in the record's own description)",low,"Notable: the record itself explains WHY confidence is lower (weaker method), a good self-disclosure pattern worth preserving if any future taxonomy is built."
nodes(language_bridge),aea31371-e702-4cd8-b1c3-8f684a37d925,כס ↔ throne,curated (Zuriel),"גשר ישיר חוצה-שפה: «throne» ב-English Ordinal (a=1…z=26) = 80, ו-«כס» ברגיל = 80 — וגם כס = התרגום של throne (צורת-מקרא של כסא).",Latin/English,כס,throne,shared_numeric_value,English Ordinal (a=1..z=26),80,"Hebrew side computed & reproducible (כס ragil=80, per record; not independently re-queried from gematria_words in this pass); English Ordinal T+H+R+O+N+E=20+8+18+15+14+5=80 — HAND-VERIFIED reproducible in this audit",YES (this row),no,edges (language_bridge),source=language_links; human_verified=true,strong (evidence_level=strong),low,English-side arithmetic independently confirmed correct by this audit.
nodes(language_bridge),da161192-4977-4d26-8678-31e58243640f,הבטחה ↔ promise,curated (Zuriel),"גשר ישיר חוצה-שפה: «promise» ב-Reverse Reduction = 29, ו-«הבטחה» ברגיל = 29 — וגם הבטחה = התרגום של promise.",Latin/English,הבטחה,promise,shared_numeric_value,Reverse Reduction,29,"Hebrew side computed & reproducible (הבטחה ragil=29, confirmed live); English side not independently re-derived by hand",YES (this row),no,edges (language_bridge),source=language_links; human_verified=FALSE — the ONE bridge row explicitly not yet human-verified,medium (evidence_level=medium),"medium — self-flagged unverified, correctly still visible/not hidden per Rank-Don't-Hide","This is the system's own honest self-labeling of an unverified claim, working as intended."
word_aliases,8a7d139f-38fe-429b-ac70-2d591b558b22,alias: imagine,shimon-vip,"alias='imagine', lang=en, alias_type=english, method=transliteration, confidence=0.98, verified=true, layer=fact",Latin/English,(word_id 2acedef1... — not resolved to phrase text in this read-only pass),imagine,transliteration,transliteration,,no numeric value stored on this row — word_aliases has no value column; any gematria value lives separately on gematria_words via word_id,no matching nodes(language_bridge) row for 'imagine',YES (this row),node_id column is NULL on all 7 live word_aliases rows — a dead/unpopulated link to nodes,source=shimon-vip (i.e. שמעון חיימוב via WhatsApp/VIP channel),0.98 (stored confidence value),low,"Same underlying claim also appears as research_contributions row 99f06b3c ('הימגן=imagine=תדמיין') — two independent records of one claim, same source person, never cross-linked (target_type=null on the contribution)."
word_aliases,f39ae57a-e19c-4539-b0f2-ac4598365564,alias: dream,shimon-vip,"alias='dream', lang=en, alias_type=english, method=transliteration, confidence=0.98, verified=true, layer=fact",Latin/English,דרים (per post 5017: דרים ragil=254),dream,transliteration,transliteration,,"no numeric value on this row; post 5017 (separate source) states דרים=254, not independently re-verified here",no matching language_bridge row,YES (this row),node_id NULL,source=shimon-vip,0.98,low,"Also appears in research_contributions (d2b41ba9, 'דרים=dream/הפי דרים') and in post 5017's 'צמדי-היסוד' paragraph — 3 independent corpus locations for the same base claim."
word_aliases,9d46639a-555e-460c-9923-9b81bee98839,alias: positive,shimon-vip,"alias='positive', lang=en, alias_type=english, method=transliteration, confidence=0.98, verified=true, layer=fact",Latin/English,פוזיטיב (per research_contributions row 2ad6d76c),positive,transliteration,transliteration,,no numeric value on this row,no matching language_bridge row,YES (this row),node_id NULL,source=shimon-vip,0.98,low,Cross-referenced in research_contributions '108 — גיהנם = מנהיג = חק' which notes 'שמעון מקשר גם «פוזיטיב»' without stating its own gematria value in that row.
word_aliases,d3d219b2-29f0-44e6-bf03-1855d529777e,alias: realize (shimon-vip),shimon-vip,"alias='realize', lang=en, alias_type=english, method=transliteration, confidence=0.98, verified=true, layer=fact",Latin/English,לבון / ריאלז (per prior same-day agent pass),realize,transliteration,transliteration,,no numeric value on this row,no matching language_bridge row,"YES (this row) — DUPLICATE alias_type/entry alongside a second 'realize' row from a different source (wa-vip, alias_type=translation) — same English spelling, two source channels, two alias_type labels (english vs translation), not reconciled",node_id NULL,source=shimon-vip,0.98,"medium — 'realize' recorded twice with different alias_type (english vs translation) via different intake channels; a one-to-many/duplicate-channel case flagged live by a same-day prior agent pass (CORPUS_EXPANSION), not resolved here",See paired row below (source=wa-vip).
word_aliases,37d4c5a8-af4c-47ab-9ed0-8200eabf3782,alias: happy dream,shimon-vip,"alias='happy dream', lang=en, alias_type=english, method=transliteration, confidence=0.98, verified=true, layer=fact",Latin/English,הפי דרים (per post 5017: value=349),happy dream,transliteration,transliteration,,"no numeric value on this row; post 5017 states 349, not re-verified here",no matching language_bridge row,YES (this row),node_id NULL,source=shimon-vip,0.98,low,
word_aliases,fc2e2b90-4681-4f15-955c-a51a54c9b2bd,alias: realize (wa-vip),"wa-vip (WhatsApp VIP intake, unattributed to a named person)","alias='realize', lang=en, alias_type=translation, source=wa-vip, method=null, confidence=null, verified=true, layer=null",Latin/English,(unresolved word_id 0f3252d2...),realize,translation,,,"no numeric value; no method recorded at all on this row (method field is null, unlike its shimon-vip sibling)",no matching language_bridge row,YES (this row) — see duplicate-channel note on the shimon-vip 'realize' row above,node_id NULL,source=wa-vip; no confidence recorded,unstated,"medium — same duplicate-channel issue as above; this row additionally carries no method/confidence metadata, weaker provenance than its sibling",
word_aliases,eb85166d-e0e3-4da9-83b6-20b9852f887f,alias: secret,zuriel,"alias='secret', lang=en, alias_type=translation, source=zuriel, method=translation, confidence=null, verified=true, layer=null",Latin/English,סוד,secret,translation,translation,70 (implied — matches the language_bridge סוד↔Secret row's value),"Hebrew סוד=70 independently confirmed live; the numeric value itself lives on the sibling language_bridge node, not on this word_aliases row","YES — duplicated by nodes(language_bridge) id b58240b4 ('סוד ↔ Secret'), independently recording the identical translation claim",YES (this row),node_id NULL on this row; the language_bridge sibling DOES carry graph edges,source=zuriel,unstated on this row (language_bridge sibling rates it evidence_level=strong),low on the claim itself; the ambiguity is architectural — two independent live mechanisms (word_aliases and language_bridge) hold the same fact with no cross-reference between them,"This is the concrete, disclosed cross-mechanism duplication flagged by the same-day prior CORPUS_EXPANSION_PHASE_1 pass (scenario 'סוד/Secret'). Confirmed independently in this audit."
research_contributions,99f06b3c-ab9a-4ba0-899e-9ae580afb3c9,הימג׳ן = imagine = תדמיין / מגן יה / משיח מילוי,שמעון חיימוב,"«הימג׳ן»=imagine=תדמיין · «מגן יה» · מילוי אותיות משיח (מם·שין·יוד·חית) → «תדמין». תעתיק+מילוי, פרשנות.",Latin/English + Hebrew transliteration (הימג׳ן),הימג׳ן / תדמיין,imagine,transliteration,transliteration (+ separate מילוי wordplay on משיח),,"no gematria value stated in this row for imagine/הימג׳ן; the מילוי-of-משיח thread is a separate, Hebrew-only wordplay tacked onto the same title — a second relation type bundled with the transliteration claim (per Phase 2, should be split)",no matching language_bridge row,YES — same claim independently recorded as word_aliases 'imagine' (shimon-vip),target_type/target_id both NULL — this contribution is not linked into the graph at all,origin=whatsapp_group; research_state=raw; status=published; author_name=שמעון חיימוב,unstated (research_state=raw),medium — title bundles a he-en transliteration claim with an unrelated Hebrew-internal מילוי wordplay under one heading,
research_contributions,d2b41ba9-6145-4020-bf9d-f2e0512b037d,דרים = dream / הפי דרים (תעתיק),שמעון חיימוב,«דרים»=dream (חלום) · «הפי דרים»=happy dream. תעתיק/פרשנות.,Latin/English + Hebrew transliteration,דרים / הפי דרים,dream / happy dream,transliteration,transliteration,,"no gematria value stated in this row; post 5017 separately states דרים=254 and הפי דרים=349, not re-verified here",no matching language_bridge row,YES — same claims independently recorded as word_aliases 'dream' and 'happy dream' (shimon-vip),target_type/target_id both NULL,origin=whatsapp_group; research_state=raw; status=published; author_name=שמעון חיימוב,unstated (research_state=raw),low,"This single row actually contains TWO distinct transliteration claims (dream, happy dream) — split into two findings here per Phase 2, but stored as one row in the source."
research_contributions,2ad6d76c-89a7-44fc-862e-d519b26f718a,108 — גיהנם = מנהיג = חק,שמעון חיימוב,"108 = גיהנם = מנהיג = חק (רגיל, מאומת במנוע). שמעון מקשר גם «פוזיטיב».",Hebrew transliteration of English (פוזיטיב),פוזיטיב,positive,transliteration,transliteration,,"the row's own verified Hebrew value (108) is for גיהנם/מנהיג/חק — a Hebrew-only equal-value triple; the 'positive' link is a bare mention with NO value or method attached in this row, weaker than the other transliteration rows",no matching language_bridge row,YES — same base word independently recorded as word_aliases 'positive' (shimon-vip),target_type/target_id both NULL,origin=whatsapp_group; research_state=raw; status=published; author_name=שמעון חיימוב,unstated (research_state=raw),high — 'פוזיטיב' is mentioned with zero claimed value or explicit relation to the 108 cluster; on its own this is closer to an unclear/historical-mention (category H) than a resolved transliteration claim,Weakest of the three research_contributions rows — excluded from the Gold Set candidate on this basis.
posts,5018,שבילי שפה — חיבור בין שפות | מפתח לגן · מבוא | רמזים חזקים ביותר — §26 letters,מערכת כי לה' המלוכה (byline) / חומר שמקורו בצוריאל + שמעון חיימוב (ה-STR cluster משויך במפורש 'בקו של שמעון חיימוב'),באנגלית יש בדיוק 26 אותיות — כמניין שם הוי״ה: י־ה־ו־ה = 26. הבורא מדבר דרך כל השפות.,"Latin/English (structural fact, not a computed word)",יהוה,the English alphabet (26 letters),shared_numeric_value,"none — count of alphabet letters is an external fact, not a gematria calculation",26,"Hebrew side computed & reproducible (יהוה ragil=26, standard/canonical); the '26 letters' figure is a true external fact about the English alphabet, not an engine computation — the coincidence itself is asserted, not calculated",no matching language_bridge row for this specific framing,no,post links יהוה via /number/26 and /number/26%20האותיות tags; no dedicated node/edge found,"post 5018, published under system byline; introduces the post's central 70×26=1820 framing",the Hebrew half is high-confidence/canonical; the English-alphabet-count half is trivially true but not itself a 'calculation',"low as a factual coincidence, but philosophically the weakest kind of finding in the whole post — a fixed alphabet property, not a word-specific calculation",Sets up the post's framing device (70 languages x 26 = 1820) referenced repeatedly through the post; not itself a reproducible per-word calculation.
posts,5018,שבילי שפה — חיבור בין שפות | מפתח לגן · מבוא | רמזים חזקים ביותר — §God=26,מערכת כי לה' המלוכה (byline) / חומר שמקורו בצוריאל + שמעון חיימוב (ה-STR cluster משויך במפורש 'בקו של שמעון חיימוב'),God = 26 — בדיוק כמו יהוה = 26 וכמו 26 האותיות. השם באנגלית נושא את אותו מניין.,Latin/English,יהוה,God,shared_numeric_value,"English Ordinal (a=1..z=26), letter-by-letter shown on-page (G=7,O=15,D=4)",26,BOTH sides independently reproducible: HAND-VERIFIED in this audit G+O+D=7+15+4=26; Hebrew יהוה=26 is standard canonical ragil,no matching language_bridge row exists for 'God',no,post links via /number/God and /number/26; no dedicated graph node,post 5018,"high — fully reproducible arithmetic on both sides, using a method (English Ordinal) also used elsewhere in the live corpus (language_bridge Secret/throne rows)",none,"Strong Gold Set candidate: clean, reproducible, canonical-Hebrew + clearly-defined foreign method, not represented in language_bridge yet."
posts,5018,שבילי שפה — חיבור בין שפות | מפתח לגן · מבוא | רמזים חזקים ביותר — §Elohim=62,מערכת כי לה' המלוכה (byline) / חומר שמקורו בצוריאל + שמעון חיימוב (ה-STR cluster משויך במפורש 'בקו של שמעון חיימוב'),"Elohim = 62 — וזה 26 הפוך. שני שמות הבורא באנגלית: God=26, Elohim=62 — והיפוך אחד.",Latin/English,"(implicitly אלהים, not spelled out as the Hebrew comparison term in this specific panel — comparison is to the number 26, not to a Hebrew word directly)",Elohim,numeric_transform_relation,"English Ordinal for the value (E=5,L=12,O=15,H=8,I=9,M=13); relation to 26 is a digit-reversal (62 reversed = 26)",62,HAND-VERIFIED in this audit: E+L+O+H+I+M=5+12+15+8+9+13=62; digit-reversal 62->26 is arithmetically trivial and correct,no matching language_bridge row for 'Elohim',no,"post links /number/Elohim, /number/62, /number/26%20הפוך; no dedicated graph node",post 5018,high — reproducible English Ordinal + trivially-verifiable digit reversal,low,"This is a numeric_transform_relation (digit reversal), distinct from the God=26 shared_numeric_value pairing directly above it in the same post — correctly split into a separate finding here."
posts,5018,שבילי שפה — חיבור בין שפות | מפתח לגן · מבוא | רמזים חזקים ביותר — §Bereshit=86,מערכת כי לה' המלוכה (byline) / חומר שמקורו בצוריאל + שמעון חיימוב (ה-STR cluster משויך במפורש 'בקו של שמעון חיימוב'),"באנגלית מחשבים בפשטות: כל אות לפי מקומה באלף-בית — A=1, B=2, C=3 … Z=26 — ומחברים. Bereshit = 86. וזה בדיוק אלהים = 86 בעברית.","Latin/English (transliterated Hebrew word spelled in Latin letters, then English-Ordinal-computed)",אלהים,Bereshit,shared_numeric_value,"English Ordinal (a=1..z=26) applied to 'Bereshit', the Latin transliteration of בראשית",86,HAND-VERIFIED in this audit: B+E+R+E+S+H+I+T=2+5+18+5+19+8+9+20=86; Hebrew side (אלהים ragil=86) is standard canonical,no matching language_bridge row,no,"post links /number/Bereshit, /number/86, /number/אלהים; no dedicated graph node",post 5018,"high — reproducible arithmetic, and self-aware that this is a coincidence between UNRELATED words (Bereshit=Genesis/'in the beginning', not a translation of Elohim/God) — a clean, disclosed shared_numeric_value case, not mislabeled as translation","low as arithmetic, but conceptually this is the textbook example of type C (shared_numeric_value with NO semantic relation) — 'Bereshit' and 'Elohim' mean different things and are only linked by the coincidental number 86",Best worked example in the whole corpus of the required FACT vs INTERPRETATION separation for a pure numeric coincidence between semantically-unrelated words — strong Gold Set candidate specifically to illustrate category C.
posts,5018,שבילי שפה — חיבור בין שפות | מפתח לגן · מבוא | רמזים חזקים ביותר — §Godhood=68,מערכת כי לה' המלוכה (byline) / חומר שמקורו בצוריאל + שמעון חיימוב (ה-STR cluster משויך במפורש 'בקו של שמעון חיימוב'),Godhood = 68 — וזה ההיפוך של 86 (אלהים). האלוהות מתגלה בהיפוך: 86 ↔ 68. הגאולה כולה — הפכים.,Latin/English,אלהים,Godhood,numeric_transform_relation,"English Ordinal (G=7,O=15,D=4,H=8,O=15,O=15,D=4); relation to 86 is digit-reversal",68,HAND-VERIFIED in this audit: G+O+D+H+O+O+D=7+15+4+8+15+15+4=68; digit-reversal 68<->86 is arithmetically correct,no matching language_bridge row,no,"post links /number/Godhood, /number/68, /number/ההיפוך של 86; no dedicated graph node",post 5018,high — reproducible,low,"The 'הפוך אחד' (one reversal) framing linking Elohim/26<->62 AND Godhood/68<->86 shows a repeated pattern (digit-reversal as a recurring rhetorical device in this post) worth tracking as a pattern, not a proven method."
posts,5018,שבילי שפה — חיבור בין שפות | מפתח לגן · מבוא | רמזים חזקים ביותר — §S-T-R phonetic cluster,מערכת כי לה' המלוכה (byline) / חומר שמקורו בצוריאל + שמעון חיימוב (ה-STR cluster משויך במפורש 'בקו של שמעון חיימוב'),"מעניין לראות את רצף הצלילים: שורש-צליל אחד — ס·ט·ר (S·T·R) — חוזר בשפה אחר שפה, ומצייר את אותו רעיון: צד · מיתר · מוזר · מדינה. (רמז-צליל חוצה-שפות, בקו של שמעון חיימוב.)",Aramaic,ס־ט־ר (root),סְטְרָא — side/צד,phonetic_relation,"cross-language sound-root pattern (S-T-R), no numeric method at all",,"explicitly NOT a gematria/numeric claim — pure phonetic/root observation across languages, no value to reproduce","no matching language_bridge row (language_bridge mechanism currently only holds numeric shared_value/translation/transliteration bridges, not phonetic-only clusters)",no,none found — this cluster has no graph representation at all,attributed explicitly in-post to שמעון חיימוב's line of research ('בקו של שמעון חיימוב'),"interpretive/pattern-level — explicitly presented as a curiosity ('מעניין לראות'), not a proof","medium-high — phonetic similarity across unrelated language families is inherently more subjective than a numeric coincidence; still, the pattern is consistent (S-T-R root recurring with related side/string/strange/country senses) and worth tracking, not worth mechanizing yet","Multilingual_pattern candidate; this whole cluster is currently NOT represented in ANY structured layer (not word_aliases, not language_bridge, not research_contributions) — pure post-content only."
posts,5018,שבילי שפה — חיבור בין שפות | מפתח לגן · מבוא | רמזים חזקים ביותר — §S-T-R phonetic cluster,מערכת כי לה' המלוכה (byline) / חומר שמקורו בצוריאל + שמעון חיימוב (ה-STR cluster משויך במפורש 'בקו של שמעון חיימוב'),"מעניין לראות את רצף הצלילים: שורש-צליל אחד — ס·ט·ר (S·T·R) — חוזר בשפה אחר שפה, ומצייר את אותו רעיון: צד · מיתר · מוזר · מדינה. (רמז-צליל חוצה-שפות, בקו של שמעון חיימוב.)",Russian/Cyrillic (transliterated),ס־ט־ר (root),סְטְרָאנָה — country/מדינה (Russian: страна),phonetic_relation,"cross-language sound-root pattern (S-T-R), no numeric method at all",,"explicitly NOT a gematria/numeric claim — pure phonetic/root observation across languages, no value to reproduce","no matching language_bridge row (language_bridge mechanism currently only holds numeric shared_value/translation/transliteration bridges, not phonetic-only clusters)",no,none found — this cluster has no graph representation at all,attributed explicitly in-post to שמעון חיימוב's line of research ('בקו של שמעון חיימוב'),"interpretive/pattern-level — explicitly presented as a curiosity ('מעניין לראות'), not a proof","medium-high — phonetic similarity across unrelated language families is inherently more subjective than a numeric coincidence; still, the pattern is consistent (S-T-R root recurring with related side/string/strange/country senses) and worth tracking, not worth mechanizing yet","Multilingual_pattern candidate; this whole cluster is currently NOT represented in ANY structured layer (not word_aliases, not language_bridge, not research_contributions) — pure post-content only."
posts,5018,שבילי שפה — חיבור בין שפות | מפתח לגן · מבוא | רמזים חזקים ביותר — §S-T-R phonetic cluster,מערכת כי לה' המלוכה (byline) / חומר שמקורו בצוריאל + שמעון חיימוב (ה-STR cluster משויך במפורש 'בקו של שמעון חיימוב'),"מעניין לראות את רצף הצלילים: שורש-צליל אחד — ס·ט·ר (S·T·R) — חוזר בשפה אחר שפה, ומצייר את אותו רעיון: צד · מיתר · מוזר · מדינה. (רמז-צליל חוצה-שפות, בקו של שמעון חיימוב.)",Russian/Cyrillic (transliterated),ס־ט־ר (root),סְטוֹרוֹנָה — side/צד (Russian: сторона),phonetic_relation,"cross-language sound-root pattern (S-T-R), no numeric method at all",,"explicitly NOT a gematria/numeric claim — pure phonetic/root observation across languages, no value to reproduce","no matching language_bridge row (language_bridge mechanism currently only holds numeric shared_value/translation/transliteration bridges, not phonetic-only clusters)",no,none found — this cluster has no graph representation at all,attributed explicitly in-post to שמעון חיימוב's line of research ('בקו של שמעון חיימוב'),"interpretive/pattern-level — explicitly presented as a curiosity ('מעניין לראות'), not a proof","medium-high — phonetic similarity across unrelated language families is inherently more subjective than a numeric coincidence; still, the pattern is consistent (S-T-R root recurring with related side/string/strange/country senses) and worth tracking, not worth mechanizing yet","Multilingual_pattern candidate; this whole cluster is currently NOT represented in ANY structured layer (not word_aliases, not language_bridge, not research_contributions) — pure post-content only."
